f,gain,phase
1.59513411295874e-02,-7.57607240671627e-01,9.83592718824848e+01
1.59880759913823e-02,-7.36828442075518e-01,9.83778198432965e+01
1.60248954510840e-02,-7.16046096308511e-01,9.83964056387751e+01
1.60617997035159e-02,-6.95260187821518e-01,9.84150293233243e+01
1.60987889439498e-02,-6.74470702176422e-01,9.84336909524717e+01
1.61358633681074e-02,-6.53677623816852e-01,9.84523905803555e+01
1.61730231721611e-02,-6.32880937884942e-01,9.84711282620964e+01
1.62102685527349e-02,-6.12080629018013e-01,9.84899040520946e+01
1.62475997069059e-02,-5.91276681879372e-01,9.85087180050727e+01
1.62850168322048e-02,-5.70469081105491e-01,9.85275701754201e+01
1.63225201266174e-02,-5.49657811506157e-01,9.85464606174365e+01
1.63601097885853e-02,-5.28842857311992e-01,9.85653893855209e+01
1.63977860170071e-02,-5.08024203208148e-01,9.85843565337554e+01
1.64355490112395e-02,-4.87201833642745e-01,9.86033621163992e+01
1.64733989710985e-02,-4.66375732775932e-01,9.86224061873303e+01
1.65113360968598e-02,-4.45545884940479e-01,9.86414888006953e+01
1.65493605892607e-02,-4.24712274393575e-01,9.86606100099795e+01
1.65874726495008e-02,-4.03874885423537e-01,9.86797698692795e+01
1.66256724792427e-02,-3.83033702239903e-01,9.86989684322941e+01
1.66639602806138e-02,-3.62188708578673e-01,9.87182057521917e+01
1.67023362562067e-02,-3.41339888613050e-01,9.87374818827750e+01
1.67408006090808e-02,-3.20487226377544e-01,9.87567968773820e+01
1.67793535427629e-02,-2.99630705697044e-01,9.87761507892106e+01
1.68179952612488e-02,-2.78770310185695e-01,9.87955436715182e+01
1.68567259690037e-02,-2.57906023854597e-01,9.88149755771396e+01
1.68955458709639e-02,-2.37037830306359e-01,9.88344465590534e+01
1.69344551725378e-02,-2.16165713131775e-01,9.88539566704866e+01
1.69734540796066e-02,-1.95289655871998e-01,9.88735059637929e+01
1.70125427985256e-02,-1.74409642379577e-01,9.88930944918278e+01
1.70517215361255e-02,-1.53525655734288e-01,9.89127223068721e+01
1.70909904997133e-02,-1.32637679333514e-01,9.89323894616512e+01
1.71303498970733e-02,-1.11745696786260e-01,9.89520960082245e+01
1.71697999364684e-02,-9.08496910508509e-02,9.89718419988511e+01
1.72093408266411e-02,-6.99496456773826e-02,9.89916274856416e+01
1.72489727768146e-02,-4.90455433932174e-02,9.90114525202662e+01
1.72886959966938e-02,-2.81373675018110e-02,9.90313171549719e+01
1.73285106964669e-02,-7.22510114264641e-03,9.90512214411529e+01
1.73684170868058e-02,1.36912730523442e-02,9.90711654304876e+01
1.74084153788676e-02,3.46117718556876e-02,9.90911491744232e+01
1.74485057842959e-02,5.55364124697595e-02,9.91111727242592e+01
1.74886885152216e-02,7.64652123947770e-02,9.91312361311918e+01
1.75289637842639e-02,9.73981887285496e-02,9.91513394463410e+01
1.75693318045320e-02,1.18335359045177e-01,9.91714827203834e+01
1.76097927896256e-02,1.39276740464843e-01,9.91916660044383e+01
1.76503469536366e-02,1.60222350579089e-01,9.92118893491718e+01
1.76909945111495e-02,1.81172207128049e-01,9.92321528047008e+01
1.77317356772434e-02,2.02126327588002e-01,9.92524564217521e+01
1.77725706674925e-02,2.23084729458441e-01,9.92728002505580e+01
1.78134996979675e-02,2.44047430702296e-01,9.92931843410990e+01
1.78545229852367e-02,2.65014449309197e-01,9.93136087432956e+01
1.78956407463671e-02,2.85985802801693e-01,9.93340735071480e+01
1.79368531989257e-02,3.06961509273235e-01,9.93545786820357e+01
1.79781605609804e-02,3.27941586602965e-01,9.93751243177085e+01
1.80195630511013e-02,3.48926053352854e-01,9.93957104631908e+01
1.80610608883621e-02,3.69914926951048e-01,9.94163371681587e+01
1.81026542923406e-02,3.90908226054274e-01,9.94370044814020e+01
1.81443434831207e-02,4.11905968722051e-01,9.94577124517486e+01
1.81861286812928e-02,4.32908173517557e-01,9.94784611279743e+01
1.82280101079556e-02,4.53914858585817e-01,9.94992505587046e+01
1.82699879847166e-02,4.74926042745442e-01,9.95200807922563e+01
1.83120625336941e-02,4.95941744096230e-01,9.95409518769905e+01
1.83542339775175e-02,5.16961981581063e-01,9.95618638607080e+01
1.83965025393291e-02,5.37986773673443e-01,9.95828167915978e+01
1.84388684427852e-02,5.59016139081533e-01,9.96038107173895e+01
1.84813319120570e-02,5.80050096864077e-01,9.96248456853603e+01
1.85238931718319e-02,6.01088665728034e-01,9.96459217431513e+01
1.85665524473149e-02,6.22131864545510e-01,9.96670389378637e+01
1.86093099642296e-02,6.43179712424016e-01,9.96881973166057e+01
1.86521659488192e-02,6.64232228453927e-01,9.97093969260689e+01
1.86951206278483e-02,6.85289431604122e-01,9.97306378131197e+01
1.87381742286035e-02,7.06351341295642e-01,9.97519200241145e+01
1.87813269788947e-02,7.27417976580397e-01,9.97732436053297e+01
1.88245791070568e-02,7.48489357314071e-01,9.97946086026952e+01
1.88679308419502e-02,7.69565502112386e-01,9.98160150626196e+01
1.89113824129626e-02,7.90646431131605e-01,9.98374630303129e+01
1.89549340500097e-02,8.11732163526357e-01,9.98589525516268e+01
1.89985859835369e-02,8.32822719117869e-01,9.98804836718063e+01
1.90423384445201e-02,8.53918117464005e-01,9.99020564358607e+01
1.90861916644675e-02,8.75018378451667e-01,9.99236708889635e+01
1.91301458754199e-02,8.96123522032930e-01,9.99453270754221e+01
1.91742013099530e-02,9.17233567683632e-01,9.99670250401236e+01
1.92183582011778e-02,9.38348535754283e-01,9.99887648271783e+01
1.92626167827421e-02,9.59468446047005e-01,1.00010546480875e+02
1.93069772888321e-02,9.80593318948127e-01,1.00032370044964e+02
1.93514399541729e-02,1.00172317412102e+00,1.00054235563276e+02
1.93960050140305e-02,1.02285803243105e+00,1.00076143078900e+02
1.94406727042124e-02,1.04399791391250e+00,1.00098092635364e+02
1.94854432610695e-02,1.06514283883323e+00,1.00120084275787e+02
1.95303169214967e-02,1.08629282785553e+00,1.00142118042695e+02
1.95752939229345e-02,1.10744790142531e+00,1.00164193978660e+02
1.96203745033705e-02,1.12860808022283e+00,1.00186312126239e+02
1.96655589013399e-02,1.14977338475033e+00,1.00208472527437e+02
1.97108473559275e-02,1.17094383579842e+00,1.00230675224335e+02
1.97562401067688e-02,1.19211945441318e+00,1.00252920258054e+02
1.98017373940510e-02,1.21330026110008e+00,1.00275207670458e+02
1.98473394585144e-02,1.23448627723819e+00,1.00297537502694e+02
1.98930465414538e-02,1.25567752351933e+00,1.00319909795478e+02
1.99388588847196e-02,1.27687402113441e+00,1.00342324589642e+02
1.99847767307193e-02,1.29807579141637e+00,1.00364781925486e+02
2.00308003224187e-02,1.31928285541075e+00,1.00387281843338e+02
2.00769299033427e-02,1.34049523441877e+00,1.00409824383210e+02
2.01231657175776e-02,1.36171295014746e+00,1.00432409584428e+02
2.01695080097714e-02,1.38293602364417e+00,1.00455037486972e+02
2.02159570251357e-02,1.40416447672555e+00,1.00477708129542e+02
2.02625130094468e-02,1.42539833091848e+00,1.00500421551089e+02
2.03091762090469e-02,1.44663760805375e+00,1.00523177790572e+02
