time,vin,vw,vh,vl,vdac
1.416015625000000000e-02,7.944267762912623487e-01,7.944267762912623487e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.464843750000000000e-02,7.959544782485663550e-01,7.959544782485663550e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.513671875000000000e-02,7.974817476648194958e-01,7.974817476648194958e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.562500000000000000e-02,7.990085701647803296e-01,7.990085701647803296e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.611328125000000000e-02,8.005349313774139386e-01,8.005349313774139386e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.660156250000000000e-02,8.020608169360272655e-01,8.020608169360272655e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.708984375000000000e-02,8.035862124784044491e-01,8.035862124784044491e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.757812500000000000e-02,8.051111036469414950e-01,8.051111036469414950e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.806640625000000000e-02,8.066354760887821662e-01,8.066354760887821662e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.855468750000000000e-02,8.081593154559523207e-01,8.081593154559523207e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.904296875000000000e-02,8.096826074054956912e-01,8.096826074054956912e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.953125000000000000e-02,8.112053375996081117e-01,8.112053375996081117e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.001953125000000000e-02,8.127274917057730752e-01,8.127274917057730752e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.050781250000000000e-02,8.142490553968966260e-01,8.142490553968966260e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.099609375000000000e-02,8.157700143514415858e-01,8.157700143514415858e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.148437500000000000e-02,8.172903542535631116e-01,8.172903542535631116e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.197265625000000000e-02,8.188100607932430330e-01,8.188100607932430330e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.246093750000000000e-02,8.203291196664246332e-01,8.203291196664246332e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.294921875000000000e-02,8.218475165751472078e-01,8.218475165751472078e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.343750000000000000e-02,8.233652372276808462e-01,8.233652372276808462e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.392578125000000000e-02,8.248822673386607685e-01,8.248822673386607685e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.441406250000000000e-02,8.263985926292216622e-01,8.263985926292216622e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.490234375000000000e-02,8.279141988271325747e-01,8.279141988271325747e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.539062500000000000e-02,8.294290716669306951e-01,8.294290716669306951e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.587890625000000000e-02,8.309431968900559129e-01,8.309431968900559129e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.636718750000000000e-02,8.324565602449849333e-01,8.324565602449849333e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.685546875000000000e-02,8.339691474873656141e-01,8.339691474873656141e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.734375000000000000e-02,8.354809443801506363e-01,8.354809443801506363e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.783203125000000000e-02,8.369919366937319527e-01,8.369919366937319527e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.832031250000000000e-02,8.385021102060743470e-01,8.385021102060743470e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.880859375000000000e-02,8.400114507028497712e-01,8.400114507028497712e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.929687500000000000e-02,8.415199439775704615e-01,8.415199439775704615e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.978515625000000000e-02,8.430275758317232748e-01,8.430275758317232748e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
3.027343750000000000e-02,8.445343320749031379e-01,8.445343320749031379e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
3.076171875000000000e-02,8.460401985249461632e-01,7.500000000000000000e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
3.125000000000000000e-02,8.475451610080640963e-01,7.537951610080640963e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.173828125000000000e-02,8.490492053589767663e-01,7.552992053589767663e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.222656250000000000e-02,8.505523174210459780e-01,7.568023174210459780e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.271484375000000000e-02,8.520544830464084063e-01,7.583044830464084063e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.320312500000000000e-02,8.535556880961092663e-01,7.598056880961092663e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.369140625000000000e-02,8.550559184402347634e-01,7.613059184402347634e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.417968750000000000e-02,8.565551599580456532e-01,7.628051599580456532e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.466796875000000000e-02,8.580533985381098017e-01,7.643033985381098017e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.515625000000000000e-02,8.595506200784348572e-01,7.658006200784348572e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.564453125000000000e-02,8.610468104866018102e-01,7.672968104866018102e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.613281250000000000e-02,8.625419556798964438e-01,7.687919556798964438e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.662109375000000000e-02,8.640360415854428933e-01,7.702860415854428933e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.710937500000000000e-02,8.655290541403355409e-01,7.717790541403355409e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.759765625000000000e-02,8.670209792917716873e-01,7.732709792917716873e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.808593750000000000e-02,8.685118029971835574e-01,7.747618029971835574e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.857421875000000000e-02,8.700015112243707494e-01,7.762515112243707494e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.906250000000000000e-02,8.714900899516319077e-01,7.777400899516319077e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
3.955078125000000000e-02,8.729775251678972836e-01,7.792275251678972836e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.003906250000000000e-02,8.744638028728600743e-01,7.807138028728600743e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.052734375000000000e-02,8.759489090771084285e-01,7.821989090771084285e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.101562500000000000e-02,8.774328298022573414e-01,7.836828298022573414e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.150390625000000000e-02,8.789155510810795491e-01,7.851655510810795491e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.199218750000000000e-02,8.803970589576377570e-01,7.866470589576377570e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.248046875000000000e-02,8.818773394874156457e-01,7.881273394874156457e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.296875000000000000e-02,8.833563787374492104e-01,7.896063787374492104e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.345703125000000000e-02,8.848341627864575454e-01,7.910841627864575454e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.394531250000000000e-02,8.863106777249745161e-01,7.925606777249745161e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.443359375000000000e-02,8.877859096554790996e-01,7.940359096554790996e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.492187500000000000e-02,8.892598446925265021e-01,7.955098446925265021e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.541015625000000000e-02,8.907324689628789427e-01,7.969824689628789427e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.589843750000000000e-02,8.922037686056358829e-01,7.984537686056358829e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.638671875000000000e-02,8.936737297723647000e-01,7.999237297723647000e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.687500000000000000e-02,8.951423386272311378e-01,8.013923386272311378e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.736328125000000000e-02,8.966095813471293141e-01,8.028595813471293141e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.785156250000000000e-02,8.980754441218119499e-01,8.043254441218119499e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.833984375000000000e-02,8.995399131540202653e-01,8.057899131540202653e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.882812500000000000e-02,9.010029746596139866e-01,8.072529746596139866e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.931640625000000000e-02,9.024646148677011315e-01,8.087146148677011315e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
4.980468750000000000e-02,9.039248200207674611e-01,8.101748200207674611e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.029296875000000000e-02,9.053835763748057097e-01,8.116335763748057097e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.078125000000000000e-02,9.068408701994457033e-01,8.130908701994457033e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.126953125000000000e-02,9.082966877780829229e-01,8.145466877780829229e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.175781250000000000e-02,9.097510154080078459e-01,8.160010154080078459e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.224609375000000000e-02,9.112038394005349540e-01,8.174538394005349540e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.273437500000000000e-02,9.126551460811314076e-01,8.189051460811314076e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.322265625000000000e-02,9.141049217895462764e-01,8.203549217895462764e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.371093750000000000e-02,9.155531528799382146e-01,8.218031528799382146e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.419921875000000000e-02,9.169998257210046910e-01,8.232498257210046910e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.468750000000000000e-02,9.184449266961099978e-01,8.246949266961099978e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.517578125000000000e-02,9.198884422034134811e-01,8.261384422034134811e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.566406250000000000e-02,9.213303586559972169e-01,8.275803586559972169e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.615234375000000000e-02,9.227706624819945747e-01,8.290206624819945747e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.664062500000000000e-02,9.242093401247173379e-01,8.304593401247173379e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.712890625000000000e-02,9.256463780427834909e-01,8.318963780427834909e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.761718750000000000e-02,9.270817627102452274e-01,8.333317627102452274e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.810546875000000000e-02,9.285154806167149610e-01,8.347654806167149610e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.859375000000000000e-02,9.299475182674941109e-01,8.361975182674941109e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.908203125000000000e-02,9.313778621836985572e-01,8.376278621836985572e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
5.957031250000000000e-02,9.328064989023869824e-01,8.390564989023869824e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
6.005859375000000000e-02,9.342334149766862161e-01,8.404834149766862161e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
6.054687500000000000e-02,9.356585969759187993e-01,8.419085969759187993e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
6.103515625000000000e-02,9.370820314857289945e-01,8.433320314857289945e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
6.152343750000000000e-02,9.385037051082091297e-01,8.447537051082091297e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
6.201171875000000000e-02,9.399236044620256081e-01,7.500000000000000000e-01,8.437500000000000000e-01,6.562500000000000000e-01,9.375000000000000000e-02
6.250000000000000000e-02,9.413417161825449186e-01,7.538417161825449186e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.298828125000000000e-02,9.427580269219594244e-01,7.552580269219594244e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.347656250000000000e-02,9.441725233494131508e-01,7.566725233494131508e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.396484375000000000e-02,9.455851921511269076e-01,7.580851921511269076e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.445312500000000000e-02,9.469960200305240772e-01,7.594960200305240772e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.494140625000000000e-02,9.484049937083551818e-01,7.609049937083551818e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.542968750000000000e-02,9.498120999228234496e-01,7.623120999228234496e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.591796875000000000e-02,9.512173254297091596e-01,7.637173254297091596e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.640625000000000000e-02,9.526206570024948750e-01,7.651206570024948750e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.689453125000000000e-02,9.540220814324893439e-01,7.665220814324893439e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.738281250000000000e-02,9.554215855289519554e-01,7.679215855289519554e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.787109375000000000e-02,9.568191561192171957e-01,7.693191561192171957e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.835937500000000000e-02,9.582147800488185485e-01,7.707147800488185485e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.884765625000000000e-02,9.596084441816119526e-01,7.721084441816119526e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
6.933593750000000000e-02,9.610001353998998130e-01,7.735001353998998130e-01,8.437500000000000000e-01,6.562500000000000000e-01,1.875000000000000000e-01
