time,vin,vh,vl
1.953125000000000000e-02,8.112053375996081117e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.050781250000000000e-02,8.142490553968966260e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.148437500000000000e-02,8.172903542535631116e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.246093750000000000e-02,8.203291196664246332e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.343750000000000000e-02,8.233652372276808462e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.441406250000000000e-02,8.263985926292216622e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.539062500000000000e-02,8.294290716669306951e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.636718750000000000e-02,8.324565602449849333e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.734375000000000000e-02,8.354809443801506363e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.832031250000000000e-02,8.385021102060743470e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.929687500000000000e-02,8.415199439775704615e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.027343750000000000e-02,8.445343320749031379e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.125000000000000000e-02,8.475451610080640963e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.222656250000000000e-02,8.505523174210459780e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.320312500000000000e-02,8.535556880961092663e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.417968750000000000e-02,8.565551599580456532e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.515625000000000000e-02,8.595506200784348572e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.613281250000000000e-02,8.625419556798964438e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.710937500000000000e-02,8.655290541403355409e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.808593750000000000e-02,8.685118029971835574e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.906250000000000000e-02,8.714900899516319077e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.003906250000000000e-02,8.744638028728600743e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.101562500000000000e-02,8.774328298022573414e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.199218750000000000e-02,8.803970589576377570e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.296875000000000000e-02,8.833563787374492104e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.394531250000000000e-02,8.863106777249745161e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.492187500000000000e-02,8.892598446925265021e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.589843750000000000e-02,8.922037686056358829e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.687500000000000000e-02,8.951423386272311378e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.785156250000000000e-02,8.980754441218119499e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.882812500000000000e-02,9.010029746596139866e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.980468750000000000e-02,9.039248200207674611e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.078125000000000000e-02,9.068408701994457033e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.175781250000000000e-02,9.097510154080078459e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.273437500000000000e-02,9.126551460811314076e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.371093750000000000e-02,9.155531528799382146e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.468750000000000000e-02,9.184449266961099978e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.566406250000000000e-02,9.213303586559972169e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.664062500000000000e-02,9.242093401247173379e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.761718750000000000e-02,9.270817627102452274e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.859375000000000000e-02,9.299475182674941109e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.957031250000000000e-02,9.328064989023869824e-01,9.375000000000000000e-01,7.500000000000000000e-01
6.054687500000000000e-02,9.356585969759187993e-01,9.375000000000000000e-01,7.500000000000000000e-01
6.152343750000000000e-02,9.385037051082091297e-01,1.031250000000000000e+00,8.437500000000000000e-01
6.250000000000000000e-02,9.413417161825449186e-01,1.031250000000000000e+00,8.437500000000000000e-01
6.347656250000000000e-02,9.441725233494131508e-01,1.031250000000000000e+00,8.437500000000000000e-01
6.445312500000000000e-02,9.469960200305240772e-01,1.031250000000000000e+00,8.437500000000000000e-01
6.542968750000000000e-02,9.498120999228234496e-01,1.031250000000000000e+00,8.437500000000000000e-01
6.640625000000000000e-02,9.526206570024948750e-01,1.031250000000000000e+00,8.437500000000000000e-01
6.738281250000000000e-02,9.554215855289519554e-01,1.031250000000000000e+00,8.437500000000000000e-01
6.835937500000000000e-02,9.582147800488185485e-01,1.031250000000000000e+00,8.437500000000000000e-01
6.933593750000000000e-02,9.610001353998998130e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.031250000000000000e-02,9.637775467151410425e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.128906250000000000e-02,9.665469094265759509e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.226562500000000000e-02,9.693081192692638570e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.324218750000000000e-02,9.720610722852145447e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.421875000000000000e-02,9.748056648273032421e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.519531250000000000e-02,9.775417935631719457e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.617187500000000000e-02,9.802693554791199748e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.714843750000000000e-02,9.829882478839830906e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.812500000000000000e-02,9.856983684129988488e-01,1.031250000000000000e+00,8.437500000000000000e-01
7.910156250000000000e-02,9.883996150316610718e-01,1.031250000000000000e+00,8.437500000000000000e-01
8.007812500000000000e-02,9.910918860395613317e-01,1.031250000000000000e+00,8.437500000000000000e-01
8.105468750000000000e-02,9.937750800742179980e-01,1.031250000000000000e+00,8.437500000000000000e-01
8.203125000000000000e-02,9.964490961148919634e-01,1.031250000000000000e+00,8.437500000000000000e-01
8.300781250000000000e-02,9.991138334863909343e-01,1.031250000000000000e+00,8.437500000000000000e-01
8.398437500000000000e-02,1.001769191862858843e+00,1.031250000000000000e+00,8.437500000000000000e-01
8.496093750000000000e-02,1.004415071271553384e+00,1.031250000000000000e+00,8.437500000000000000e-01
8.593750000000000000e-02,1.007051372096610775e+00,1.031250000000000000e+00,8.437500000000000000e-01
8.691406250000000000e-02,1.009677995082794766e+00,1.031250000000000000e+00,8.437500000000000000e-01
8.789062500000000000e-02,1.012294841339234530e+00,1.031250000000000000e+00,8.437500000000000000e-01
8.886718750000000000e-02,1.014901812343147247e+00,1.031250000000000000e+00,8.437500000000000000e-01
8.984375000000000000e-02,1.017498809943548466e+00,1.031250000000000000e+00,8.437500000000000000e-01
9.082031250000000000e-02,1.020085736364946483e+00,1.031250000000000000e+00,8.437500000000000000e-01
9.179687500000000000e-02,1.022662494211023176e+00,1.031250000000000000e+00,8.437500000000000000e-01
9.277343750000000000e-02,1.025228986468302406e+00,1.031250000000000000e+00,8.437500000000000000e-01
9.375000000000000000e-02,1.027785116509801089e+00,1.031250000000000000e+00,8.437500000000000000e-01
9.472656250000000000e-02,1.030330788098668071e+00,1.031250000000000000e+00,8.437500000000000000e-01
9.570312500000000000e-02,1.032865905391806560e+00,1.125000000000000000e+00,9.375000000000000000e-01
9.667968750000000000e-02,1.035390372943483683e+00,1.125000000000000000e+00,9.375000000000000000e-01
9.765625000000000000e-02,1.037904095708922725e+00,1.125000000000000000e+00,9.375000000000000000e-01
