time,vecg,vdac_upper,vdac_lower
1.125002999999999854e-03,5.965768430000000233e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.125012399999999807e-03,5.965768489999999646e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.125060399999999912e-03,5.965768820000000305e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.125828400000000078e-03,5.965774130000000008e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.138116399999999917e-03,5.965858979999999478e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.187511000000000035e-03,5.966200059999999805e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.187520799999999908e-03,5.966200130000000046e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.187544799999999852e-03,5.966200289999999962e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.187928800000000043e-03,5.966202950000000227e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.194072799999999854e-03,5.966245369999999548e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000026e-03,5.966631559999999723e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250009999999999967e-03,5.966631629999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250022000000000156e-03,5.966631709999999922e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250214000000000143e-03,5.966633040000000054e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.253285999999999940e-03,5.966654249999999715e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.302437999999999946e-03,5.966993659999999533e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.312517000000000024e-03,5.967063259999999536e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.312525600000000138e-03,5.967063320000000060e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.312621599999999914e-03,5.967063980000000267e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.314157600000000030e-03,5.967074589999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.338733599999999925e-03,5.967244290000000007e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.375003000000000076e-03,5.967494740000000020e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.375012400000000029e-03,5.967494800000000543e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.375060399999999917e-03,5.967495139999999809e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.375828399999999866e-03,5.967500439999999795e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.388116400000000139e-03,5.967585290000000375e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.437511000000000040e-03,5.967926369999999592e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.437520800000000130e-03,5.967926439999999833e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.437544800000000074e-03,5.967926609999999465e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.437928799999999832e-03,5.967929260000000014e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.444072800000000076e-03,5.967971680000000445e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000031e-03,5.968357869999999510e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500010000000000189e-03,5.968357939999999751e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500021999999999944e-03,5.968358030000000536e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500213999999999931e-03,5.968359349999999841e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.503285999999999945e-03,5.968380570000000329e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.552437999999999952e-03,5.968719970000000430e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.562516999999999812e-03,5.968789570000000433e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.562525599999999926e-03,5.968789629999999846e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.562621600000000137e-03,5.968790290000000054e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.564157599999999818e-03,5.968800899999999743e-01,0.000000000000000000e+00,0.000000000000000000e+00
