f,PSD_flicker_out_0,PSD_flicker_out_1,PSD_flicker_out_2,PSD_flicker_1,PSD_flicker_2
1.000000000000000000e+00,9.974453175061454360e-03,2.543252770113704330e-03,1.183347432360171061e-04,1.000000000000000021e-02,4.402380469365272941e-01
1.258925411794168836e+00,7.988461591820062227e-03,2.036866375815300778e-03,9.476688427690473191e-05,7.943282347242805116e-03,5.542268645270282956e-01
1.584893192461114042e+00,6.378718836159932327e-03,1.626418063709203629e-03,7.566728533054434031e-05,6.309573444801930275e-03,6.977302836520784535e-01
1.995262314968878847e+00,5.083608054065070006e-03,1.296195094465171565e-03,6.030244449046776793e-05,5.011872336272724625e-03,8.783903846679533833e-01
2.511886431509582351e+00,4.046524857592928223e-03,1.031763749435080394e-03,4.799959835199320285e-05,3.981071705534969078e-03,1.105827976734141460e+00
3.162277660168379523e+00,3.218529275489613248e-03,8.206450438524238089e-04,3.817755773923561861e-05,3.162277660168379394e-03,1.392154940983538758e+00
3.981071705534977578e+00,2.558708520222478626e-03,6.524069790457247145e-04,3.035068666173127870e-05,2.511886431509576835e-03,1.752619232358988199e+00
5.011872336272724660e+00,2.033528348685728886e-03,5.184990299943403012e-04,2.412104178978197047e-05,1.995262314968878920e-03,2.206416888815914135e+00
6.309573444801943154e+00,1.615827685840132751e-03,4.119957354912367770e-04,1.916636221949183334e-05,1.584893192461110829e-03,2.777714290342184089e+00
7.943282347242821118e+00,1.283767690961787463e-03,3.273287039032951292e-04,1.522756075789244869e-05,1.258925411794166189e-03,3.496935106815573402e+00
1.000000000000000000e+01,1.019868359784693087e-03,2.600409544549217924e-04,1.209727482099638680e-05,1.000000000000000021e-03,4.402380469365272830e+00
1.258925411794168703e+01,8.101781273929074692e-04,2.065751784980343262e-04,9.610005700759898062e-06,7.943282347242805550e-04,5.542268645270281624e+00
1.584893192461114175e+01,6.435813937584834504e-04,1.640971717013590340e-04,7.633899240613143091e-06,6.309573444801929842e-04,6.977302836520785867e+00
1.995262314968882933e+01,5.112319302879224456e-04,1.303513648084465935e-04,6.064022388828135841e-06,5.011872336272714433e-04,8.783903846679551819e+00
2.511886431509581996e+01,4.060945063784699902e-04,1.035439488268277296e-04,4.816924783660227668e-06,3.981071705534969729e-04,1.105827976734141416e+01
3.162277660168379256e+01,3.225766175095225565e-04,8.224897437518935471e-05,3.826269773459575136e-06,3.162277660168379394e-04,1.392154940983538580e+01
3.981071705534977667e+01,2.562338628469928276e-04,6.533323007558588147e-05,3.039339381758362873e-06,2.511886431509576835e-04,1.752619232358988199e+01
5.011872336272725192e+01,2.035348683650326646e-04,5.189630369461006095e-05,2.414245749524782592e-06,1.995262314968878758e-04,2.206416888815914845e+01
6.309573444801942799e+01,1.616740321824415507e-04,4.122283681931127963e-05,1.917709911342457041e-06,1.584893192461110938e-04,2.777714290342184000e+01
7.943282347242821118e+01,1.284225189708101175e-04,3.274453212307869044e-05,1.523294309608438051e-06,1.258925411794166351e-04,3.496935106815573846e+01
1.000000000000000000e+02,1.020097683076939062e-04,2.600994094117688076e-05,1.209997274208163555e-06,1.000000000000000048e-04,4.402380469365272830e+01
1.258925411794168809e+02,8.102930710290055013e-05,2.066044778562553682e-05,9.611357978831641330e-07,7.943282347242804466e-05,5.542268645270282690e+01
1.584893192461114211e+02,6.436390051186891047e-05,1.641118569500388786e-05,7.634577021321441912e-07,6.309573444801929300e-05,6.977302836520786400e+01
1.995262314968883004e+02,5.112608053393514340e-05,1.303587251156735782e-05,6.064362095315534964e-07,5.011872336272714298e-05,8.783903846679551464e+01
2.511886431509582280e+02,4.061089784933804192e-05,1.035476377972950835e-05,4.817095043835644087e-07,3.981071705534969458e-05,1.105827976734141487e+02
3.162277660168379612e+02,3.225838708460860367e-05,8.225082326490163438e-06,3.826355106830912111e-07,3.162277660168378852e-05,1.392154940983538722e+02
3.981071705534977241e+02,2.562374981574578705e-05,6.533415672335148158e-06,3.039382150116775575e-07,2.511886431509577106e-05,1.752619232358988199e+02
5.011872336272724624e+02,2.035366903459610510e-05,5.189676812112121543e-06,2.414267184594527642e-07,1.995262314968878961e-05,2.206416888815914206e+02
6.309573444801942514e+02,1.616749453391006170e-05,4.122306958473418092e-06,1.917720654361975651e-07,1.584893192461111073e-05,2.777714290342183290e+02
7.943282347242821970e+02,1.284229766342432322e-05,3.274464878238517298e-06,1.523299693884121277e-07,1.258925411794166114e-05,3.496935106815574272e+02
1.000000000000000000e+03,1.020099976830716913e-05,2.600999940941042968e-06,1.209999972742019827e-07,1.000000000000000082e-05,4.402380469365273257e+02
1.258925411794168667e+03,8.102942206300894860e-06,2.066047708918257882e-06,9.611371503550274547e-08,7.943282347242806499e-06,5.542268645270281695e+02
1.584893192461114040e+03,6.436395812843838321e-06,1.641120038158042266e-06,7.634583799741380542e-08,6.309573444801930485e-06,6.977302836520784695e+02
1.995262314968882947e+03,5.112610941063395081e-06,1.303587987229450471e-06,6.064365492574218602e-08,5.011872336272714806e-06,8.783903846679551179e+02
2.511886431509582053e+03,4.061091232197391208e-06,1.035476746883276859e-06,4.817096746498688355e-08,3.981071705534969119e-06,1.105827976734141430e+03
3.162277660168379498e+03,3.225839433810991583e-06,8.225084175421868479e-07,3.826355960184006951e-08,3.162277660168379191e-06,1.392154940983538836e+03
3.981071705534977355e+03,2.562375345110834315e-06,6.533416598996193817e-07,3.039382577806488551e-08,2.511886431509577191e-06,1.752619232358988029e+03
5.011872336272725079e+03,2.035367085659351577e-06,5.189677276542832492e-07,2.414267398947164037e-08,1.995262314968878707e-06,2.206416888815914263e+03
6.309573444801942969e+03,1.616749544707192528e-06,4.122307191240168933e-07,1.917720761792783640e-08,1.584893192461110904e-06,2.777714290342183631e+03
7.943282347242821743e+03,1.284229812108940360e-06,3.274464994898244259e-07,1.523299747727072022e-08,1.258925411794166114e-06,3.496935106815573818e+03
1.000000000000000000e+04,1.020099999768306614e-06,2.600999999409408988e-07,1.209999999727419585e-08,9.999999999999999547e-07,4.402380469365272802e+03
1.258925411794166212e+04,8.102942321261184784e-07,2.066047738221861224e-07,9.611371638797675957e-09,7.943282347242821957e-07,5.542268645270271008e+03
1.584893192461117360e+04,6.436395870460447067e-07,1.641120052844628589e-07,7.634583867525626912e-09,6.309573444801916933e-07,6.977302836520799247e+03
1.995262314968882856e+04,5.112610969940110493e-07,1.303587994590181870e-07,6.064365526546824476e-09,5.011872336272714383e-07,8.783903846679550043e+03
2.511886431509582326e+04,4.061091246670031620e-07,1.035476750572381397e-07,4.817096763525324949e-09,3.981071705534969225e-07,1.105827976734141521e+04
3.162277660168379225e+04,3.225839441064494700e-07,8.225084193911191907e-08,3.826355968717540467e-09,3.162277660168379721e-07,1.392154940983538654e+04
3.981071705534969078e+04,2.562375348746203057e-07,6.533416608262819757e-08,3.039382582083392324e-09,2.511886431509582273e-07,1.752619232358984300e+04
5.011872336272735265e+04,2.035367087481344169e-07,5.189677281187128435e-08,2.414267401090684969e-09,1.995262314968874736e-07,2.206416888815919083e+04
6.309573444801942969e+04,1.616749545620354396e-07,4.122307193567836383e-08,1.917720762867091492e-09,1.584893192461110904e-07,2.777714290342183813e+04
7.943282347242820833e+04,1.284229812566605603e-07,3.274464996064841164e-08,1.523299748265501957e-09,1.258925411794166432e-07,3.496935106815573818e+04
