wout,mag_total_0,mag_total_1,phase_total_0,phase_total_1
1.644371723214931580e-01,3.735167047164025433e+01,3.360487970783515976e+01,-1.374933774235922215e+02,-1.186137179575350302e+02
1.674942876026437322e-01,3.742398653946097653e+01,3.372766023553197812e+01,-1.380186474249647404e+02,-1.190596365453602772e+02
1.706082389003123478e-01,3.749484533184627821e+01,3.384937819674926374e+01,-1.385429009747634836e+02,-1.195099144303355985e+02
1.737800828749375415e-01,3.756425296954481041e+01,3.397001298285386639e+01,-1.390659648631003336e+02,-1.199644819204016102e+02
1.770108958317421211e-01,3.763221651282496794e+01,3.408954413613801648e+01,-1.395876678607069437e+02,-1.204232643611627225e+02
1.803017740859569062e-01,3.769874394282877006e+01,3.420795138385032175e+01,-1.401078409907305797e+02,-1.208861821032191841e+02
1.836538343348346480e-01,3.776384414065928752e+01,3.432521467305865315e+01,-1.406263177915434994e+02,-1.213531504808350263e+02
1.870682140365800550e-01,3.782752686431649636e+01,3.444131420625103601e+01,-1.411429345696157895e+02,-1.218240798025210978e+02
1.905460717963247397e-01,3.788980272360683443e+01,3.455623047757200794e+01,-1.416575306415739419e+02,-1.222988753540793709e+02
1.940885877592778419e-01,3.795068315316052576e+01,3.466994430958303042e+01,-1.421699485646447840e+02,-1.227774374146149370e+02
1.976969640111860826e-01,3.801018038369905128e+01,3.478243689042779607e+01,-1.426800343547649277e+02,-1.232596612859762644e+02
2.013724249862388627e-01,3.806830741170148258e+01,3.489368981127525871e+01,-1.431876376917208233e+02,-1.237454373360341577e+02
2.051162178825565729e-01,3.812507796762395884e+01,3.500368510390590160e+01,-1.436926121107736094e+02,-1.242346510561520319e+02
2.089296130854039757e-01,3.818050648283063708e+01,3.511240527830045721e+01,-1.441948151803085523e+02,-1.247271831331386949e+02
2.128139045982712363e-01,3.823460805539725982e+01,3.521983336008386800e+01,-1.446941086651419255e+02,-1.252229095359070783e+02
2.167704104819695166e-01,3.828739841494999041e+01,3.532595292767258854e+01,-1.451903586752054025e+02,-1.257217016169898187e+02
2.208004733018900378e-01,3.833889388670242937e+01,3.543074814896877456e+01,-1.456834357994176798e+02,-1.262234262289869378e+02
2.249054605835781873e-01,3.838911135485301429e+01,3.553420381744187750e+01,-1.461732152246393071e+02,-1.267279458559390406e+02
2.290867652767773488e-01,3.843806822550276792e+01,3.563630538743571208e+01,-1.466595768396906010e+02,-1.272351187595372721e+02
2.333458062281003331e-01,3.848578238925028216e+01,3.573703900853816151e+01,-1.471424053244953711e+02,-1.277447991399934182e+02
2.376840286624877230e-01,3.853227218361696771e+01,3.583639155885072825e+01,-1.476215902244874769e+02,-1.282568373113062137e+02
2.421029046736178914e-01,3.857755635545034067e+01,3.593435067699638807e+01,-1.480970260104927831e+02,-1.287710798905705474e+02
2.466039337234340045e-01,3.862165402344732001e+01,3.603090479270696989e+01,-1.485686121243668936e+02,-1.292873700008855735e+02
2.511886431509580686e-01,3.866458464093332736e+01,3.612604315583492109e+01,-1.490362530107301211e+02,-1.298055474873300739e+02
2.558585886905645479e-01,3.870636795902532867e+01,3.621975586363967636e+01,-1.494998581352024871e+02,-1.303254491453845958e+02
2.606153549998895258e-01,3.874702399029956013e+01,3.631203388620532024e+01,-1.499593419895896886e+02,-1.308469089610949538e+02
2.654605561975538763e-01,3.878657297307660912e+01,3.640286908985368086e+01,-1.504146240845203977e+02,-1.313697583621900264e+02
2.703958364108843271e-01,3.882503533642785953e+01,3.649225425842629278e+01,-1.508656289300741378e+02,-1.318938264792882649e+02
2.754228703338166273e-01,3.886243166599879828e+01,3.658018311231838027e+01,-1.513122860049739700e+02,-1.324189404162550829e+02
2.805433637951713077e-01,3.889878267073564189e+01,3.666665032515939515e+01,-1.517545297149474095e+02,-1.329449255287057952e+02
2.857590543374946557e-01,3.893410915059318000e+01,3.675165153804685758e+01,-1.521922993408816183e+02,-1.334716057095893120e+02
2.910717118066605269e-01,3.896843196529226816e+01,3.683518337125288156e+01,-1.526255389774171647e+02,-1.339988036807335732e+02
2.964831389524342220e-01,3.900177200418725221e+01,3.691724343333714131e+01,-1.530541974626373474e+02,-1.345263412891899009e+02
3.019951720402015982e-01,3.903415015729438409e+01,3.699783032761409629e+01,-1.534782282995167009e+02,-1.350540398071765935e+02
3.076096814740708063e-01,3.906558728752414567e+01,3.707694365593732755e+01,-1.538975895697954002e+02,-1.355817202343939414e+02
3.133285724315585385e-01,3.909610420415214094e+01,3.715458401977934244e+01,-1.543122438409456265e+02,-1.361092036014659925e+02
3.191537855100761711e-01,3.912572163755542221e+01,3.723075301860052377e+01,-1.547221580668882268e+02,-1.366363112732543925e+02
3.250872973854344039e-01,3.915446021523334252e+01,3.730545324551669495e+01,-1.551273034831101825e+02,-1.371628652507918105e+02
3.311311214825911065e-01,3.918234043912539732e+01,3.737868828029014168e+01,-1.555276554968201026e+02,-1.376886884705916998e+02
3.372873086588689118e-01,3.920938266423129903e+01,3.745046267968427856e+01,-1.559231935727624716e+02,-1.382136051001126020e+02
3.435579478998746494e-01,3.923560707853253859e+01,3.752078196523709153e+01,-1.563139011152936177e+02,-1.387374408281839351e+02
3.499451670283573179e-01,3.926103368420888984e+01,3.758965260852258439e+01,-1.566997653473012519e+02,-1.392600231492380374e+02
3.564511334262442932e-01,3.928568228013783425e+01,3.765708201398349786e+01,-1.570807771865262339e+02,-1.397811816402408169e+02
3.630780547701014105e-01,3.930957244565989583e+01,3.772307849943099711e+01,-1.574569311198216610e+02,-1.403007482292667021e+02
3.698281797802662751e-01,3.933272352558882545e+01,3.778765127431935156e+01,-1.578282250758573184e+02,-1.408185574547268573e+02
3.767037989839089884e-01,3.935515461644106949e+01,3.785081041591445228e+01,-1.581946602967522608e+02,-1.413344467143261056e+02
3.837072454922788589e-01,3.937688455385578834e+01,3.791256684348470429e+01,-1.585562412090894497e+02,-1.418482565028991473e+02
3.908408957924021099e-01,3.939793190117347876e+01,3.797293229065178366e+01,-1.589129752947390273e+02,-1.423598306383553904e+02
3.981071705534973137e-01,3.941831493913851148e+01,3.803191927604594724e+01,-1.592648729618890400e+02,-1.428690164750432530e+02
4.055085354483839444e-01,3.943805165668868540e+01,3.808954107241702047e+01,-1.596119474166527539e+02,-1.433756651039325618e+02
4.130475019901613809e-01,3.945715974279287508e+01,3.814581167435681408e+01,-1.599542145355951845e+02,-1.438796315391000746e+02
4.207266283844441901e-01,3.947565657929663274e+01,3.820074576479265716e+01,-1.602916927394934987e+02,-1.443807748900929653e+02
4.285485203974396251e-01,3.949355923473378738e+01,3.825435868041375898e+01,-1.606244028686174090e+02,-1.448789585198355496e+02
4.365158322401661573e-01,3.951088445906202651e+01,3.830666637619333414e+01,-1.609523680597918371e+02,-1.453740501878325233e+02
4.446312674691088040e-01,3.952764867927906778e+01,3.835768538916940429e+01,-1.612756136254753869e+02,-1.458659221785106013e+02
4.528975799036208949e-01,3.954386799587619805e+01,3.840743280164553397e+01,-1.615941669350659993e+02,-1.463544514146268227e+02
4.613175745603795286e-01,3.955955818008581559e+01,3.845592620397064110e+01,-1.619080572986198092e+02,-1.468395195557533555e+02
4.698941086052153548e-01,3.957473467187958960e+01,3.850318365705339829e+01,-1.622173158531468289e+02,-1.473210130819303458e+02
4.786300923226382564e-01,3.958941257867445529e+01,3.854922365476233637e+01,-1.625219754516255080e+02,-1.477988233626525414e+02
4.875284901033862806e-01,3.960360667470391149e+01,3.859406508635743194e+01,-1.628220705548570777e+02,-1.482728467114274622e+02
4.965923214503361049e-01,3.961733140101324580e+01,3.863772719909297848e+01,-1.631176371262622524e+02,-1.487429844262090057e+02
5.058246620031140450e-01,3.963060086603768184e+01,3.868022956112454835e+01,-1.634087125297032230e+02,-1.492091428160715338e+02
5.152286445817564342e-01,3.964342884672366552e+01,3.872159202484582607e+01,-1.636953354303976482e+02,-1.496712332145454809e+02
5.248074602497725394e-01,3.965582879015466489e+01,3.876183469077278687e+01,-1.639775456989747511e+02,-1.501291719800849194e+02
5.345643593969716667e-01,3.966781381564381803e+01,3.880097787208489990e+01,-1.642553843187097300e+02,-1.505828804841819135e+02
5.445026528424211643e-01,3.967939671725712003e+01,3.883904205992417502e+01,-1.645288932959576584e+02,-1.510322850876809753e+02
