wout,mag_ol,phase_ol
2.421029046736177665e-02,7.999989817856543084e+01,-2.774273247834069811e-01
2.466039337234338796e-02,7.999989435741477450e+01,-2.825850009572813959e-01
2.511886431509579784e-02,7.999989039286592174e+01,-2.878385607815526770e-01
2.558585886905645132e-02,7.999988627953767661e+01,-2.931897865988112861e-01
2.606153549998894980e-02,7.999988201184686432e+01,-2.986404938727226788e-01
2.654605561975538486e-02,7.999987758400079940e+01,-3.041925318028414482e-01
2.703958364108843479e-02,7.999987298998944141e+01,-3.098477839509260479e-01
2.754228703338166065e-02,7.999986822357726624e+01,-3.156081688788563433e-01
2.805433637951713216e-02,7.999986327829472543e+01,-3.214756407982808928e-01
2.857590543374946557e-02,7.999985814742950652e+01,-3.274521902322996558e-01
2.910717118066605269e-02,7.999985282401746645e+01,-3.335398446894108360e-01
2.964831389524342359e-02,7.999984730083309614e+01,-3.397406693499506747e-01
3.019951720402016052e-02,7.999984157037978605e+01,-3.460567677652051644e-01
3.076096814740707924e-02,7.999983562487963695e+01,-3.524902825693450037e-01
3.133285724315585524e-02,7.999982945626288711e+01,-3.590433962047197003e-01
3.191537855100761573e-02,7.999982305615698408e+01,-3.657183316603820900e-01
3.250872973854343484e-02,7.999981641587521608e+01,-3.725173532243277741e-01
3.311311214825911342e-02,7.999980952640493115e+01,-3.794427672496271109e-01
3.372873086588688840e-02,7.999980237839528741e+01,-3.864969229347553492e-01
3.435579478998746633e-02,7.999979496214459118e+01,-3.936822131181966777e-01
3.499451670283573040e-02,7.999978726758715197e+01,-4.010010750878320596e-01
3.564511334262442793e-02,7.999977928427956897e+01,-4.084559914052371399e-01
3.630780547701013827e-02,7.999977100138661967e+01,-4.160494907451197100e-01
3.698281797802662613e-02,7.999976240766649482e+01,-4.237841487503797855e-01
3.767037989839089329e-02,7.999975349145566383e+01,-4.316625889027678187e-01
3.837072454922788034e-02,7.999974424065290179e+01,-4.396874834097246887e-01
3.908408957924021376e-02,7.999973464270300383e+01,-4.478615541074559836e-01
3.981071705534973415e-02,7.999972468457966102e+01,-4.561875733807227440e-01
4.055085354483839444e-02,7.999971435276786735e+01,-4.646683650995022119e-01
4.130475019901614503e-02,7.999970363324551670e+01,-4.733068055729507395e-01
4.207266283844442178e-02,7.999969251146444549e+01,-4.821058245208723059e-01
4.285485203974396390e-02,7.999968097233066544e+01,-4.910684060630490233e-01
4.365158322401661156e-02,7.999966900018387150e+01,-5.001975897268157167e-01
4.446312674691089289e-02,7.999965657877625347e+01,-5.094964714730304545e-01
4.528975799036209088e-02,7.999964369125044072e+01,-5.189682047410517640e-01
4.613175745603794592e-02,7.999963032011662278e+01,-5.286160015127746581e-01
4.698941086052155908e-02,7.999961644722885978e+01,-5.384431333962325095e-01
4.786300923226385201e-02,7.999960205376042666e+01,-5.484529327290461609e-01
4.875284901033865442e-02,7.999958712017833307e+01,-5.586487937021522576e-01
4.965923214503362854e-02,7.999957162621686280e+01,-5.690341735041406501e-01
5.058246620031139895e-02,7.999955555084997627e+01,-5.796125934863814999e-01
5.152286445817564481e-02,7.999953887226294569e+01,-5.903876403497022585e-01
5.248074602497725810e-02,7.999952156782265433e+01,-6.013629673525666686e-01
5.345643593969716389e-02,7.999950361404701482e+01,-6.125422955415412707e-01
5.445026528424212059e-02,7.999948498657305151e+01,-6.239294150040023412e-01
5.546257129579107437e-02,7.999946566012397398e+01,-6.355281861438940583e-01
5.649369748123025253e-02,7.999944560847477248e+01,-6.473425409806671249e-01
5.754399373371569398e-02,7.999942480441680459e+01,-6.593764844719824936e-01
5.861381645140287255e-02,7.999940321972083268e+01,-6.716340958603834732e-01
5.970352865838369355e-02,7.999938082509881099e+01,-6.841195300445730432e-01
6.081350012787179599e-02,7.999935759016415204e+01,-6.968370189755498378e-01
6.194410750767814777e-02,7.999933348339061467e+01,-7.097908730782400699e-01
6.309573444801933051e-02,7.999930847206947249e+01,-7.229854826987516248e-01
6.426877173170197910e-02,7.999928252226533232e+01,-7.364253195780899874e-01
6.546361740672750062e-02,7.999925559877003423e+01,-7.501149383523630920e-01
6.668067692136221691e-02,7.999922766505504512e+01,-7.640589780803374031e-01
6.792036326171846383e-02,7.999919868322189132e+01,-7.782621637984750151e-01
