wout,mag_total_0,mag_total_1,mag_total_2,phase_total_0,phase_total_1,phase_total_2
3.076096814740707924e-02,2.013128123582893636e+01,1.411068132255063645e+01,1.312812358306834071e-01,-9.582690975413133572e+01,-9.582689148211620989e+01,-9.582687686450421438e+01
3.133285724315585524e-02,2.028960170226399384e+01,1.426900178898574190e+01,2.896017022658063933e-01,-9.593447396676685912e+01,-9.593445535504960731e+01,-9.593444046567591954e+01
3.191537855100761573e-02,2.044785982473442942e+01,1.442725991145623432e+01,4.478598247363151375e-01,-9.604399480080735430e+01,-9.604397584307245950e+01,-9.604396067688463745e+01
3.250872973854343484e-02,2.060605331545314201e+01,1.458545340217499486e+01,6.060533154550952206e-01,-9.615550621765412131e+01,-9.615548690746861382e+01,-9.615547145932032436e+01
3.311311214825911342e-02,2.076417980467479296e+01,1.474357989139670799e+01,7.641798046768227826e-01,-9.626904267636876966e+01,-9.626902300718009542e+01,-9.626900727182928108e+01
3.372873086588688840e-02,2.092223683791034006e+01,1.490163692463230660e+01,9.222368379124469273e-01,-9.638463913565621510e+01,-9.638461910079001882e+01,-9.638460307289719253e+01
3.435579478998746633e-02,2.108022187305824602e+01,1.505962195978027651e+01,1.080221873060428495e+00,-9.650233105550259438e+01,-9.650231064816041737e+01,-9.650229432228682924e+01
3.499451670283573040e-02,2.123813227745090870e+01,1.521753236417300315e+01,1.238132277453176444e+00,-9.662215439844234766e+01,-9.662213361169933989e+01,-9.662211698230510137e+01
3.564511334262442793e-02,2.139596532481468216e+01,1.537536541153683878e+01,1.395965324817030284e+00,-9.674414563042829229e+01,-9.674412445723089604e+01,-9.674410751867316094e+01
3.630780547701013827e-02,2.155371819214198581e+01,1.553311827886420460e+01,1.553718192144418975e+00,-9.686834172127673526e+01,-9.686832015444019817e+01,-9.686830290097115892e+01
3.698281797802662613e-02,2.171138795647411257e+01,1.569078804319639708e+01,1.711387956476638106e+00,-9.699478014465798026e+01,-9.699475817686402479e+01,-9.699474060262903663e+01
3.767037989839089329e-02,2.186897159159334691e+01,1.584837167831571136e+01,1.868971591595971038e+00,-9.712349887760225897e+01,-9.712347650139653865e+01,-9.712345860043211587e+01
3.837072454922788034e-02,2.202646596462311379e+01,1.600586605134554929e+01,2.026465964625834282e+00,-9.725453639948823081e+01,-9.725451360727778649e+01,-9.725449537350958451e+01
3.908408957924021376e-02,2.218386783253494698e+01,1.616326791925746065e+01,2.183867832537768727e+00,-9.738793169048067000e+01,-9.738790847453141453e+01,-9.738788990177214089e+01
3.981071705534973415e-02,2.234117383856126082e+01,1.632057392528385265e+01,2.341173838564188703e+00,-9.752372422938219643e+01,-9.752370058181620038e+01,-9.752368166376356839e+01
4.055085354483839444e-02,2.249838050851294469e+01,1.647778059523562533e+01,2.498380508515984477e+00,-9.766195399086193163e+01,-9.766192990365483695e+01,-9.766191063388934879e+01
4.130475019901614503e-02,2.265548424700090990e+01,1.663488433372367581e+01,2.655484247004065601e+00,-9.780266144202273892e+01,-9.780263690700104462e+01,-9.780261727898385971e+01
