wout,mag_flicker_0,mag_flicker_1,mag_flicker_2,phase_flicker_0,phase_flicker_1,phase_flicker_2
7.311390834834172181e-02,2.754165518606360408e+01,2.162768893014007077e+01,8.846694103560194478e+00,-2.859716503077313519e+02,-2.882558098320242266e+02,-3.041799137355087623e+02
7.447319739059889143e-02,2.769234713597786168e+01,2.177762219819083001e+01,8.978255639822387835e+00,-2.861727965644302571e+02,-2.884155749718258335e+02,-3.040792358038653447e+02
7.585775750291835762e-02,2.784272889021249142e+01,2.192727250093660984e+01,9.110116657273744423e+00,-2.863787243411185841e+02,-2.885808603729709603e+02,-3.039873617674818433e+02
7.726805850957021993e-02,2.799278954091597882e+01,2.207662796053405430e+01,9.242249376665132132e+00,-2.865894666166101956e+02,-2.887516864125694838e+02,-3.039043188724631364e+02
7.870457896950984467e-02,2.814251789496999479e+01,2.222567644790582975e+01,9.374626037541007761e+00,-2.868050561444591722e+02,-2.889280734257567360e+02,-3.038301315387144541e+02
8.016780633876789686e-02,2.829190246888492766e+01,2.237440557647891737e+01,9.507218898350993541e+00,-2.870255253818172037e+02,-2.891100416336573744e+02,-3.037648214148259171e+02
8.165823713585922128e-02,2.844093148392100900e+01,2.252280269618523079e+01,9.640000235914568449e+00,-2.872509064152990277e+02,-2.892976110682475905e+02,-3.037084074277753984e+02
8.317637711026708291e-02,2.858959286146093959e+01,2.267085488774947422e+01,9.772942344308667373e+00,-2.874812308838102695e+02,-2.894908014940762655e+02,-3.036609058272073867e+02
8.472274141405965187e-02,2.873787421866137137e+01,2.281854895729065547e+01,9.906017533249386275e+00,-2.877165298982958461e+02,-2.896896323268148308e+02,-3.036223302240705948e+02
8.629785477669701943e-02,2.888576286441186625e+01,2.296587143126489394e+01,1.003919812604012129e+01,-2.879568339583789793e+02,-2.898941225486089479e+02,-3.035926916234335522e+02
8.790225168308841985e-02,2.903324579563161834e+01,2.311280855177891169e+01,1.017245645715939339e+01,-2.882021728658634174e+02,-2.901042906202160339e+02,-3.035719984513219174e+02
8.953647655495937385e-02,2.918030969393546670e+01,2.325934627230473239e+01,1.030576486956240601e+01,-2.884525756350875554e+02,-2.903201543899199919e+02,-3.035602565754520015e+02
9.120108393559096804e-02,2.932694092270216402e+01,2.340547025382782209e+01,1.043909571177099593e+01,-2.887080704001232903e+02,-2.905417309992255355e+02,-3.035574693197659144e+02
9.289663867799362318e-02,2.947312552457935197e+01,2.355116586146195701e+01,1.057242133482697533e+01,-2.889686843188283660e+02,-2.907690367853446674e+02,-3.035636374727005773e+02
9.462371613657930003e-02,2.961884921946082727e+01,2.369641816156583047e+01,1.070571408918430834e+01,-2.892344434737702841e+02,-2.910020871805004390e+02,-3.035787592891528561e+02
9.638290236239706321e-02,2.976409740297311401e+01,2.384121191939728135e+01,1.083894632161549865e+01,-2.895053727700562831e+02,-2.912408966080860750e+02,-3.036028304861316656e+02
