Ctail_vec,tpd_si,tpd_wi
4.799999999999999742e-13,1.172199999999999989e+02,6.122999999999999687e+01
4.999999999999999899e-13,9.934999999999999432e+01,5.015999999999999659e+01
5.999999999999999677e-13,4.964000000000000057e+01,2.153999999999999915e+01
9.000000000000000021e-13,1.621000000000000085e+01,5.549999999999999822e+00
1.199999999999999935e-12,1.027999999999999936e+01,3.350000000000000089e+00
1.500000000000000071e-12,8.119999999999999218e+00,2.649999999999999911e+00
