CP_vec,epc_si,epc_wi,epc_formula
5.000000000000000152e-14,3.710600000000000023e+02,7.105000000000000000e+02,2.250000000000000000e+02
1.000000000000000030e-13,6.608099999999999454e+02,1.003070000000000050e+03,4.500000000000000000e+02
2.000000000000000061e-13,1.244779999999999973e+03,1.588529999999999973e+03,9.000000000000000000e+02
2.999999999999999839e-13,1.829680000000000064e+03,2.173869999999999891e+03,1.350000000000000000e+03
4.000000000000000121e-13,2.414829999999999927e+03,2.759059999999999945e+03,1.800000000000000000e+03
4.999999999999999899e-13,3.000059999999999945e+03,3.344400000000000091e+03,2.250000000000000000e+03
