Ctail_vec,v_cp_min_0,v_cp_min_1,v_cp_min_2,v_cp_min_3,v_cp_min_4,v_cp_min_5
4.799999999999999742e-13,2.586206896551723755e-01,4.411764705882352811e-01,6.818181818181818787e-01,8.333333333333332593e-01,9.375000000000000000e-01,1.013513513513513598e+00
4.999999999999999899e-13,2.500000000000000000e-01,4.285714285714288252e-01,6.666666666666666297e-01,8.181818181818182323e-01,9.230769230769231282e-01,1.000000000000000000e+00
5.999999999999999677e-13,2.142857142857141906e-01,3.750000000000002220e-01,6.000000000000000888e-01,7.500000000000000000e-01,8.571428571428572063e-01,9.375000000000001110e-01
9.000000000000000021e-13,1.499999999999999112e-01,2.727272727272727071e-01,4.615384615384616751e-01,6.000000000000000888e-01,7.058823529411764053e-01,7.894736842105263275e-01
1.199999999999999935e-12,1.153846153846154188e-01,2.142857142857141906e-01,3.750000000000002220e-01,5.000000000000000000e-01,6.000000000000000888e-01,6.818181818181818787e-01
1.500000000000000071e-12,9.375000000000000000e-02,1.764705882352941568e-01,3.157894736842106198e-01,4.285714285714286031e-01,5.217391304347827052e-01,6.000000000000000888e-01
