Ctail_vec,epc_si,epc_formula_si,epc_wi,epc_formula_wi
4.799999999999999742e-13,3.588999999999999773e+02,2.880000000000000000e+02,4.125600000000000023e+02,3.104999999999999432e+02
4.999999999999999899e-13,3.717200000000000273e+02,2.970000000000000568e+02,4.271999999999999886e+02,3.239999999999998295e+02
5.999999999999999677e-13,4.261800000000000068e+02,3.554999999999998295e+02,5.003999999999999773e+02,3.869999999999998863e+02
9.000000000000000021e-13,5.868799999999999955e+02,5.040000000000000000e+02,7.234500000000000455e+02,5.714999999999998863e+02
1.199999999999999935e-12,7.468899999999999864e+02,6.434999999999998863e+02,9.525399999999999636e+02,7.380000000000000000e+02
1.500000000000000071e-12,9.069800000000000182e+02,7.694999999999998863e+02,1.177250000000000000e+03,8.864999999999998863e+02
