gm_id_vec,Vn_in_rms_0,Vn_in_rms_1,Vn_in_rms_2,Vn_in_rms_3,Vn_in_rms_4,Vn_in_rms_5
1.500000000000000000e+01,2.101922167921543121e+02,1.486283418463652310e+02,1.050961083960771560e+02,8.581061317420667933e+01,7.431417092318261552e+01,6.646861515030985856e+01
1.550000000000000000e+01,2.067742293794946420e+02,1.462114597688633353e+02,1.033871146897473210e+02,8.441522565616136831e+01,7.310572988443166764e+01,6.538775262653081199e+01
1.600000000000000000e+01,2.035177387846081558e+02,1.439087731863488671e+02,1.017588693923040779e+02,8.308576893788732320e+01,7.195438659317443353e+01,6.435795988065501660e+01
1.650000000000000000e+01,2.004104152619183310e+02,1.417115636521144211e+02,1.002052076309591655e+02,8.181720942183103773e+01,7.085578182605721054e+01,6.337533790478323681e+01
1.700000000000000000e+01,1.974412079284243475e+02,1.396120170118519752e+02,9.872060396421217376e+01,8.060503560389935274e+01,6.980600850592598761e+01,6.243639210287162200e+01
1.750000000000000000e+01,1.946001791219260610e+02,1.376031062772307223e+02,9.730008956096303052e+01,7.944519045048784278e+01,6.880155313861536115e+01,6.153797991020319813e+01
1.800000000000000000e+01,1.918783642484651466e+02,1.356784925230720944e+02,9.593918212423257330e+01,7.833401418143830597e+01,6.783924626153604720e+01,6.067726647325724088e+01
1.850000000000000000e+01,1.892676526095368388e+02,1.338324406194632559e+02,9.463382630476841939e+01,7.726819561795171865e+01,6.691622030973162794e+01,5.985168696396479504e+01
1.900000000000000000e+01,1.867606855957926939e+02,1.320597472438337832e+02,9.338034279789634695e+01,7.624473062034137172e+01,6.602987362191689158e+01,5.905891438573056718e+01
1.950000000000000000e+01,1.843507693334805424e+02,1.303556791126611074e+02,9.217538466674027120e+01,7.526088642609137480e+01,6.517783955633055371e+01,5.829683194981195271e+01
2.000000000000000000e+01,1.820317994197717439e+02,1.287159197613100332e+02,9.101589970988587197e+01,7.431417092318261552e+01,6.435795988065501660e+01,5.756350927453954114e+01
2.050000000000000000e+01,1.797981958182901110e+02,1.271365235082196818e+02,8.989909790914505550e+01,7.340230607130382623e+01,6.356826175410984092e+01,5.685718179747586021e+01
2.100000000000000000e+01,1.776448463327079708e+02,1.256138754846999888e+02,8.882242316635398538e+01,7.252320482504367760e+01,6.280693774234999438e+01,5.617623290019670890e+01
2.150000000000000000e+01,1.755670573538982069e+02,1.241446568079089161e+02,8.778352867694910344e+01,7.167495102649994010e+01,6.207232840395445805e+01,5.551917833317328643e+01
2.200000000000000000e+01,1.735605107998098333e+02,1.227258141327465637e+02,8.678025539990491666e+01,7.085578182605721054e+01,6.136290706637328185e+01,5.488465259896513970e+01
2.250000000000000000e+01,1.716212263484133587e+02,1.213545329465144675e+02,8.581061317420667933e+01,7.006407226405144684e+01,6.067726647325723377e+01,5.427139700922884913e+01
2.300000000000000000e+01,1.697455282115734860e+02,1.200282140744960202e+02,8.487276410578674302e+01,6.929832170626031029e+01,6.001410703724801010e+01,5.367824917769402049e+01
2.350000000000000000e+01,1.679300158183936844e+02,1.187444529499503716e+02,8.396500790919684221e+01,6.855714187542869809e+01,5.937222647497518579e+01,5.310413374942289977e+01
2.400000000000000000e+01,1.661715378757746180e+02,1.175010212721574590e+02,8.308576893788730899e+01,6.783924626153604720e+01,5.875051063607872948e+01,5.254805419803857802e+01
2.450000000000000000e+01,1.644671693558272523e+02,1.162958507340617871e+02,8.223358467791362614e+01,6.714344072694711940e+01,5.814792536703089354e+01,5.200908554850619936e+01
2.500000000000000000e+01,1.628141910276865474e+02,1.151270185490790823e+02,8.140709551384327369e+01,6.646861515030984435e+01,5.756350927453954114e+01,5.148636790452401613e+01
