CP_vec,tpd_si,tpd_wi
5.000000000000000152e-14,1.050000000000000044e+00,6.199999999999999956e-01
1.000000000000000030e-13,1.699999999999999956e+00,8.100000000000000533e-01
2.000000000000000061e-13,2.870000000000000107e+00,1.159999999999999920e+00
2.999999999999999839e-13,3.950000000000000178e+00,1.489999999999999991e+00
4.000000000000000121e-13,4.990000000000000213e+00,1.800000000000000044e+00
4.999999999999999899e-13,6.000000000000000000e+00,2.089999999999999858e+00
