time,Vinp,Vout
9.950013999999999896e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.950213999999999714e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.950414000000000669e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.950613999999999351e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.950814000000001442e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.951014000000000124e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.951213999999998805e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.951414000000000897e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.951613999999999578e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.951814000000000533e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.952014000000000351e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.952213999999999032e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.952414000000001124e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.952613999999999805e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.952814000000000760e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.953014000000000578e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.953213999999999260e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.953414000000000215e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.953614000000000033e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.953813999999998714e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.954014000000000806e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.954213999999999487e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.954414000000000442e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.954614000000000260e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.954813999999998941e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.955013999999999896e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.955213999999999714e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.955414000000000669e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.955614000000000487e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.955813999999999169e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.956014000000000124e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.956213999999999942e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.956414000000000897e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.956613999999999578e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.956813999999999396e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.957014000000000351e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.957214000000000169e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.957414000000001124e+02,0.000000000000000000e+00,0.000000000000000000e+00
