Vinp,Vout,dVout
7.504239999999999782e+02,3.200193220000000052e-07,8.534857839999999973e-03
7.504279999999999973e+02,3.560417560000000210e-07,9.495570820000000245e-03
7.504320000000000164e+02,3.961189939999999798e-07,1.056441699999999956e-02
7.504360000000000355e+02,4.407074570000000202e-07,1.175359269999999914e-02
7.504399999999999409e+02,4.903149439999999889e-07,1.307660750000000024e-02
7.504439999999999600e+02,5.455064109999999701e-07,1.454855510000000081e-02
7.504479999999999791e+02,6.069104080000000238e-07,1.618617810000000032e-02
7.504519999999999982e+02,6.752262390000000074e-07,1.800816239999999957e-02
7.504560000000000173e+02,7.512319209999999647e-07,2.003520729999999986e-02
7.504600000000000364e+02,8.357930459999999801e-07,2.229045409999999908e-02
7.504640000000000555e+02,9.298726429999999536e-07,2.479954250000000054e-02
7.504680000000000746e+02,1.034542139999999979e-06,2.759104130000000071e-02
7.504719999999999800e+02,1.150993570000000045e-06,3.069675779999999840e-02
7.504759999999999991e+02,1.280553139999999918e-06,3.415208620000000084e-02
7.504800000000000182e+02,1.424696329999999914e-06,3.799638510000000191e-02
7.504840000000000373e+02,1.585064740000000075e-06,4.227338189999999690e-02
7.504880000000000564e+02,1.763484709999999945e-06,4.703177549999999763e-02
7.504920000000000755e+02,1.961988179999999917e-06,5.232582250000000074e-02
7.504960000000000946e+02,2.182835790000000111e-06,5.821578270000000305e-02
7.505000000000000000e+02,2.428542679999999941e-06,6.476868550000000613e-02
7.505039999999999054e+02,2.701907060000000114e-06,7.205924869999999482e-02
7.505079999999999245e+02,3.006042129999999828e-06,8.017045690000000613e-02
7.505119999999999436e+02,3.344411510000000152e-06,8.919468340000000217e-02
7.505159999999999627e+02,3.720868700000000200e-06,9.923469869999999859e-02
7.505199999999999818e+02,4.139700949999999785e-06,1.104047600000000046e-01
7.505240000000000009e+02,4.605678070000000078e-06,1.228323199999999948e-01
7.505280000000000200e+02,5.124106799999999883e-06,1.366585590000000128e-01
7.505319999999999254e+02,5.700891179999999685e-06,1.520412070000000115e-01
7.505359999999999445e+02,6.342599810000000003e-06,1.691552259999999919e-01
7.505399999999999636e+02,7.056540659999999803e-06,1.881957509999999945e-01
7.505439999999999827e+02,7.850844279999999976e-06,2.093796549999999979e-01
7.505480000000000018e+02,8.734556380000000781e-06,2.329477130000000007e-01
7.505520000000000209e+02,9.717740840000000066e-06,2.591687819999999864e-01
7.505560000000000400e+02,1.081159430000000003e-05,2.883413049999999922e-01
7.505600000000000591e+02,1.202857369999999938e-05,3.207974889999999912e-01
7.505639999999999645e+02,1.338253799999999997e-05,3.569066670000000108e-01
7.505679999999999836e+02,1.488890630000000028e-05,3.970805310000000143e-01
7.505720000000000027e+02,1.656483269999999982e-05,4.417763149999999750e-01
7.505760000000000218e+02,1.842940270000000016e-05,4.915029790000000065e-01
7.505800000000000409e+02,2.050384950000000051e-05,5.468267589999999956e-01
7.505840000000000600e+02,2.281179610000000138e-05,6.083771679999999682e-01
7.505880000000000791e+02,2.537952470000000009e-05,6.768564110000000467e-01
7.505919999999999845e+02,2.823627489999999934e-05,7.530428649999999502e-01
7.505960000000000036e+02,3.141457779999999898e-05,8.378038309999999989e-01
7.506000000000000227e+02,3.495062520000000205e-05,9.321048739999999722e-01
7.506040000000000418e+02,3.888468230000000287e-05,1.037021179999999987e+00
7.506080000000000609e+02,4.326154580000000173e-05,1.153745180000000037e+00
7.506119999999999663e+02,4.813105369999999664e-05,1.283606440000000015e+00
7.506159999999999854e+02,5.354865249999999781e-05,1.428082290000000087e+00
7.506200000000000045e+02,5.957602829999999821e-05,1.588819460000000072e+00
7.506239999999999100e+02,6.628180879999999420e-05,1.767645420000000023e+00
7.506279999999999291e+02,7.374234390000000249e-05,1.966599659999999972e+00
7.506319999999999482e+02,8.204257459999999798e-05,2.187941159999999829e+00
7.506359999999999673e+02,9.127699909999999585e-05,2.434193490000000182e+00
7.506399999999999864e+02,1.015507479999999945e-04,2.708157729999999930e+00
7.506440000000000055e+02,1.129807780000000007e-04,3.012949279999999952e+00
7.506480000000000246e+02,1.256972070000000126e-04,3.352043039999999863e+00
7.506519999999999300e+02,1.398447860000000015e-04,3.729287620000000025e+00
7.506559999999999491e+02,1.555845500000000044e-04,4.148982209999999782e+00
7.506599999999999682e+02,1.730956469999999985e-04,4.615898389999999907e+00
7.506639999999999873e+02,1.925773709999999909e-04,5.135346659999999730e+00
7.506680000000000064e+02,2.142514290000000128e-04,5.713234139999999961e+00
7.506720000000000255e+02,2.383644549999999946e-04,6.356126709999999846e+00
7.506760000000000446e+02,2.651908140000000004e-04,7.071341639999999984e+00
7.506800000000000637e+02,2.950357090000000097e-04,7.867003529999999856e+00
7.506839999999999691e+02,3.282386510000000115e-04,8.752153500000000363e+00
7.506879999999999882e+02,3.651773009999999937e-04,9.736846950000000334e+00
7.506920000000000073e+02,4.062717510000000217e-04,1.083225889999999936e+01
7.506960000000000264e+02,4.519892850000000253e-04,1.205085019999999929e+01
7.507000000000000455e+02,5.028496630000000439e-04,1.340641689999999997e+01
