time,vin,vout_buf,vout_st
3.005632000000000095e-02,8.937140000000000362e-02,9.480753849999999120e-10,4.535476330000000233e-10
3.039423999999999945e-02,-4.011867219999999679e-02,9.474994709999999447e-10,4.550774040000000205e-10
3.099999999999999978e-02,-2.722443500000000238e-01,9.476045330000000669e-10,4.572879439999999813e-10
3.127033600000000274e-02,-2.452733029999999981e-01,9.978213909999999032e-10,6.536939729999999800e-10
3.200000000000000067e-02,-1.724757319999999927e-01,9.979081980000000793e-10,6.557899490000000073e-10
3.221626879999999610e-02,-1.428753919999999900e-01,1.102354050000000074e-09,1.069536649999999976e-09
3.300000000000000155e-02,-3.560744130000000063e-02,1.102368219999999918e-09,1.069817850000000073e-09
3.317301500000000014e-02,2.713481519999999883e-02,1.026014519999999927e-09,7.662080269999999625e-10
3.386507519999999716e-02,2.781038439999999889e-01,1.023809870000000045e-09,7.665504040000000056e-10
3.409227470000000121e-02,2.658045119999999928e-01,8.614433680000000055e-10,4.120690810000000108e-11
3.461638200000000110e-02,-8.196505540000000034e-02,8.570328549999999865e-10,4.199554699999999859e-11
3.506791160000000129e-02,-3.382692010000000193e-01,1.315046260000000010e-09,1.917662129999999948e-09
3.547538120000000295e-02,-3.488041610000000015e-01,1.314819529999999990e-09,1.913496819999999958e-09
3.605432930000000008e-02,-3.222269220000000267e-01,1.415830679999999990e-09,2.314887509999999926e-09
3.638030500000000167e-02,-8.138064650000000066e-02,1.415594559999999912e-09,2.308338410000000065e-09
3.699999999999999817e-02,3.764794200000000091e-01,1.317383260000000103e-09,2.243717050000000076e-09
3.726078050000000003e-02,2.109252269999999929e-01,1.446924470000000064e-09,2.651937319999999895e-09
3.799999999999999906e-02,-2.583616470000000276e-01,1.445579869999999924e-09,2.645662589999999897e-09
3.820657530000000357e-02,-1.501226820000000073e-01,7.488254280000000109e-10,-3.383360049999999797e-10
3.899999999999999994e-02,2.656069140000000273e-01,7.479490980000000217e-10,-3.326040209999999823e-10
3.916526020000000302e-02,2.928181000000000256e-01,1.267310019999999924e-09,1.741757709999999922e-09
3.982630120000000412e-02,4.016628389999999937e-01,1.204061319999999962e-09,1.707556140000000016e-09
4.008813879999999913e-02,4.467573040000000217e-01,8.123769829999999614e-10,1.173441850000000003e-09
4.061697159999999585e-02,5.457202530000000440e-01,-3.452457709999999816e-09,1.130456409999999975e-09
4.107051100000000399e-02,5.596227879999999821e-01,6.311044799999999787e-08,-2.158759420000000051e-11
4.149357729999999383e-02,2.129706239999999973e-01,4.074476350000000094e-08,7.487128110000000187e-11
4.205640880000000026e-02,-1.653247419999999968e-01,1.658636429999999992e-09,3.421793519999999994e-09
4.239486180000000271e-02,5.462006920000000293e-02,1.657906320000000064e-09,3.417334759999999931e-09
4.300000000000000350e-02,4.478711430000000271e-01,7.700121900000000481e-10,2.999723299999999871e-09
4.327076240000000268e-02,2.742112890000000247e-01,9.658295970000000074e-10,2.225490459999999913e-09
4.399999999999999745e-02,-1.935024810000000040e-01,9.623184859999999579e-10,2.241712810000000013e-09
