time,vin,vout_buf,vout_st
2.313999999999999946e-01,7.636199999999999655e-01,-1.863817149999999951e-10,1.113763890000000049e-09
2.414000000000000035e-01,7.966199999999999948e-01,-4.098211259999999777e-10,1.113773939999999944e-09
2.514000000000000123e-01,8.296200000000000241e-01,-6.301741879999999685e-10,1.113784090000000078e-09
2.614000000000000212e-01,8.626200000000000534e-01,-8.427552469999999959e-10,1.113794369999999963e-09
2.713999999999999746e-01,8.956199999999999717e-01,-1.041376070000000046e-09,1.113804759999999925e-09
2.813999999999999835e-01,9.286200000000000010e-01,-1.217249250000000081e-09,1.113815309999999980e-09
2.913999999999999924e-01,9.616200000000000303e-01,-1.357220530000000079e-09,1.113825799999999973e-09
3.014000000000000012e-01,9.946199999999999486e-01,-1.440812429999999980e-09,1.113836630000000034e-09
3.113999999999999546e-01,1.027619999999999978e+00,-1.435124400000000062e-09,1.113847440000000006e-09
3.214000000000000190e-01,1.060619999999999896e+00,-1.477021539999999967e-09,1.113859290000000061e-09
3.313999999999999724e-01,1.093620000000000037e+00,-1.108639109999999974e-09,1.113872269999999980e-09
3.413999999999999813e-01,1.126619999999999955e+00,-3.545160789999999991e-10,1.113885570000000084e-09
3.513999999999999901e-01,1.159620000000000095e+00,1.069418300000000093e-09,1.113898610000000063e-09
3.613999999999999990e-01,1.192620000000000013e+00,3.700550790000000010e-09,1.113912369999999942e-09
3.713999999999999524e-01,1.225619999999999932e+00,8.606468250000000639e-09,1.113925879999999947e-09
3.814000000000000168e-01,1.258620000000000072e+00,1.803638609999999917e-08,1.113939930000000083e-09
3.914000000000000257e-01,1.291619999999999990e+00,3.707907290000000242e-08,1.113953929999999996e-09
4.013999999999999790e-01,1.324619999999999909e+00,7.830604089999999471e-08,1.113968280000000021e-09
4.114000000000000434e-01,1.357620000000000049e+00,1.764145550000000088e-07,1.113983000000000040e-09
4.213999999999999968e-01,1.390619999999999967e+00,4.419453099999999908e-07,1.113997689999999925e-09
4.314000000000000057e-01,1.423620000000000108e+00,1.301780350000000053e-06,1.114012950000000074e-09
4.414000000000000146e-01,1.456620000000000026e+00,6.225155559999999861e-06,1.114028460000000097e-09
4.514000000000000234e-01,1.489619999999999944e+00,4.074942509999999985e-05,1.114046090000000051e-09
