R_vec,VH_vec_calc,VH_vec_sim
1.000000000000000000e+00,1.299999999999999822e+00,9.160000000000000364e-01
4.000000000000000000e+00,1.733333333333333171e+00,1.697999999999999954e+00
9.000000000000000000e+00,1.949999999999999734e+00,2.001999999999999780e+00
1.600000000000000000e+01,2.079999999999999627e+00,2.158999999999999808e+00
2.500000000000000000e+01,2.166666666666666519e+00,2.257000000000000117e+00
3.600000000000000000e+01,2.228571428571428203e+00,2.326999999999999957e+00
