tpd_arr,energy_conv_arr
4.434810000000000230e+01,1.523029999999999973e+03
2.035039999999999694e+01,1.075519999999999982e+03
2.523610000000000042e+01,1.172019999999999982e+03
3.797529999999999717e+01,1.380220000000000027e+03
1.576600000000000001e+01,9.826950000000000500e+02
1.575470000000000148e+01,9.771079999999999472e+02
2.129560000000000031e+01,1.136069999999999936e+03
3.065889999999999915e+01,1.250019999999999982e+03
5.709250000000000114e+01,1.689430000000000064e+03
3.380409999999999826e+01,1.287650000000000091e+03
1.542550000000000132e+01,1.016000000000000000e+03
2.545029999999999859e+01,1.183250000000000000e+03
2.292450000000000188e+01,1.153680000000000064e+03
2.804289999999999949e+01,1.177859999999999900e+03
4.263669999999999760e+01,1.484019999999999982e+03
1.822889999999999944e+01,1.021419999999999959e+03
1.451299999999999990e+01,9.890059999999999718e+02
1.494960000000000022e+01,9.990779999999999745e+02
1.762559999999999860e+01,1.045109999999999900e+03
3.033799999999999741e+01,1.284329999999999927e+03
4.160409999999999542e+01,1.366630000000000109e+03
4.350499999999999545e+01,1.492089999999999918e+03
3.666179999999999950e+01,1.345700000000000045e+03
1.939730000000000132e+01,1.084519999999999982e+03
3.656139999999999901e+01,1.289259999999999991e+03
1.621919999999999717e+01,1.037500000000000000e+03
4.601389999999999958e+01,1.501759999999999991e+03
2.640630000000000166e+01,1.173450000000000045e+03
2.015859999999999985e+01,1.075410000000000082e+03
3.347959999999999781e+01,1.323269999999999982e+03
2.952260000000000062e+01,1.226210000000000036e+03
3.919180000000000064e+01,1.407349999999999909e+03
3.013289999999999580e+01,1.242109999999999900e+03
1.264569999999999972e+01,9.746470000000000482e+02
2.281609999999999872e+01,1.093500000000000000e+03
1.681759999999999877e+01,1.024769999999999982e+03
3.856259999999999621e+01,1.394000000000000000e+03
2.500349999999999895e+01,1.191099999999999909e+03
2.633399999999999963e+01,1.187250000000000000e+03
2.334700000000000131e+01,1.110049999999999955e+03
2.398989999999999867e+01,1.123349999999999909e+03
3.498539999999999850e+01,1.313269999999999982e+03
1.689520000000000266e+01,1.021080000000000041e+03
3.026930000000000121e+01,1.240079999999999927e+03
2.674980000000000047e+01,1.194599999999999909e+03
2.829710000000000036e+01,1.205289999999999964e+03
4.017719999999999914e+01,1.468950000000000045e+03
6.222520000000000095e+01,1.722049999999999955e+03
9.367319999999999425e+00,9.410990000000000464e+02
4.768829999999999814e+01,1.442339999999999918e+03
5.556130000000000280e+01,1.672539999999999964e+03
4.241779999999999973e+01,1.407279999999999973e+03
3.607079999999999842e+01,1.350299999999999955e+03
