frequency,Aol_dB_20dB,Aol_dB_34dB,Aol_dB_40dB,Aol_arg_20dB,Aol_arg_34dB,Aol_arg_40dB
2.121937919999999922e-01,1.508304030000000040e+01,2.904586730000000117e+01,3.504575129999999916e+01,5.532901090000000011e+01,5.517098459999999704e+01,5.497407739999999876e+01
2.220928889999999878e-01,1.534692749999999961e+01,2.930872240000000062e+01,3.530731769999999869e+01,5.409725989999999740e+01,5.393680470000000327e+01,5.373692439999999948e+01
2.324537909999999930e-01,1.560266829999999949e+01,2.956340150000000122e+01,3.556067190000000267e+01,5.284785420000000045e+01,5.268523540000000338e+01,5.248271559999999880e+01
2.432980419999999921e-01,1.585004320000000000e+01,2.980968860000000120e+01,3.580560220000000271e+01,5.158294790000000063e+01,5.141845049999999873e+01,5.121364890000000258e+01
2.546481899999999965e-01,1.608886030000000034e+01,3.004739530000000158e+01,3.604192470000000270e+01,5.030484179999999839e+01,5.013876810000000006e+01,4.993206349999999816e+01
2.665278369999999897e-01,1.631895739999999861e+01,3.027636340000000104e+01,3.626948639999999813e+01,4.901596469999999783e+01,4.884863210000000322e+01,4.864042140000000103e+01
2.789616830000000158e-01,1.654020480000000148e+01,3.049646770000000018e+01,3.648816750000000297e+01,4.771885280000000051e+01,4.755059039999999726e+01,4.734128479999999684e+01
2.919755829999999830e-01,1.675250739999999894e+01,3.070761770000000013e+01,3.669788309999999854e+01,4.641612529999999737e+01,4.624727109999999897e+01,4.603729189999999960e+01
3.055965979999999971e-01,1.695580640000000017e+01,3.090975909999999871e+01,3.689858480000000185e+01,4.511045909999999992e+01,4.494135639999999654e+01,4.473113099999999775e+01
3.198530490000000004e-01,1.715007969999999915e+01,3.110287470000000098e+01,3.709026169999999922e+01,4.380456139999999721e+01,4.363555509999999771e+01,4.342551250000000351e+01
3.347745810000000155e-01,1.733534300000000172e+01,3.128698500000000138e+01,3.727293980000000317e+01,4.250114190000000036e+01,4.233257509999999968e+01,4.212314119999999917e+01
3.503922210000000037e-01,1.751164899999999847e+01,3.146214739999999921e+01,3.744668260000000259e+01,4.120288450000000324e+01,4.103509489999999715e+01,4.082668819999999954e+01
3.667384419999999978e-01,1.767908660000000154e+01,3.162845550000000117e+01,3.761158919999999739e+01,3.991242019999999968e+01,3.974573649999999958e+01,3.953876400000000046e+01
3.838472339999999816e-01,1.783777990000000102e+01,3.178603749999999906e+01,3.776779330000000101e+01,3.863230080000000299e+01,3.846703980000000200e+01,3.826189260000000303e+01
4.017541729999999922e-01,1.798788550000000086e+01,3.193505419999999972e+01,3.791546060000000296e+01,3.736497510000000233e+01,3.720143829999999951e+01,3.699848870000000289e+01
4.204964909999999723e-01,1.812959079999999901e+01,3.207569670000000173e+01,3.805478670000000108e+01,3.611276689999999689e+01,3.595123840000000115e+01,3.575083610000000078e+01
