frequency,Tian_dB_20dB,Tian_dB_34dB,Tian_dB_40dB,Tian_arg_20dB,Tian_arg_34dB,Tian_arg_40dB
8.332821509999999421e+01,5.049568140000000227e+01,3.817415749999999974e+01,3.238467380000000162e+01,-4.893262649999999780e+01,-5.053939689999999985e+01,-5.078913399999999712e+01
8.721557719999999847e+01,5.025374039999999809e+01,3.793199030000000249e+01,3.214252559999999903e+01,-5.029523249999999734e+01,-5.182912679999999739e+01,-5.206753390000000081e+01
9.128428949999999986e+01,5.000327289999999891e+01,3.768133470000000074e+01,3.189189030000000002e+01,-5.163985670000000283e+01,-5.310421490000000233e+01,-5.333181259999999924e+01
9.554281210000000613e+01,4.974448689999999829e+01,3.742239419999999939e+01,3.163297079999999895e+01,-5.296443639999999675e+01,-5.436244959999999793e+01,-5.457973460000000188e+01
1.000000000000000000e+02,4.947761609999999877e+01,3.715539789999999698e+01,3.136599610000000027e+01,-5.426705400000000168e+01,-5.560177039999999948e+01,-5.580921740000000142e+01
1.046651209999999992e+02,4.920291610000000304e+01,3.688059779999999677e+01,3.109121779999999902e+01,-5.554595230000000328e+01,-5.682028300000000343e+01,-5.701834439999999660e+01
1.095478760000000023e+02,4.892066160000000252e+01,3.659826480000000259e+01,3.080890660000000025e+01,-5.679954450000000321e+01,-5.801626890000000003e+01,-5.820537709999999976e+01
1.146584170000000000e+02,4.863114250000000283e+01,3.630868569999999806e+01,3.051934920000000062e+01,-5.802642199999999661e+01,-5.918819280000000305e+01,-5.936876039999999932e+01
1.200073710000000062e+02,4.833466070000000059e+01,3.601215969999999800e+01,3.022284450000000078e+01,-5.922535709999999654e+01,-6.033470570000000066e+01,-6.050712620000000186e+01
1.256058600000000069e+02,4.803152670000000057e+01,3.570899459999999692e+01,2.991970020000000119e+01,-6.039530489999999929e+01,-6.145464669999999785e+01,-6.161929560000000095e+01
1.314655250000000137e+02,4.772205629999999843e+01,3.539950410000000147e+01,2.961023009999999900e+01,-6.153540079999999790e+01,-6.254703969999999913e+01,-6.270427500000000265e+01
1.375985509999999863e+02,4.740656779999999770e+01,3.508400470000000126e+01,2.929475030000000046e+01,-6.264495579999999819e+01,-6.361108930000000328e+01,-6.376125309999999757e+01
1.440176899999999875e+02,4.708537919999999843e+01,3.476281259999999662e+01,2.897357709999999997e+01,-6.372345090000000312e+01,-6.464617490000000544e+01,-6.478959240000000364e+01
1.507362899999999968e+02,4.675880579999999753e+01,3.443624169999999651e+01,2.864702430000000177e+01,-6.477052729999999769e+01,-6.565184039999999754e+01,-6.578882240000000081e+01
