time,Vind,Vinp,Vinn,Voutp,Voutn,Vout
1.990095270000000083e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034110189999999818e-03,1.496941349999999948e+00,-1.487907239999999964e+00
1.990220269999999791e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034110059999999470e-03,1.496941349999999948e+00,-1.487907239999999964e+00
1.990345269999999944e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034110169999999898e-03,1.496941349999999948e+00,-1.487907239999999964e+00
1.990470270000000097e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034110629999999795e-03,1.496941349999999948e+00,-1.487907239999999964e+00
1.990595270000000250e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034110450000000514e-03,1.496941349999999948e+00,-1.487907230000000025e+00
1.990720269999999958e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034110320000000166e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.990845269999999889e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034110149999999978e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.990970270000000042e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034110189999999818e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.991095269999999751e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034109849999999442e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.991220269999999903e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034109970000000697e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.991345270000000056e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034111290000000627e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.991470270000000209e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034111549999999588e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.991595269999999918e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034112789999999837e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.991720270000000070e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113159999999226e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.991845270000000223e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113280000000482e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.991970269999999710e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113110000000293e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.992095269999999863e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034112630000000477e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.992220270000000015e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034112840000000505e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.992345270000000168e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034112960000000025e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.992470269999999877e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113099999999466e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.992595270000000029e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113430000000750e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.992720270000000182e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113640000000778e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.992845269999999891e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113640000000778e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.992970270000000044e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113599999999203e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.993095269999999974e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034113189999999974e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.993220270000000127e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034114160000000435e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.993345269999999836e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034114439999999316e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.993470269999999989e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115080000000228e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.993595270000000141e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115520000000205e-03,1.496941340000000009e+00,-1.487907230000000025e+00
1.993720269999999850e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115920000000341e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.993845270000000003e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116369999999410e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.993970270000000156e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116459999999918e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.994095270000000308e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116579999999438e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.994220269999999795e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116590000000266e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.994345269999999948e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116599999999359e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.994470270000000101e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034117200000000431e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.994595269999999809e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034117149999999763e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.994720269999999962e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116550000000426e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.994845270000000115e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116689999999866e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.994970270000000268e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116749999999627e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.995095269999999976e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116919999999815e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.995220270000000129e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116999999999495e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.995345270000000060e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034117059999999255e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.995470269999999768e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034117010000000322e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.995595269999999921e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116899999999895e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.995720270000000074e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034117019999999415e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.995845269999999783e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116650000000026e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.995970269999999935e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116380000000238e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.996095270000000088e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034116070000000609e-03,1.496941340000000009e+00,-1.487907220000000086e+00
1.996220270000000241e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115679999999565e-03,1.496941330000000070e+00,-1.487907220000000086e+00
1.996345269999999950e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115179999999828e-03,1.496941330000000070e+00,-1.487907220000000086e+00
1.996470269999999880e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115540000000125e-03,1.496941330000000070e+00,-1.487907220000000086e+00
1.996595270000000033e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115089999999321e-03,1.496941330000000070e+00,-1.487907220000000086e+00
1.996720269999999742e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115230000000496e-03,1.496941330000000070e+00,-1.487907220000000086e+00
1.996845269999999894e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115190000000656e-03,1.496941330000000070e+00,-1.487907220000000086e+00
1.996970270000000047e+00,0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,9.034115599999999885e-03,1.496941330000000070e+00,-1.487907220000000086e+00
