time,Voutp,Voutn,Vout
7.269832649999999341e-02,7.632268730000000279e-01,7.105734839999999775e-01,5.265338890000000049e-02
7.369528300000000032e-02,7.603295329999999463e-01,7.134534489999999618e-01,4.687608349999999868e-02
7.469036069999999972e-02,7.576423719999999529e-01,7.161247659999999682e-01,4.151760659999999964e-02
7.568731720000000662e-02,7.557298460000000384e-01,7.180274450000000419e-01,3.770240100000000344e-02
7.668239490000000602e-02,7.569762509999999889e-01,7.167893199999999521e-01,4.018693119999999785e-02
7.767935139999999905e-02,7.585148550000000434e-01,7.152574900000000513e-01,4.325736520000000168e-02
7.867442909999999845e-02,7.577327209999999980e-01,7.160327850000000049e-01,4.169993639999999835e-02
7.967138560000000536e-02,7.548798799999999476e-01,7.188571070000000507e-01,3.602277260000000259e-02
8.066646330000000475e-02,7.517602389999999968e-01,7.219621640000000173e-01,2.979807530000000079e-02
8.166341979999999778e-02,7.502015929999999999e-01,7.235159140000000377e-01,2.668567919999999954e-02
8.265849760000000546e-02,7.498637329999999768e-01,7.238772300000000381e-01,2.598650220000000080e-02
8.365545409999999849e-02,7.495293480000000397e-01,7.242076509999999523e-01,2.532169639999999958e-02
8.465053179999999788e-02,7.491501689999999769e-01,7.245880689999999458e-01,2.456210030000000044e-02
8.564748830000000479e-02,7.475605140000000093e-01,7.261723460000000241e-01,2.138816870000000148e-02
8.664256600000000419e-02,7.443320610000000448e-01,7.293906329999999549e-01,1.494142870000000033e-02
8.763952249999999722e-02,7.417545660000000041e-01,7.319663669999999511e-01,9.788198439999999667e-03
8.863460019999999662e-02,7.438052219999999881e-01,7.299204099999999640e-01,1.388481169999999931e-02
8.963155670000000352e-02,7.484767329999999497e-01,7.252544819999999781e-01,2.322225069999999877e-02
9.062663440000000292e-02,7.511858270000000282e-01,7.225561980000000384e-01,2.862962969999999913e-02
9.162359089999999595e-02,7.500891659999999739e-01,7.236504169999999903e-01,2.643874879999999830e-02
9.261866859999999535e-02,7.476508990000000354e-01,7.260816420000000271e-01,2.156925739999999980e-02
9.361562510000000226e-02,7.453274290000000413e-01,7.283970050000000418e-01,1.693042380000000027e-02
9.461070280000000166e-02,7.444331800000000277e-01,7.292907210000000306e-01,1.514245900000000047e-02
9.560765929999999468e-02,7.455435470000000286e-01,7.281796849999999655e-01,1.736386180000000154e-02
9.660273699999999408e-02,7.470309760000000132e-01,7.267006099999999691e-01,2.033036569999999849e-02
9.759969350000000099e-02,7.509495419999999699e-01,7.227888740000000256e-01,2.816066780000000061e-02
9.859477129999999478e-02,7.552967879999999967e-01,7.184640110000000135e-01,3.683277709999999844e-02
9.959172780000000169e-02,7.564628580000000158e-01,7.173007319999999964e-01,3.916212639999999690e-02
1.005868050000000014e-01,7.572027070000000304e-01,7.165651020000000093e-01,4.063760470000000319e-02
1.015837619999999941e-01,7.588513000000000064e-01,7.149217540000000204e-01,4.392954579999999720e-02
1.025788400000000045e-01,7.608530310000000130e-01,7.129340539999999837e-01,4.791897750000000122e-02
1.035757959999999978e-01,7.618286899999999751e-01,7.119622180000000355e-01,4.986647190000000063e-02
1.045708739999999942e-01,7.602445709999999801e-01,7.135421779999999714e-01,4.670239240000000069e-02
1.055678300000000014e-01,7.559445569999999615e-01,7.178177839999999588e-01,3.812677280000000002e-02
1.065598650000000036e-01,7.526711230000000530e-01,7.210762179999999910e-01,3.159490460000000112e-02
