time,vphi1,vphi2,Vcm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000291e-10,1.199999999999999956e-01,0.000000000000000000e+00,1.490759959999999961e-05
1.000000000000000021e-08,1.500000000000000000e+00,0.000000000000000000e+00,4.654890779999999880e-04
1.960000000000000015e-08,1.500000000000000000e+00,0.000000000000000000e+00,1.086494159999999926e-03
1.032904010000000059e-07,1.500000000000000000e+00,0.000000000000000000e+00,6.942583359999999863e-03
1.047969870000000144e-06,1.500000000000000000e+00,0.000000000000000000e+00,5.227812440000000060e-02
3.787790610000000001e-06,1.500000000000000000e+00,0.000000000000000000e+00,8.347577790000000608e-02
9.747916429999999973e-06,1.500000000000000000e+00,0.000000000000000000e+00,8.544687559999999960e-02
6.435558639999999905e-05,1.500000000000000000e+00,0.000000000000000000e+00,8.544687989999999456e-02
9.356440129999999637e-04,1.500000000000000000e+00,0.000000000000000000e+00,8.546405780000000674e-02
2.935644010000000234e-03,1.500000000000000000e+00,0.000000000000000000e+00,8.550351790000000618e-02
4.935644010000000276e-03,1.500000000000000000e+00,0.000000000000000000e+00,8.554297130000000637e-02
6.935644010000000317e-03,1.500000000000000000e+00,0.000000000000000000e+00,8.558241819999999611e-02
8.935644010000000359e-03,1.500000000000000000e+00,0.000000000000000000e+00,8.562185840000000048e-02
1.093564399999999957e-02,1.500000000000000000e+00,0.000000000000000000e+00,8.566129190000000559e-02
1.293564400000000135e-02,1.500000000000000000e+00,0.000000000000000000e+00,8.570071880000000586e-02
1.493564399999999966e-02,1.500000000000000000e+00,0.000000000000000000e+00,8.574013910000000127e-02
1.587501299999999685e-02,1.050000000000000044e+00,0.000000000000000000e+00,8.565071270000000625e-02
1.587502240000000092e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.547684469999999868e-02
1.587507039999999994e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.560263980000000494e-02
1.587542970000000234e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.560010780000000541e-02
1.588077239999999973e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.560004290000000626e-02
1.596625620000000079e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.560008230000000495e-02
1.600000700000000012e-02,0.000000000000000000e+00,1.050000000000000044e+00,8.560164150000000582e-02
1.600001560000000045e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.560043820000000359e-02
1.600006900000000218e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.559977270000000693e-02
1.600062420000000069e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.559976630000000475e-02
1.600632339999999779e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.559972170000000602e-02
1.603631549999999864e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.559991150000000049e-02
1.648718550000000116e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.560283280000000050e-02
1.846811339999999968e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.561566739999999787e-02
2.046811340000000146e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.562862499999999988e-02
2.246811339999999976e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.564158219999999655e-02
2.446811339999999807e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.565453889999999348e-02
2.646811339999999985e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.566749499999999629e-02
2.846811340000000162e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.568045069999999375e-02
3.046811339999999993e-02,0.000000000000000000e+00,1.500000000000000000e+00,8.569340590000000535e-02
3.187501100000000170e-02,0.000000000000000000e+00,1.350000000000000089e+00,8.570210350000000143e-02
3.187502080000000071e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.570214669999999535e-02
3.187504480000000195e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.570321509999999365e-02
3.187522240000000007e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.570269769999999676e-02
3.187765130000000391e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.570493889999999948e-02
3.191651429999999706e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.572288150000000051e-02
3.200000299999999909e-02,4.500000000000000111e-01,0.000000000000000000e+00,8.579913979999999329e-02
3.200001239999999969e-02,1.500000000000000000e+00,0.000000000000000000e+00,8.647575670000000325e-02
3.200004830000000022e-02,1.500000000000000000e+00,0.000000000000000000e+00,8.987944770000000361e-02
3.200041060000000104e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.212819249999999988e-01
3.200307670000000076e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.942343579999999958e-01
3.201025100000000345e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.971112469999999894e-01
3.208613060000000544e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.971120640000000035e-01
3.315179230000000338e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.971251280000000106e-01
3.515179229999999821e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.971496520000000086e-01
3.715179229999999999e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.971741720000000087e-01
3.915179230000000177e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.971986910000000093e-01
4.115179230000000354e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.972232070000000115e-01
4.315179230000000532e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.972477209999999870e-01
4.515179230000000016e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.972722319999999918e-01
4.715179229999999500e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.972967409999999977e-01
4.787501300000000098e-02,1.050000000000000044e+00,0.000000000000000000e+00,1.972010959999999924e-01
4.787502239999999465e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.970434610000000031e-01
4.787507040000000408e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.971720560000000122e-01
4.787542730000000218e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.971694350000000040e-01
4.788072229999999763e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.971693680000000115e-01
4.796544230000000103e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.971694019999999936e-01
4.800000699999999731e-02,0.000000000000000000e+00,1.050000000000000044e+00,1.971710540000000123e-01
4.800001560000000111e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.971699229999999969e-01
4.800006900000000631e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.971690720000000008e-01
4.800062489999999682e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.971690710000000013e-01
4.800670440000000261e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.971690379999999909e-01
4.804380770000000328e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.971692329999999993e-01
4.862046719999999628e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.971723059999999916e-01
5.062046719999999805e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.971829639999999884e-01
5.262046719999999983e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.971936220000000128e-01
5.462046720000000161e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.972042800000000096e-01
5.662046719999999644e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.972149380000000063e-01
5.862046719999999822e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.972255950000000035e-01
6.062046720000000000e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.972362530000000003e-01
6.262046719999998790e-02,0.000000000000000000e+00,1.500000000000000000e+00,1.972469099999999975e-01
6.387501100000000931e-02,0.000000000000000000e+00,1.350000000000000089e+00,1.972531740000000033e-01
6.387502080000000138e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.972532130000000106e-01
6.387504479999998874e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.972543039999999914e-01
6.387522240000000073e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.972537580000000013e-01
6.387765149999999337e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.972558070000000052e-01
6.391651719999999481e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.972726910000000000e-01
6.400000299999999975e-02,4.500000000000000111e-01,0.000000000000000000e+00,1.973478770000000049e-01
6.400001240000000036e-02,1.500000000000000000e+00,0.000000000000000000e+00,1.978725040000000046e-01
6.400004900000000330e-02,1.500000000000000000e+00,0.000000000000000000e+00,2.005570720000000029e-01
6.400040260000000591e-02,1.500000000000000000e+00,0.000000000000000000e+00,2.245341130000000074e-01
