t,ecg_signal_offset
1.143695014662756554e-01,6.633766233766235088e-01
1.153470185728250191e-01,6.635064935064937108e-01
1.163245356793743829e-01,6.660389610389613191e-01
1.173020527859237605e-01,6.706493506493507173e-01
1.182795698924731242e-01,6.725974025974027493e-01
1.192570869990224880e-01,6.671428571428573706e-01
1.202346041055718517e-01,6.620129870129872751e-01
1.212121212121212155e-01,6.591558441558442727e-01
1.221896383186705792e-01,6.599350649350650411e-01
1.231671554252199430e-01,6.599350649350650411e-01
1.241446725317693067e-01,6.620779220779223762e-01
1.251221896383186705e-01,6.603246753246754253e-01
1.260997067448680342e-01,6.507792207792207906e-01
1.270772238514173980e-01,6.389610389610390628e-01
1.280547409579667617e-01,6.419480519480520453e-01
1.290322580645161255e-01,6.577272727272728270e-01
1.300097751710654892e-01,6.698051948051949589e-01
1.309872922776148529e-01,6.716233766233766778e-01
1.319648093841642167e-01,6.650649350649351366e-01
1.329423264907135804e-01,6.542857142857144703e-01
1.339198435972629442e-01,6.452597402597404219e-01
1.348973607038123079e-01,6.398701298701300333e-01
1.358748778103616717e-01,6.380519480519482034e-01
1.368523949169110354e-01,6.383766233766235976e-01
1.378299120234603992e-01,6.365584415584416567e-01
1.388074291300097629e-01,6.294805194805197512e-01
1.397849462365591267e-01,6.254545454545455963e-01
1.407624633431084904e-01,6.262337662337662536e-01
1.417399804496578819e-01,6.330519480519481990e-01
1.427174975562072456e-01,6.392857142857143460e-01
1.436950146627566094e-01,6.411038961038963979e-01
1.446725317693059731e-01,6.368181818181818388e-01
1.456500488758553369e-01,6.301298701298702065e-01
1.466275659824047006e-01,6.250649350649351010e-01
1.476050830889540644e-01,6.300000000000001155e-01
1.485826001955034281e-01,6.396753246753248412e-01
1.495601173020527919e-01,6.449350649350651388e-01
1.505376344086021556e-01,6.447402597402598357e-01
1.515151515151515194e-01,6.392207792207793560e-01
1.524926686217008831e-01,6.357142857142858983e-01
1.534701857282502468e-01,6.372727272727273240e-01
1.544477028347996106e-01,6.411038961038962869e-01
1.554252199413489743e-01,6.474675324675326360e-01
1.564027370478983381e-01,6.529870129870131157e-01
1.573802541544477018e-01,6.524675324675325294e-01
1.583577712609970656e-01,6.540909090909092782e-01
1.593352883675464293e-01,6.562987012987013813e-01
1.603128054740957931e-01,6.583116883116885143e-01
1.612903225806451568e-01,6.637012987012986809e-01
1.622678396871945206e-01,6.662337662337664002e-01
1.632453567937438843e-01,6.642207792207792671e-01
1.642228739002932481e-01,6.564285714285714723e-01
1.652003910068426118e-01,6.478571428571430202e-01
1.661779081133919755e-01,6.408441558441561048e-01
1.671554252199413393e-01,6.410389610389611859e-01
1.681329423264907030e-01,6.464285714285716855e-01
1.691104594330400668e-01,6.546103896103896425e-01
1.700879765395894305e-01,6.577272727272728270e-01
1.710654936461387943e-01,6.545454545454545414e-01
1.720430107526881858e-01,6.520129870129870442e-01
1.730205278592375495e-01,6.449350649350651388e-01
1.739980449657869133e-01,6.375324675324676171e-01
1.749755620723362770e-01,6.340909090909091494e-01
1.759530791788856408e-01,6.346103896103897357e-01
1.769305962854350045e-01,6.372077922077923340e-01
1.779081133919843682e-01,6.401298701298702154e-01
1.788856304985337320e-01,6.430519480519480968e-01
1.798631476050830957e-01,6.484415584415584854e-01
1.808406647116324595e-01,6.583766233766235043e-01
1.818181818181818232e-01,6.638311688311688830e-01
1.827956989247311870e-01,6.616233766233766689e-01
1.837732160312805507e-01,6.568181818181819676e-01
1.847507331378299145e-01,6.485064935064935865e-01
1.857282502443792782e-01,6.402597402597403065e-01
1.867057673509286420e-01,6.444805194805195425e-01
1.876832844574780057e-01,6.564285714285714723e-01
1.886608015640273694e-01,6.648051948051950655e-01
1.896383186705767332e-01,6.652597402597403287e-01
1.906158357771260969e-01,6.633766233766236198e-01
1.915933528836754607e-01,6.612337662337662847e-01
1.925708699902248244e-01,6.540909090909092782e-01
1.935483870967741882e-01,6.491558441558442638e-01
1.945259042033235519e-01,6.498051948051948301e-01
1.955034213098729157e-01,6.570779220779222607e-01
1.964809384164222794e-01,6.612337662337662847e-01
1.974584555229716432e-01,6.594155844155845658e-01
1.984359726295210069e-01,6.569480519480520586e-01
1.994134897360703707e-01,6.535064935064935909e-01
2.003910068426197344e-01,6.487012987012988896e-01
2.013685239491690981e-01,6.454545454545455030e-01
2.023460410557184619e-01,6.402597402597403065e-01
2.033235581622678256e-01,6.346103896103897357e-01
2.043010752688172171e-01,6.315584415584416522e-01
2.052785923753665809e-01,6.336363636363636642e-01
2.062561094819159446e-01,6.420129870129870353e-01
2.072336265884653084e-01,6.501948051948054363e-01
2.082111436950146721e-01,6.512337662337662758e-01
2.091886608015640359e-01,6.442857142857143504e-01
2.101661779081133996e-01,6.385714285714286786e-01
2.111436950146627634e-01,6.370779220779222429e-01
2.121212121212121271e-01,6.377922077922077992e-01
2.130987292277614908e-01,6.414935064935065601e-01
2.140762463343108546e-01,6.433116883116883900e-01
2.150537634408602183e-01,6.458441558441558872e-01
