f,ps_dB
2.390000000000000000e+02,-7.979390217601645929e+01
2.400000000000000000e+02,-8.138229190152210890e+01
2.410000000000000000e+02,-8.387935698371973103e+01
2.420000000000000000e+02,-8.504457831291411196e+01
2.430000000000000000e+02,-8.323847422428008258e+01
2.440000000000000000e+02,-8.113847325265489019e+01
2.450000000000000000e+02,-7.931641593759135844e+01
2.460000000000000000e+02,-7.780978328924901177e+01
2.470000000000000000e+02,-7.698950000115101489e+01
2.480000000000000000e+02,-7.708230087247022766e+01
2.490000000000000000e+02,-7.786987336513008984e+01
2.500000000000000000e+02,-7.858853972671489885e+01
2.510000000000000000e+02,-7.830898279727897204e+01
2.520000000000000000e+02,-7.711834895117712563e+01
2.530000000000000000e+02,-7.562738240926748290e+01
2.540000000000000000e+02,-7.391228169016184779e+01
2.550000000000000000e+02,-7.240059590305045845e+01
2.560000000000000000e+02,-7.201174041294679284e+01
2.570000000000000000e+02,-7.340630305495095342e+01
2.580000000000000000e+02,-7.701232652477033014e+01
2.590000000000000000e+02,-8.357044100053053626e+01
2.600000000000000000e+02,-9.240699804838762077e+01
2.610000000000000000e+02,-8.673558803248091920e+01
2.620000000000000000e+02,-8.279790053122152926e+01
2.630000000000000000e+02,-8.132992736956555291e+01
2.640000000000000000e+02,-8.150926125631114871e+01
2.650000000000000000e+02,-8.256437986158547915e+01
2.660000000000000000e+02,-8.450150344639709488e+01
2.670000000000000000e+02,-8.844962289602406713e+01
2.680000000000000000e+02,-9.134082368243187489e+01
2.690000000000000000e+02,-8.836841480140412841e+01
2.700000000000000000e+02,-8.629062101791870987e+01
2.710000000000000000e+02,-8.476890179851804419e+01
2.720000000000000000e+02,-8.407346250985197855e+01
2.730000000000000000e+02,-8.499649267999015478e+01
2.740000000000000000e+02,-8.710315735113564983e+01
2.750000000000000000e+02,-8.788376015483041215e+01
2.760000000000000000e+02,-8.662916768199430351e+01
2.770000000000000000e+02,-8.585736817603711302e+01
2.780000000000000000e+02,-8.678787678800162553e+01
2.790000000000000000e+02,-8.962630215377910758e+01
2.800000000000000000e+02,-9.397994763409057839e+01
2.810000000000000000e+02,-9.638219278333414763e+01
2.820000000000000000e+02,-9.293608283804992709e+01
2.830000000000000000e+02,-9.045389941724637595e+01
2.840000000000000000e+02,-9.022475763873002563e+01
2.850000000000000000e+02,-9.189541685329007237e+01
2.860000000000000000e+02,-9.497925526199198032e+01
2.870000000000000000e+02,-9.715097059479685981e+01
2.880000000000000000e+02,-9.423379725608813828e+01
2.890000000000000000e+02,-8.899062999512923966e+01
2.900000000000000000e+02,-8.462981998911791948e+01
2.910000000000000000e+02,-8.207991623342502407e+01
2.920000000000000000e+02,-8.168465054001526937e+01
2.930000000000000000e+02,-8.389327160575058429e+01
2.940000000000000000e+02,-8.989560977936088193e+01
2.950000000000000000e+02,-1.060158558753921341e+02
2.960000000000000000e+02,-9.715218585804950635e+01
2.970000000000000000e+02,-9.258430943725912243e+01
2.980000000000000000e+02,-8.860173698752595328e+01
2.990000000000000000e+02,-8.514192723235068172e+01
3.000000000000000000e+02,-8.271642912082901944e+01
3.010000000000000000e+02,-8.155162537737460582e+01
3.020000000000000000e+02,-8.177684342992363042e+01
3.030000000000000000e+02,-8.294337686452335845e+01
3.040000000000000000e+02,-8.255011042797308107e+01
3.050000000000000000e+02,-7.988305079732498371e+01
3.060000000000000000e+02,-7.774902503345636262e+01
3.070000000000000000e+02,-7.701229989148950494e+01
3.080000000000000000e+02,-7.757919490555306652e+01
3.090000000000000000e+02,-7.889906931302930104e+01
3.100000000000000000e+02,-7.998455884125577597e+01
3.110000000000000000e+02,-8.038844603706257885e+01
3.120000000000000000e+02,-8.052936230446063348e+01
3.130000000000000000e+02,-8.072292481173185763e+01
3.140000000000000000e+02,-8.088182704709728910e+01
3.150000000000000000e+02,-8.086092238837473190e+01
3.160000000000000000e+02,-8.054027865752956927e+01
3.170000000000000000e+02,-7.985549013086539105e+01
3.180000000000000000e+02,-7.913269876801615510e+01
3.190000000000000000e+02,-7.891430436848540353e+01
3.200000000000000000e+02,-7.949354002608762926e+01
3.210000000000000000e+02,-8.069730304975480806e+01
3.220000000000000000e+02,-8.194564025908650251e+01
3.230000000000000000e+02,-8.256108399958586119e+01
3.240000000000000000e+02,-8.216097232705664055e+01
3.250000000000000000e+02,-8.121930826333276343e+01
3.260000000000000000e+02,-8.042005463304393231e+01
3.270000000000000000e+02,-7.984191979613265744e+01
3.280000000000000000e+02,-7.931234227266978110e+01
3.290000000000000000e+02,-7.883682497203648154e+01
3.300000000000000000e+02,-7.847285261332002904e+01
3.310000000000000000e+02,-7.814227583492719020e+01
3.320000000000000000e+02,-7.778270907777574905e+01
3.330000000000000000e+02,-7.751874983277291165e+01
3.340000000000000000e+02,-7.754394020501257501e+01
3.350000000000000000e+02,-7.791003670203093634e+01
3.360000000000000000e+02,-7.853244503218395778e+01
3.370000000000000000e+02,-7.940542599575979921e+01
3.380000000000000000e+02,-8.076482284126987565e+01
3.390000000000000000e+02,-8.302600029028232598e+01
3.400000000000000000e+02,-8.658236587964297826e+01
3.410000000000000000e+02,-9.136471197593314741e+01
3.420000000000000000e+02,-9.388490294265639591e+01
3.430000000000000000e+02,-9.102898104238830967e+01
3.440000000000000000e+02,-8.871242497468493582e+01
3.450000000000000000e+02,-8.809869881740149822e+01
3.460000000000000000e+02,-8.863160247852930240e+01
3.470000000000000000e+02,-8.947701931133552478e+01
3.480000000000000000e+02,-8.979057464578168890e+01
3.490000000000000000e+02,-8.931904163422571230e+01
3.500000000000000000e+02,-8.874123136451117944e+01
3.510000000000000000e+02,-8.882548852555811436e+01
3.520000000000000000e+02,-8.968844182234016671e+01
3.530000000000000000e+02,-9.043953558206119681e+01
3.540000000000000000e+02,-8.945244292492597538e+01
3.550000000000000000e+02,-8.651450755937284498e+01
3.560000000000000000e+02,-8.316903034764587233e+01
3.570000000000000000e+02,-8.063838672699823462e+01
3.580000000000000000e+02,-7.946357132594286554e+01
3.590000000000000000e+02,-7.985857647677735827e+01
3.600000000000000000e+02,-8.187731882822616569e+01
3.610000000000000000e+02,-8.555502811476031866e+01
3.620000000000000000e+02,-9.100015376400702394e+01
3.630000000000000000e+02,-9.589473598336036275e+01
3.640000000000000000e+02,-9.534015347507489935e+01
3.650000000000000000e+02,-9.365503512276475817e+01
3.660000000000000000e+02,-9.077213144198915984e+01
3.670000000000000000e+02,-8.714280908404589354e+01
3.680000000000000000e+02,-8.413616367433942855e+01
3.690000000000000000e+02,-8.218470923759511493e+01
3.700000000000000000e+02,-8.134685586742583041e+01
3.710000000000000000e+02,-8.156407727558102749e+01
3.720000000000000000e+02,-8.249393754944763657e+01
3.730000000000000000e+02,-8.349703681760095719e+01
3.740000000000000000e+02,-8.418615474376564123e+01
3.750000000000000000e+02,-8.479725036549930905e+01
3.760000000000000000e+02,-8.584009702962359256e+01
3.770000000000000000e+02,-8.711761497231286455e+01
3.780000000000000000e+02,-8.726739410390891294e+01
3.790000000000000000e+02,-8.637444985396017216e+01
3.800000000000000000e+02,-8.559142726053705985e+01
3.810000000000000000e+02,-8.519900160333580175e+01
3.820000000000000000e+02,-8.519907781386143597e+01
3.830000000000000000e+02,-8.550260143990698225e+01
3.840000000000000000e+02,-8.551619819892364660e+01
3.850000000000000000e+02,-8.426548933821428022e+01
3.860000000000000000e+02,-8.203787949719610140e+01
3.870000000000000000e+02,-8.005680902424585099e+01
3.880000000000000000e+02,-7.890045472436722207e+01
3.890000000000000000e+02,-7.860724540550148731e+01
3.900000000000000000e+02,-7.907521222484641044e+01
3.910000000000000000e+02,-8.020642253736309613e+01
3.920000000000000000e+02,-8.186809771483409293e+01
3.930000000000000000e+02,-8.383958526446575377e+01
3.940000000000000000e+02,-8.583430776591221445e+01
3.950000000000000000e+02,-8.742722436118641838e+01
3.960000000000000000e+02,-8.795019350890055421e+01
3.970000000000000000e+02,-8.706600989576848804e+01
3.980000000000000000e+02,-8.562661191218236922e+01
3.990000000000000000e+02,-8.479533350966369198e+01
