 frequency       v(Amag_dB)      v(Aarg)        
 1.20007371e-01  3.11952240e+01  6.76948924e+01 
 1.22774708e-01  3.13657990e+01  6.72279582e+01 
 1.25605860e-01  3.15352778e+01  6.67532189e+01 
 1.28502297e-01  3.17036243e+01  6.62706627e+01 
 1.31465525e-01  3.18707246e+01  6.57805052e+01 
 1.34497085e-01  3.20366961e+01  6.52823143e+01 
 1.37598551e-01  3.22013474e+01  6.47765448e+01 
 1.40771537e-01  3.23647928e+01  6.42627679e+01 
 1.44017690e-01  3.25269170e+01  6.37412365e+01 
 1.47338699e-01  3.26876070e+01  6.32122263e+01 
 1.50736290e-01  3.28469723e+01  6.26753161e+01 
 1.54212228e-01  3.30048259e+01  6.21310412e+01 
 1.57768320e-01  3.31612744e+01  6.15789875e+01 
 1.61406415e-01  3.33161332e+01  6.10197240e+01 
 1.65128404e-01  3.34695063e+01  6.04528449e+01 
 1.68936220e-01  3.36212119e+01  5.98789537e+01 
 1.72831844e-01  3.37712822e+01  5.92979131e+01 
 1.76817299e-01  3.39197466e+01  5.87095849e+01 
 1.80894658e-01  3.40664287e+01  5.81146246e+01 
 1.85066040e-01  3.42113596e+01  5.75129198e+01 
 1.89333613e-01  3.43545677e+01  5.69043581e+01 
 1.93699595e-01  3.44958833e+01  5.62896468e+01 
 1.98166255e-01  3.46353371e+01  5.56686991e+01 
 2.02735916e-01  3.47728940e+01  5.50417071e+01 
 2.07410951e-01  3.49085196e+01  5.44088739e+01 
 2.12193792e-01  3.50422427e+01  5.37701312e+01 
 2.17086923e-01  3.51739072e+01  5.31262666e+01 
 2.22092889e-01  3.53035452e+01  5.24772350e+01 
 2.27214291e-01  3.54311277e+01  5.18232814e+01 
 2.32453791e-01  3.55565693e+01  5.11649507e+01 
 2.37814113e-01  3.56799608e+01  5.05019276e+01 
 2.43298042e-01  3.58012192e+01  4.98347726e+01 
 2.48908429e-01  3.59203223e+01  4.91637659e+01 
 2.54648190e-01  3.60372497e+01  4.84891948e+01 
 2.60520309e-01  3.61519302e+01  4.78116505e+01 
 2.66527837e-01  3.62644541e+01  4.71308394e+01 
 2.72673897e-01  3.63747025e+01  4.64476616e+01 
 2.78961683e-01  3.64827661e+01  4.57618294e+01 
 2.85394464e-01  3.65885345e+01  4.50742537e+01 
 2.91975583e-01  3.66920509e+01  4.43849510e+01 
 2.98708461e-01  3.67933568e+01  4.36939378e+01 
 3.05596598e-01  3.68923548e+01  4.30021331e+01 
 3.12643573e-01  3.69890920e+01  4.23095546e+01 
 3.19853049e-01  3.70835701e+01  4.16165197e+01 
 3.27228774e-01  3.71757507e+01  4.09236437e+01 
 3.34774581e-01  3.72657260e+01  4.02306398e+01 
 3.42494392e-01  3.73534611e+01  3.95381176e+01 
 3.50392221e-01  3.74389667e+01  3.88463826e+01 
 3.58472171e-01  3.75222174e+01  3.81560313e+01 
 3.66738442e-01  3.76032687e+01  3.74670594e+01 
 3.75195331e-01  3.76821377e+01  3.67797542e+01 
 3.83847234e-01  3.77588435e+01  3.60943957e+01 
 3.92698648e-01  3.78334071e+01  3.54112557e+01 
 4.01754173e-01  3.79058513e+01  3.47305975e+01 
 4.11018515e-01  3.79761683e+01  3.40529620e+01 
 4.20496491e-01  3.80444500e+01  3.33780172e+01 
 4.30193027e-01  3.81106603e+01  3.27065686e+01 
 4.40113162e-01  3.81748606e+01  3.20385520e+01 
 4.50262052e-01  3.82370816e+01  3.13741789e+01 
 4.60644974e-01  3.82973548e+01  3.07136491e+01 
 4.71267322e-01  3.83556861e+01  3.00574244e+01 
 4.82134619e-01  3.84121641e+01  2.94051317e+01 
 4.93252513e-01  3.84667703e+01  2.87574790e+01 
 5.04626783e-01  3.85195672e+01  2.81143443e+01 
 5.16263340e-01  3.85705671e+01  2.74761292e+01 
 5.28168234e-01  3.86198549e+01  2.68424329e+01 
 5.40347650e-01  3.86674212e+01  2.62138912e+01 
 5.52807921e-01  3.87133270e+01  2.55903436e+01 
 5.65555523e-01  3.87575893e+01  2.49721299e+01 
 5.78597080e-01  3.88002883e+01  2.43588240e+01 
 5.91939372e-01  3.88414209e+01  2.37509886e+01 
 6.05589334e-01  3.88810273e+01  2.31486673e+01 
 6.19554061e-01  3.89191651e+01  2.25516555e+01 
 6.33840810e-01  3.89558720e+01  2.19599839e+01 
 6.48457008e-01  3.89911852e+01  2.13736722e+01 
 6.63410251e-01  3.90251255e+01  2.07929565e+01 
 6.78708313e-01  3.90577468e+01  2.02176017e+01 
 6.94359143e-01  3.90890704e+01  1.96478165e+01 
 7.10370877e-01  3.91191477e+01  1.90833527e+01 
 7.26751838e-01  3.91480138e+01  1.85241796e+01 
 7.43510539e-01  3.91756897e+01  1.79704676e+01 
 7.60655691e-01  3.92022106e+01  1.74221580e+01 
 7.78196206e-01  3.92276232e+01  1.68789808e+01 
 7.96141200e-01  3.92519479e+01  1.63410711e+01 
 8.14500001e-01  3.92752289e+01  1.58081501e+01 
 8.33282151e-01  3.92974857e+01  1.52803313e+01 
 8.52497412e-01  3.93187601e+01  1.47573285e+01 
 8.72155772e-01  3.93390604e+01  1.42394214e+01 
 8.92267449e-01  3.93584465e+01  1.37259422e+01 
 9.12842895e-01  3.93769161e+01  1.32173345e+01 
 9.33892805e-01  3.93945158e+01  1.27131156e+01 
 9.55428121e-01  3.94112533e+01  1.22135158e+01 
 9.77460036e-01  3.94271803e+01  1.17178858e+01 
 1.00000000e+00  3.94422949e+01  1.12266098e+01 
 1.02305973e+00  3.94566293e+01  1.07393759e+01 
 1.04665121e+00  3.94702059e+01  1.02560410e+01 
 1.07078670e+00  3.94830533e+01  9.77630139e+00 
 1.09547876e+00  3.94951773e+01  9.30032473e+00 
 1.12074020e+00  3.95066048e+01  8.82779755e+00 
 1.14658417e+00  3.95173544e+01  8.35856386e+00 
 1.17302409e+00  3.95274435e+01  7.89246499e+00 
 1.20007371e+00  3.95368946e+01  7.42919725e+00 
 1.22774708e+00  3.95456999e+01  6.96916461e+00 
 1.25605860e+00  3.95538978e+01  6.51162864e+00 
 1.28502297e+00  3.95614961e+01  6.05656467e+00 
 1.31465525e+00  3.95685025e+01  5.60393520e+00 
 1.34497085e+00  3.95749341e+01  5.15343297e+00 
 1.37598551e+00  3.95808018e+01  4.70488625e+00 
