 frequency       v(L_dB)         v(L_arg)        v(Tmb_dB)       v(Tmb_arg)      v(Ttian_dB)     v(Ttian_arg)   
 1.00000000e-02  9.17167165e+00  1.12239007e+02  3.40761422e+01  4.32724842e-01  3.40752644e+01  4.36607323e-01 
 1.02305973e-02  9.34686689e+00  1.11858441e+02  3.40762335e+01  4.42685169e-01  3.40753660e+01  4.46517051e-01 
 1.04665121e-02  9.52302783e+00  1.11486182e+02  3.40763292e+01  4.52873892e-01  3.40754716e+01  4.56654795e-01 
 1.07078670e-02  9.70012395e+00  1.11122209e+02  3.40764293e+01  4.63296188e-01  3.40755814e+01  4.67025805e-01 
 1.09547876e-02  9.87812556e+00  1.10766499e+02  3.40765341e+01  4.73957345e-01  3.40756956e+01  4.77635441e-01 
 1.12074020e-02  1.00570038e+01  1.10419025e+02  3.40766437e+01  4.84862767e-01  3.40758143e+01  4.88489175e-01 
 1.14658417e-02  1.02367307e+01  1.10079755e+02  3.40767585e+01  4.96017976e-01  3.40759379e+01  4.99592596e-01 
 1.17302409e-02  1.04172792e+01  1.09748653e+02  3.40768785e+01  5.07428612e-01  3.40760666e+01  5.10951406e-01 
 1.20007371e-02  1.05986230e+01  1.09425680e+02  3.40770042e+01  5.19100438e-01  3.40762006e+01  5.22571431e-01 
 1.22774708e-02  1.07807366e+01  1.09110796e+02  3.40771357e+01  5.31039339e-01  3.40763401e+01  5.34458613e-01 
 1.25605860e-02  1.09635957e+01  1.08803953e+02  3.40772734e+01  5.43251329e-01  3.40764855e+01  5.46619021e-01 
 1.28502297e-02  1.11471766e+01  1.08505107e+02  3.40774174e+01  5.55742548e-01  3.40766371e+01  5.59058849e-01 
 1.31465525e-02  1.13314566e+01  1.08214207e+02  3.40775682e+01  5.68519267e-01  3.40767951e+01  5.71784417e-01 
 1.34497085e-02  1.15164138e+01  1.07931202e+02  3.40777259e+01  5.81587890e-01  3.40769599e+01  5.84802178e-01 
 1.37598551e-02  1.17020273e+01  1.07656039e+02  3.40778910e+01  5.94954957e-01  3.40771318e+01  5.98118715e-01 
 1.40771537e-02  1.18882771e+01  1.07388665e+02  3.40780638e+01  6.08627144e-01  3.40773111e+01  6.11740746e-01 
 1.44017690e-02  1.20751437e+01  1.07129023e+02  3.40782446e+01  6.22611266e-01  3.40774983e+01  6.25675128e-01 
 1.47338699e-02  1.22626090e+01  1.06877059e+02  3.40784338e+01  6.36914283e-01  3.40776936e+01  6.39928854e-01 
 1.50736290e-02  1.24506554e+01  1.06632714e+02  3.40786318e+01  6.51543294e-01  3.40778975e+01  6.54509062e-01 
 1.54212228e-02  1.26392663e+01  1.06395933e+02  3.40788390e+01  6.66505549e-01  3.40781104e+01  6.69423031e-01 
 1.57768320e-02  1.28284259e+01  1.06166656e+02  3.40790558e+01  6.81808441e-01  3.40783327e+01  6.84678186e-01 
 1.61406415e-02  1.30181192e+01  1.05944827e+02  3.40792827e+01  6.97459518e-01  3.40785648e+01  7.00282101e-01 
 1.65128404e-02  1.32083321e+01  1.05730389e+02  3.40795201e+01  7.13466478e-01  3.40788074e+01  7.16242496e-01 
 1.68936220e-02  1.33990513e+01  1.05523284e+02  3.40797686e+01  7.29837173e-01  3.40790607e+01  7.32567257e-01 
 1.72831844e-02  1.35902642e+01  1.05323455e+02  3.40800285e+01  7.46579612e-01  3.40793254e+01  7.49264409e-01 
 1.76817299e-02  1.37819593e+01  1.05130846e+02  3.40803006e+01  7.63701962e-01  3.40796020e+01  7.66342140e-01 
 1.80894658e-02  1.39741256e+01  1.04945402e+02  3.40805852e+01  7.81212551e-01  3.40798910e+01  7.83808793e-01 
 1.85066040e-02  1.41667531e+01  1.04767069e+02  3.40808831e+01  7.99119867e-01  3.40801931e+01  8.01672874e-01 
 1.89333613e-02  1.43598325e+01  1.04595792e+02  3.40811948e+01  8.17432560e-01  3.40805088e+01  8.19943049e-01 
 1.93699595e-02  1.45533553e+01  1.04431520e+02  3.40815209e+01  8.36159450e-01  3.40808389e+01  8.38628148e-01 
 1.98166255e-02  1.47473137e+01  1.04274201e+02  3.40818621e+01  8.55309517e-01  3.40811839e+01  8.57737166e-01 
 2.02735916e-02  1.49417008e+01  1.04123786e+02  3.40822192e+01  8.74891914e-01  3.40815445e+01  8.77279262e-01 
 2.07410951e-02  1.51365105e+01  1.03980225e+02  3.40825927e+01  8.94915957e-01  3.40819215e+01  8.97263764e-01 
 2.12193792e-02  1.53317373e+01  1.03843472e+02  3.40829836e+01  9.15391136e-01  3.40823158e+01  9.17700169e-01 
 2.17086923e-02  1.55273767e+01  1.03713482e+02  3.40833926e+01  9.36327109e-01  3.40827279e+01  9.38598141e-01 
 2.22092889e-02  1.57234247e+01  1.03590212e+02  3.40838204e+01  9.57733704e-01  3.40831589e+01  9.59967515e-01 
 2.27214291e-02  1.59198784e+01  1.03473618e+02  3.40842681e+01  9.79620924e-01  3.40836095e+01  9.81818296e-01 
 2.32453791e-02  1.61167352e+01  1.03363661e+02  3.40847364e+01  1.00199894e+00  3.40840807e+01  1.00416066e+00 
 2.37814113e-02  1.63139938e+01  1.03260302e+02  3.40852264e+01  1.02487809e+00  3.40845735e+01  1.02700495e+00 
 2.43298042e-02  1.65116534e+01  1.03163507e+02  3.40857391e+01  1.04826889e+00  3.40850887e+01  1.05036167e+00 
 2.48908429e-02  1.67097139e+01  1.03073239e+02  3.40862753e+01  1.07218203e+00  3.40856276e+01  1.07424153e+00 
 2.54648190e-02  1.69081761e+01  1.02989466e+02  3.40868364e+01  1.09662836e+00  3.40861910e+01  1.09865537e+00 
 2.60520309e-02  1.71070418e+01  1.02912159e+02  3.40874233e+01  1.12161890e+00  3.40867803e+01  1.12361421e+00 
