 v-sweep         v(Ileak_lv_w_dummy) v(Ileak_hv_w_dummy) v(Ileak_lv_wo_dummy) v(Ileak_hv_wo_dummy)
 0.00000000e+00 -4.25394952e-10 -3.64812664e-14 -4.48912710e-10 -3.60250001e-14 
 1.00000000e-02 -2.88897152e-10 -2.57754029e-14 -3.12414910e-10 -2.53191366e-14 
 2.00000000e-02 -1.93851023e-10 -1.83985230e-14 -2.17368782e-10 -1.79422567e-14 
 3.00000000e-02 -1.27675099e-10 -1.33136688e-14 -1.51192857e-10 -1.28574025e-14 
 4.00000000e-02 -8.16044566e-11 -9.80685153e-15 -1.05122215e-10 -9.35058524e-15 
 5.00000000e-02 -4.95337710e-11 -7.38646917e-15 -7.30515292e-11 -6.93020288e-15 
 6.00000000e-02 -2.72107741e-11 -5.71404773e-15 -5.07285323e-11 -5.25778144e-15 
 7.00000000e-02 -1.16741311e-11 -4.55655059e-15 -3.51918893e-11 -4.10028430e-15 
 8.00000000e-02 -8.61728993e-13 -3.75353756e-15 -2.43794872e-11 -3.29727127e-15 
 9.00000000e-02  6.66224358e-12 -3.19455432e-15 -1.68555146e-11 -2.73828804e-15 
 1.00000000e-01  1.18974257e-11 -2.80355210e-15 -1.16203325e-11 -2.34728581e-15 
 1.10000000e-01  1.55397234e-11 -2.52818862e-15 -7.97803477e-12 -2.07192233e-15 
 1.20000000e-01  1.85610881e-11 -2.29755362e-15 -4.95667003e-12 -1.84128903e-15 
 1.30000000e-01  2.01753135e-11 -2.16744649e-15 -3.34244466e-12 -1.71118020e-15 
 1.40000000e-01  2.12979976e-11 -2.07166204e-15 -2.21976053e-12 -1.61539744e-15 
 1.50000000e-01  2.20787393e-11 -1.99950826e-15 -1.43901884e-12 -1.54324197e-15 
 1.60000000e-01  2.26216309e-11 -1.94361200e-15 -8.96127271e-13 -1.48734741e-15 
 1.70000000e-01  2.29990940e-11 -1.89890758e-15 -5.18664182e-13 -1.44264129e-15 
 1.80000000e-01  2.32615107e-11 -1.86190598e-15 -2.56247415e-13 -1.40564139e-15 
 1.90000000e-01  2.34439275e-11 -1.83020894e-15 -7.38306845e-14 -1.37394265e-15 
 2.00000000e-01  2.35707203e-11 -1.80215678e-15  5.29621680e-14 -1.34589219e-15 
 2.10000000e-01  2.36588422e-11 -1.77661872e-15  1.41084005e-13 -1.32035243e-15 
 2.20000000e-01  2.37200820e-11 -1.75280504e-15  2.02323859e-13 -1.29654045e-15 
 2.30000000e-01  2.37626371e-11 -1.73018373e-15  2.44878926e-13 -1.27391744e-15 
 2.40000000e-01  2.37922065e-11 -1.70837720e-15  2.74448301e-13 -1.25211261e-15 
 2.50000000e-01  2.38127520e-11 -1.68713706e-15  2.94993832e-13 -1.23087077e-15 
 2.60000000e-01  2.38270276e-11 -1.66628093e-15  3.09269421e-13 -1.21001634e-15 
 2.70000000e-01  2.38369472e-11 -1.64569476e-15  3.19189046e-13 -1.18942847e-15 
 2.80000000e-01  2.38438409e-11 -1.62528860e-15  3.26082786e-13 -1.16902401e-15 
 2.90000000e-01  2.38486330e-11 -1.60501203e-15  3.30874883e-13 -1.14874574e-15 
 3.00000000e-01  2.38519656e-11 -1.58481890e-15  3.34207448e-13 -1.12855431e-15 
 3.10000000e-01  2.38542847e-11 -1.56468890e-15  3.36526551e-13 -1.10842261e-15 
 3.20000000e-01  2.38559002e-11 -1.54459660e-15  3.38142009e-13 -1.08833201e-15 
 3.30000000e-01  2.38570272e-11 -1.52453597e-15  3.39269031e-13 -1.06826968e-15 
 3.40000000e-01  2.38578152e-11 -1.50449140e-15  3.40057016e-13 -1.04822681e-15 
 3.50000000e-01  2.38583679e-11 -1.48446360e-15  3.40609712e-13 -1.02819732e-15 
 3.60000000e-01  2.38587573e-11 -1.46444162e-15  3.40999163e-13 -1.00817703e-15 
 3.70000000e-01  2.38590335e-11 -1.44442936e-15  3.41275334e-13 -9.88163075e-16 
 3.80000000e-01  2.38592311e-11 -1.42441807e-15  3.41472943e-13 -9.68153478e-16 
 3.90000000e-01  2.38593742e-11 -1.40441317e-15  3.41616067e-13 -9.48146877e-16 
 4.00000000e-01  2.38594796e-11 -1.38440693e-15  3.41721392e-13 -9.28142337e-16 
 4.10000000e-01  2.38595587e-11 -1.36440550e-15  3.41800524e-13 -9.08139214e-16 
 4.20000000e-01  2.38596197e-11 -1.34440166e-15  3.41861491e-13 -8.88137067e-16 
 4.30000000e-01  2.38596680e-11 -1.32440188e-15  3.41909868e-13 -8.68135590e-16 
 4.40000000e-01  2.38597077e-11 -1.30439917e-15  3.41949522e-13 -8.48134575e-16 
 4.50000000e-01  2.38597413e-11 -1.28440016e-15  3.41983131e-13 -8.28133876e-16 
 4.60000000e-01  2.38597707e-11 -1.26439799e-15  3.42012553e-13 -8.08133396e-16 
 4.70000000e-01  2.38597972e-11 -1.24439935e-15  3.42039075e-13 -7.88133066e-16 
 4.80000000e-01  2.38598218e-11 -1.22439743e-15  3.42063588e-13 -7.68132839e-16 
 4.90000000e-01  2.38598449e-11 -1.20439897e-15  3.42086711e-13 -7.48132683e-16 
 5.00000000e-01  2.38598670e-11 -1.18439717e-15  3.42108871e-13 -7.28132575e-16 
 5.10000000e-01  2.38598885e-11 -1.16439879e-15  3.42130365e-13 -7.08132502e-16 
 5.20000000e-01  2.38599096e-11 -1.14439705e-15  3.42151398e-13 -6.88132451e-16 
 5.30000000e-01  2.38599303e-11 -1.12439870e-15  3.42172112e-13 -6.68132416e-16 
 5.40000000e-01  2.38599508e-11 -1.10439699e-15  3.42192606e-13 -6.48132392e-16 
 5.50000000e-01  2.38599711e-11 -1.08439866e-15  3.42212947e-13 -6.28132376e-16 
 5.60000000e-01  2.38599913e-11 -1.06439696e-15  3.42233182e-13 -6.08132364e-16 
 5.70000000e-01  2.38600115e-11 -1.04439865e-15  3.42253344e-13 -5.88132356e-16 
 5.80000000e-01  2.38600316e-11 -1.02439695e-15  3.42273456e-13 -5.68132351e-16 
 5.90000000e-01  2.38600517e-11 -1.00439864e-15  3.42293534e-13 -5.48132347e-16 
 6.00000000e-01  2.38600718e-11 -9.84396940e-16  3.42313587e-13 -5.28132345e-16 
 6.10000000e-01  2.38600918e-11 -9.64398632e-16  3.42333623e-13 -5.08132343e-16 
 6.20000000e-01  2.38601118e-11 -9.44396937e-16  3.42353648e-13 -4.88132342e-16 
 6.30000000e-01  2.38601318e-11 -9.24398630e-16  3.42373665e-13 -4.68132341e-16 
 6.40000000e-01  2.38601518e-11 -9.04396935e-16  3.42393677e-13 -4.48132341e-16 
 6.50000000e-01  2.38601718e-11 -8.84398629e-16  3.42413685e-13 -4.28132340e-16 
 6.60000000e-01  2.38601919e-11 -8.64396935e-16  3.42433690e-13 -4.08132340e-16 
 6.70000000e-01  2.38602119e-11 -8.44398628e-16  3.42453694e-13 -3.88132340e-16 
 6.80000000e-01  2.38602319e-11 -8.24396934e-16  3.42473696e-13 -3.68132340e-16 
 6.90000000e-01  2.38602519e-11 -8.04398628e-16  3.42493698e-13 -3.48132340e-16 
 7.00000000e-01  2.38602719e-11 -7.84396934e-16  3.42513699e-13 -3.28132339e-16 
 7.10000000e-01  2.38602919e-11 -7.64398628e-16  3.42533699e-13 -3.08132339e-16 
 7.20000000e-01  2.38603119e-11 -7.44396934e-16  3.42553700e-13 -2.88132339e-16 
 7.30000000e-01  2.38603319e-11 -7.24398628e-16  3.42573700e-13 -2.68132339e-16 
 7.40000000e-01  2.38603519e-11 -7.04396934e-16  3.42593700e-13 -2.48132339e-16 
 7.50000000e-01  2.38603719e-11 -6.84398628e-16  3.42613700e-13 -2.28132339e-16 
 7.60000000e-01  2.38603919e-11 -6.64396934e-16  3.42633700e-13 -2.08132339e-16 
 7.70000000e-01  2.38604119e-11 -6.44398628e-16  3.42653700e-13 -1.88132339e-16 
 7.80000000e-01  2.38604319e-11 -6.24396934e-16  3.42673700e-13 -1.68132339e-16 
 7.90000000e-01  2.38604519e-11 -6.04398628e-16  3.42693701e-13 -1.48132339e-16 
 8.00000000e-01  2.38604719e-11 -5.84396934e-16  3.42713701e-13 -1.28132339e-16 
 8.10000000e-01  2.38604919e-11 -5.64398628e-16  3.42733701e-13 -1.08132339e-16 
 8.20000000e-01  2.38605119e-11 -5.44396934e-16  3.42753701e-13 -8.81323391e-17 
 8.30000000e-01  2.38605319e-11 -5.24398628e-16  3.42773702e-13 -6.81323390e-17 
 8.40000000e-01  2.38605519e-11 -5.04396933e-16  3.42793702e-13 -4.81323388e-17 
 8.50000000e-01  2.38605719e-11 -4.84398627e-16  3.42813703e-13 -2.81323385e-17 
 8.60000000e-01  2.38605919e-11 -4.64396933e-16  3.42833703e-13 -8.13233815e-18 
 8.70000000e-01  2.38606119e-11 -4.44398626e-16  3.42853704e-13  1.18676624e-17 
 8.80000000e-01  2.38606319e-11 -4.24396931e-16  3.42873704e-13  3.18676633e-17 
 8.90000000e-01  2.38606519e-11 -4.04398624e-16  3.42893705e-13  5.18676645e-17 
 9.00000000e-01  2.38606719e-11 -3.84396928e-16  3.42913706e-13  7.18676663e-17 
 9.10000000e-01  2.38606919e-11 -3.64398620e-16  3.42933707e-13  9.18676690e-17 
 9.20000000e-01  2.38607119e-11 -3.44396922e-16  3.42953708e-13  1.11867673e-16 
 9.30000000e-01  2.38607319e-11 -3.24398610e-16  3.42973710e-13  1.31867679e-16 
 9.40000000e-01  2.38607519e-11 -3.04396907e-16  3.42993712e-13  1.51867688e-16 
 9.50000000e-01  2.38607719e-11 -2.84398588e-16  3.43013715e-13  1.71867700e-16 
 9.60000000e-01  2.38607919e-11 -2.64396875e-16  3.43033720e-13  1.91867719e-16 
 9.70000000e-01  2.38608119e-11 -2.44398542e-16  3.43053726e-13  2.11867747e-16 
 9.80000000e-01  2.38608319e-11 -2.24396807e-16  3.43073735e-13  2.31867788e-16 
 9.90000000e-01  2.38608519e-11 -2.04398440e-16  3.43093748e-13  2.51867848e-16 
 1.00000000e+00  2.38608719e-11 -1.84396657e-16  3.43113766e-13  2.71867937e-16 
 1.01000000e+00  2.38608920e-11 -1.64398220e-16  3.43133793e-13  2.91868069e-16 
 1.02000000e+00  2.38609120e-11 -1.44396332e-16  3.43153831e-13  3.11868262e-16 
 1.03000000e+00  2.38609321e-11 -1.24397741e-16  3.43173887e-13  3.31868548e-16 
 1.04000000e+00  2.38609521e-11 -1.04395627e-16  3.43193967e-13  3.51868968e-16 
 1.05000000e+00  2.38609722e-11 -8.43967008e-17  3.43214084e-13  3.71869588e-16 
 1.06000000e+00  2.38609924e-11 -6.43940934e-17  3.43234253e-13  3.91870501e-16 
 1.07000000e+00  2.38610127e-11 -4.43944413e-17  3.43254497e-13  4.11871847e-16 
 1.08000000e+00  2.38610330e-11 -2.43907634e-17  3.43274852e-13  4.31873831e-16 
 1.09000000e+00  2.38610535e-11 -4.38953414e-18  3.43295366e-13  4.51876755e-16 
 1.10000000e+00  2.38610743e-11  1.56164677e-17  3.43316112e-13  4.71881062e-16 
 1.11000000e+00  2.38610954e-11  3.56211214e-17  3.43337194e-13  4.91887410e-16 
