 v-sweep         v(vinp)         v(voutp)        v(voutn)       
 7.48830000e-01  7.48830000e-01  5.42763442e-02  1.44771354e+00 
 7.48840000e-01  7.48840000e-01  5.46678066e-02  1.44724892e+00 
 7.48850000e-01  7.48850000e-01  5.50593618e-02  1.44678183e+00 
 7.48860000e-01  7.48860000e-01  5.54541306e-02  1.44631199e+00 
 7.48870000e-01  7.48870000e-01  5.58556124e-02  1.44583401e+00 
 7.48880000e-01  7.48880000e-01  5.62621548e-02  1.44534772e+00 
 7.48890000e-01  7.48890000e-01  5.66740268e-02  1.44485837e+00 
 7.48900000e-01  7.48900000e-01  5.70915021e-02  1.44436319e+00 
 7.48910000e-01  7.48910000e-01  5.75104739e-02  1.44386515e+00 
 7.48920000e-01  7.48920000e-01  5.79387824e-02  1.44335521e+00 
 7.48930000e-01  7.48930000e-01  5.83703342e-02  1.44284201e+00 
 7.48940000e-01  7.48940000e-01  5.88070650e-02  1.44232260e+00 
 7.48950000e-01  7.48950000e-01  5.92494552e-02  1.44179686e+00 
 7.48960000e-01  7.48960000e-01  5.96955667e-02  1.44126456e+00 
 7.48970000e-01  7.48970000e-01  6.01469004e-02  1.44072894e+00 
 7.48980000e-01  7.48980000e-01  6.06066799e-02  1.44018346e+00 
 7.48990000e-01  7.48990000e-01  6.10755854e-02  1.43962740e+00 
 7.49000000e-01  7.49000000e-01  6.15450824e-02  1.43907133e+00 
 7.49010000e-01  7.49010000e-01  6.20205442e-02  1.43850458e+00 
 7.49020000e-01  7.49020000e-01  6.25068737e-02  1.43792665e+00 
 7.49030000e-01  7.49030000e-01  6.29931524e-02  1.43734876e+00 
 7.49040000e-01  7.49040000e-01  6.34916179e-02  1.43675953e+00 
 7.49050000e-01  7.49050000e-01  6.39965681e-02  1.43615833e+00 
 7.49060000e-01  7.49060000e-01  6.45068360e-02  1.43555307e+00 
 7.49070000e-01  7.49070000e-01  6.50237640e-02  1.43493962e+00 
 7.49080000e-01  7.49080000e-01  6.55453666e-02  1.43432202e+00 
 7.49090000e-01  7.49090000e-01  6.60771124e-02  1.43369168e+00 
 7.49100000e-01  7.49100000e-01  6.66230284e-02  1.43304836e+00 
 7.49110000e-01  7.49110000e-01  6.71666123e-02  1.43239973e+00 
 7.49120000e-01  7.49120000e-01  6.77219175e-02  1.43174739e+00 
 7.49130000e-01  7.49130000e-01  6.82879187e-02  1.43107569e+00 
 7.49140000e-01  7.49140000e-01  6.88565690e-02  1.43040416e+00 
