 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 4.60644974e+00  3.88888383e-14  0.00000000e+00  5.61828882e-13  0.00000000e+00 
 4.71267322e+00  3.79996711e-14  0.00000000e+00  5.49247273e-13  0.00000000e+00 
 4.82134619e+00  3.71303764e-14  0.00000000e+00  5.36951058e-13  0.00000000e+00 
 4.93252513e+00  3.62804648e-14  0.00000000e+00  5.24933946e-13  0.00000000e+00 
 5.04626783e+00  3.54496255e-14  0.00000000e+00  5.13189610e-13  0.00000000e+00 
 5.16263340e+00  3.46373861e-14  0.00000000e+00  5.01711974e-13  0.00000000e+00 
 5.28168234e+00  3.38432881e-14  0.00000000e+00  4.90495038e-13  0.00000000e+00 
 5.40347650e+00  3.30670907e-14  0.00000000e+00  4.79532935e-13  0.00000000e+00 
 5.52807921e+00  3.23081480e-14  0.00000000e+00  4.68820077e-13  0.00000000e+00 
 5.65555523e+00  3.15662851e-14  0.00000000e+00  4.58350795e-13  0.00000000e+00 
 5.78597080e+00  3.08409825e-14  0.00000000e+00  4.48119689e-13  0.00000000e+00 
 5.91939372e+00  3.01319755e-14  0.00000000e+00  4.38121429e-13  0.00000000e+00 
 6.05589334e+00  2.94389072e-14  0.00000000e+00  4.28350750e-13  0.00000000e+00 
 6.19554061e+00  2.87613389e-14  0.00000000e+00  4.18802687e-13  0.00000000e+00 
 6.33840810e+00  2.80990222e-14  0.00000000e+00  4.09472151e-13  0.00000000e+00 
 6.48457008e+00  2.74515374e-14  0.00000000e+00  4.00354385e-13  0.00000000e+00 
 6.63410251e+00  2.68186461e-14  0.00000000e+00  3.91444600e-13  0.00000000e+00 
 6.78708313e+00  2.61999466e-14  0.00000000e+00  3.82738114e-13  0.00000000e+00 
 6.94359143e+00  2.55952104e-14  0.00000000e+00  3.74230463e-13  0.00000000e+00 
 7.10370877e+00  2.50040919e-14  0.00000000e+00  3.65917158e-13  0.00000000e+00 
 7.26751838e+00  2.44262555e-14  0.00000000e+00  3.57793921e-13  0.00000000e+00 
 7.43510539e+00  2.38615241e-14  0.00000000e+00  3.49856523e-13  0.00000000e+00 
 7.60655691e+00  2.33095351e-14  0.00000000e+00  3.42100751e-13  0.00000000e+00 
 7.78196206e+00  2.27700097e-14  0.00000000e+00  3.34522628e-13  0.00000000e+00 
 7.96141200e+00  2.22426752e-14  0.00000000e+00  3.27118217e-13  0.00000000e+00 
 8.14500001e+00  2.17272988e-14  0.00000000e+00  3.19883629e-13  0.00000000e+00 
 8.33282151e+00  2.12236170e-14  0.00000000e+00  3.12815059e-13  0.00000000e+00 
 8.52497412e+00  2.07314046e-14  0.00000000e+00  3.05908876e-13  0.00000000e+00 
 8.72155772e+00  2.02503758e-14  0.00000000e+00  2.99161425e-13  0.00000000e+00 
 8.92267449e+00  1.97802839e-14  0.00000000e+00  2.92569221e-13  0.00000000e+00 
