 time            v(clk)          v(vs)           v(vctail)       v(vcpp)         v(vcpn)         v(voutp)        v(voutn)       
 1.21120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.25120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.29120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.33120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.37120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.41120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.45120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.49120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.53120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.57120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.61120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.65120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.69120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.73120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.77120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.81120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.85120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.89120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.93120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.97120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.00000000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.00100000e-09  1.50000000e-01  7.26608292e-01 -7.18802672e-05  1.50037802e+00  1.50037802e+00 -7.15102419e-03 -7.15102429e-03 
 2.00300000e-09  4.50000000e-01  7.88143549e-01 -2.40969217e-04  1.50113547e+00  1.50113547e+00 -2.27510789e-02 -2.27510791e-02 
 2.00700000e-09  1.05000000e+00  7.77961281e-01  4.29751931e-04  1.50258968e+00  1.50258966e+00 -5.39536036e-02 -5.39536033e-02 
 2.01000000e-09  1.50000000e+00  5.25959651e-01  2.53133893e-03  1.50331920e+00  1.50331916e+00 -7.20771153e-02 -7.20771143e-02 
 2.01072787e-09  1.50000000e+00  4.15886669e-01  3.14526469e-03  1.50332044e+00  1.50332037e+00 -7.24927807e-02 -7.24927791e-02 
 2.01218362e-09  1.50000000e+00  2.35175330e-01  4.18828225e-03  1.50332420e+00  1.50332322e+00 -7.24177303e-02 -7.24177113e-02 
 2.01509512e-09  1.50000000e+00  8.44816421e-02  5.40604700e-03  1.50316666e+00  1.50314797e+00 -7.20840730e-02 -7.20836638e-02 
 2.02091811e-09  1.50000000e+00  5.74867066e-02  6.54360901e-03  1.50229335e+00  1.50220647e+00 -7.21632473e-02 -7.21609186e-02 
 2.02848702e-09  1.50000000e+00  6.63187538e-02  7.78152764e-03  1.50103034e+00  1.50085022e+00 -7.21191374e-02 -7.21136761e-02 
 2.03990152e-09  1.50000000e+00  6.45301341e-02  9.72144782e-03  1.49920021e+00  1.49888189e+00 -7.22908486e-02 -7.22807308e-02 
 2.06273050e-09  1.50000000e+00  6.87359483e-02  1.34746444e-02  1.49556790e+00  1.49497566e+00 -7.23461938e-02 -7.23268701e-02 
