 v-sweep         v(Vbiasc)       v(Vbias)        v(Ix)           v(Iout)        
 3.20000000e-01  2.70998275e-01  1.26417370e-01 -5.62908287e-07  9.76201826e-09 
 3.25000000e-01  2.74969632e-01  1.28286017e-01 -5.38853237e-07  1.03195692e-08 
 3.30000000e-01  2.78653111e-01  1.30019832e-01 -5.14413521e-07  1.08638633e-08 
 3.35000000e-01  2.82199100e-01  1.31689231e-01 -4.89829905e-07  1.14007637e-08 
 3.40000000e-01  2.85233285e-01  1.33118463e-01 -4.64597714e-07  1.18945802e-08 
 3.45000000e-01  2.87811624e-01  1.34333405e-01 -4.38797106e-07  1.23284546e-08 
 3.50000000e-01  2.89397908e-01  1.35081602e-01 -4.11588062e-07  1.26039803e-08 
 3.55000000e-01  2.90377792e-01  1.35544346e-01 -3.83454428e-07  1.27673819e-08 
 3.60000000e-01  2.89876699e-01  1.35310095e-01 -3.52906513e-07  1.26635085e-08 
 3.65000000e-01  2.86704187e-01  1.33818887e-01 -3.17848485e-07  1.20878917e-08 
 3.70000000e-01  2.81724416e-01  1.31478392e-01 -2.81353123e-07  1.12474678e-08 
 3.75000000e-01  2.79297572e-01  1.30338925e-01 -2.52560537e-07  1.08514303e-08 
 3.80000000e-01  2.78558211e-01  1.29992811e-01 -2.28755963e-07  1.07262641e-08 
 3.85000000e-01  2.78187333e-01  1.29819881e-01 -2.06358007e-07  1.06588162e-08 
 3.90000000e-01  2.78458883e-01  1.29948762e-01 -1.87702753e-07  1.06913224e-08 
 3.95000000e-01  2.78619269e-01  1.30025350e-01 -1.69384667e-07  1.07067761e-08 
 4.00000000e-01  2.78802399e-01  1.30112615e-01 -1.51697836e-07  1.07259265e-08 
 4.05000000e-01  2.79015277e-01  1.30213745e-01 -1.35804969e-07  1.07502637e-08 
 4.10000000e-01  2.79191152e-01  1.30297389e-01 -1.21544938e-07  1.07694615e-08 
 4.15000000e-01  2.79348034e-01  1.30372068e-01 -1.07788400e-07  1.07858724e-08 
 4.20000000e-01  2.79493714e-01  1.30441463e-01 -9.45579994e-08  1.08007099e-08 
 4.25000000e-01  2.79578948e-01  1.30482328e-01 -8.33579639e-08  1.08067957e-08 
 4.30000000e-01  2.79654644e-01  1.30518665e-01 -7.26225141e-08  1.08115335e-08 
 4.35000000e-01  2.79707176e-01  1.30544078e-01 -6.28283455e-08  1.08129451e-08 
 4.40000000e-01  2.79744472e-01  1.30562268e-01 -5.39397508e-08  1.08122636e-08 
 4.45000000e-01  2.79764156e-01  1.30572123e-01 -4.59105124e-08  1.08091126e-08 
 4.50000000e-01  2.79772950e-01  1.30576820e-01 -3.86966770e-08  1.08045258e-08 
 4.55000000e-01  2.79767334e-01  1.30574678e-01 -3.22464881e-08  1.07979635e-08 
 4.60000000e-01  2.79753125e-01  1.30568448e-01 -2.65105298e-08  1.07903144e-08 
 4.65000000e-01  2.79727835e-01  1.30556982e-01 -2.14348537e-08  1.07811869e-08 
 4.70000000e-01  2.79693724e-01  1.30541315e-01 -1.69667056e-08  1.07709373e-08 
 4.75000000e-01  2.79650315e-01  1.30521235e-01 -1.30527919e-08  1.07594874e-08 
 4.80000000e-01  2.79601903e-01  1.30498775e-01 -9.64152305e-09  1.07474933e-08 
 4.85000000e-01  2.79548841e-01  1.30474094e-01 -6.68197386e-09  1.07350125e-08 
 4.90000000e-01  2.79488932e-01  1.30446148e-01 -4.12538238e-09  1.07217032e-08 
 4.95000000e-01  2.79431777e-01  1.30419485e-01 -1.92635908e-09  1.07090388e-08 
 5.00000000e-01  2.79375454e-01  1.30393179e-01 -4.16647047e-11  1.06967228e-08 
 5.05000000e-01  2.79318893e-01  1.30366744e-01  1.56822778e-09  1.06845793e-08 
 5.10000000e-01  2.79265523e-01  1.30341796e-01  2.93932542e-09  1.06731292e-08 
 5.15000000e-01  2.79219068e-01  1.30320053e-01  4.10427487e-09  1.06629530e-08 
 5.20000000e-01  2.79178484e-01  1.30301084e-01  5.09204999e-09  1.06538613e-08 
 5.25000000e-01  2.79142393e-01  1.30284205e-01  5.92811388e-09  1.06456470e-08 
 5.30000000e-01  2.79114120e-01  1.30270989e-01  6.63513578e-09  1.06388119e-08 
 5.35000000e-01  2.79086290e-01  1.30257962e-01  7.23190577e-09  1.06322168e-08 
 5.40000000e-01  2.79069791e-01  1.30250244e-01  7.73633132e-09  1.06275304e-08 
 5.45000000e-01  2.79056799e-01  1.30244188e-01  8.16211411e-09  1.06235310e-08 
 5.50000000e-01  2.79042218e-01  1.30237376e-01  8.52098064e-09  1.06194387e-08 
 5.55000000e-01  2.79030255e-01  1.30231783e-01  8.82391025e-09  1.06158958e-08 
 5.60000000e-01  2.79020271e-01  1.30227125e-01  9.07975738e-09  1.06127940e-08 
 5.65000000e-01  2.79010253e-01  1.30222433e-01  9.29580106e-09  1.06098255e-08 
 5.70000000e-01  2.78999610e-01  1.30217451e-01  9.49407255e-09  1.06068226e-08 
 5.75000000e-01  2.78984832e-01  1.30210528e-01  9.63217100e-09  1.06034298e-08 
 5.80000000e-01  2.78972576e-01  1.30204781e-01  9.77386947e-09  1.06004256e-08 
 5.85000000e-01  2.78957221e-01  1.30197587e-01  9.87301470e-09  1.05971643e-08 
 5.90000000e-01  2.78941141e-01  1.30190037e-01  9.96643579e-09  1.05938447e-08 
 5.95000000e-01  2.78922446e-01  1.30181241e-01  1.00453353e-08  1.05902260e-08 
 6.00000000e-01  2.78905404e-01  1.30173254e-01  1.01125013e-08  1.05869387e-08 
 6.05000000e-01  2.78884071e-01  1.30163235e-01  1.01688452e-08  1.05830824e-08 
 6.10000000e-01  2.78864083e-01  1.30153863e-01  1.02166756e-08  1.05794988e-08 
 6.15000000e-01  2.78846064e-01  1.30145389e-01  1.02608605e-08  1.05762656e-08 
 6.20000000e-01  2.78825542e-01  1.30135764e-01  1.02941952e-08  1.05727372e-08 
 6.25000000e-01  2.78800461e-01  1.30123977e-01  1.03213574e-08  1.05685712e-08 
 6.30000000e-01  2.78779291e-01  1.30114032e-01  1.03443453e-08  1.05650515e-08 
 6.35000000e-01  2.78755215e-01  1.30102721e-01  1.03628080e-08  1.05611286e-08 
 6.40000000e-01  2.78730430e-01  1.30091091e-01  1.03759826e-08  1.05571475e-08 
 6.45000000e-01  2.78706192e-01  1.30079703e-01  1.03881746e-08  1.05532684e-08 
 6.50000000e-01  2.78683108e-01  1.30068855e-01  1.03991877e-08  1.05495825e-08 
 6.55000000e-01  2.78657302e-01  1.30056729e-01  1.04052226e-08  1.05455311e-08 
 6.60000000e-01  2.78633058e-01  1.30045359e-01  1.04108962e-08  1.05417165e-08 
 6.65000000e-01  2.78610464e-01  1.30034736e-01  1.04152946e-08  1.05381840e-08 
 6.70000000e-01  2.78586717e-01  1.30023587e-01  1.04182579e-08  1.05344829e-08 
 6.75000000e-01  2.78559502e-01  1.30010791e-01  1.04201329e-08  1.05302663e-08 
 6.80000000e-01  2.78532866e-01  1.29998293e-01  1.04202272e-08  1.05261530e-08 
 6.85000000e-01  2.78508477e-01  1.29986846e-01  1.04207652e-08  1.05223828e-08 
 6.90000000e-01  2.78480956e-01  1.29973913e-01  1.04195225e-08  1.05181601e-08 
 6.95000000e-01  2.78456755e-01  1.29962545e-01  1.04186168e-08  1.05144420e-08 
 7.00000000e-01  2.78430162e-01  1.29950053e-01  1.04171247e-08  1.05103637e-08 
 7.05000000e-01  2.78403846e-01  1.29937700e-01  1.04149237e-08  1.05063355e-08 
 7.10000000e-01  2.78378035e-01  1.29925572e-01  1.04126999e-08  1.05023911e-08 
 7.15000000e-01  2.78349010e-01  1.29911932e-01  1.04097455e-08  1.04979639e-08 
 7.20000000e-01  2.78324850e-01  1.29900588e-01  1.04073224e-08  1.04942741e-08 
 7.25000000e-01  2.78300963e-01  1.29889363e-01  1.04048464e-08  1.04906315e-08 
 7.30000000e-01  2.78273086e-01  1.29876277e-01  1.04014663e-08  1.04863836e-08 
 7.35000000e-01  2.78246622e-01  1.29863844e-01  1.03982525e-08  1.04823565e-08 
 7.40000000e-01  2.78223247e-01  1.29852861e-01  1.03954466e-08  1.04787999e-08 
 7.45000000e-01  2.78200724e-01  1.29842299e-01  1.03926226e-08  1.04753692e-08 
 7.50000000e-01  2.78175577e-01  1.29830473e-01  1.03892711e-08  1.04715525e-08 
 7.55000000e-01  2.78150290e-01  1.29818600e-01  1.03859124e-08  1.04677106e-08 
 7.60000000e-01  2.78117702e-01  1.29803288e-01  1.03813293e-08  1.04627687e-08 
 7.65000000e-01  2.78093425e-01  1.29791896e-01  1.03779915e-08  1.04590810e-08 
 7.70000000e-01  2.78074249e-01  1.29782895e-01  1.03753889e-08  1.04561694e-08 
 7.75000000e-01  2.78049111e-01  1.29771074e-01  1.03718662e-08  1.04523643e-08 
 7.80000000e-01  2.78022150e-01  1.29758409e-01  1.03680668e-08  1.04482796e-08 
 7.85000000e-01  2.77997483e-01  1.29746845e-01  1.03646035e-08  1.04445346e-08 
 7.90000000e-01  2.77971451e-01  1.29734612e-01  1.03609294e-08  1.04405946e-08 
 7.95000000e-01  2.77951058e-01  1.29725056e-01  1.03581060e-08  1.04374987e-08 
 8.00000000e-01  2.77924575e-01  1.29712615e-01  1.03543606e-08  1.04334920e-08 
 8.05000000e-01  2.77899072e-01  1.29700632e-01  1.03507622e-08  1.04296349e-08 
 8.10000000e-01  2.77874905e-01  1.29689289e-01  1.03473676e-08  1.04259769e-08 
 8.15000000e-01  2.77848619e-01  1.29676944e-01  1.03436537e-08  1.04220026e-08 
 8.20000000e-01  2.77824046e-01  1.29665411e-01  1.03401991e-08  1.04182858e-08 
 8.25000000e-01  2.77801008e-01  1.29654585e-01  1.03369697e-08  1.04148072e-08 
 8.30000000e-01  2.77778185e-01  1.29643880e-01  1.03337790e-08  1.04113535e-08 
 8.35000000e-01  2.77756474e-01  1.29633684e-01  1.03307502e-08  1.04080738e-08 
 8.40000000e-01  2.77728200e-01  1.29620396e-01  1.03267372e-08  1.04038097e-08 
 8.45000000e-01  2.77702858e-01  1.29608508e-01  1.03231697e-08  1.03999798e-08 
 8.50000000e-01  2.77682238e-01  1.29598826e-01  1.03203039e-08  1.03968683e-08 
 8.55000000e-01  2.77656504e-01  1.29586744e-01  1.03166747e-08  1.03929846e-08 
 8.60000000e-01  2.77633564e-01  1.29575981e-01  1.03134646e-08  1.03895216e-08 
 8.65000000e-01  2.77609971e-01  1.29564893e-01  1.03101506e-08  1.03859679e-08 
 8.70000000e-01  2.77583435e-01  1.29552440e-01  1.03064030e-08  1.03819660e-08 
 8.75000000e-01  2.77558831e-01  1.29540892e-01  1.03029427e-08  1.03782581e-08 
 8.80000000e-01  2.77537619e-01  1.29530928e-01  1.02999854e-08  1.03750617e-08 
 8.85000000e-01  2.77517039e-01  1.29521276e-01  1.02971261e-08  1.03719579e-08 
 8.90000000e-01  2.77495559e-01  1.29511197e-01  1.02941301e-08  1.03687208e-08 
 8.95000000e-01  2.77469470e-01  1.29498942e-01  1.02904440e-08  1.03647976e-08 
 9.00000000e-01  2.77446631e-01  1.29488223e-01  1.02872446e-08  1.03613589e-08 
 9.05000000e-01  2.77426720e-01  1.29478888e-01  1.02844832e-08  1.03583566e-08 
 9.10000000e-01  2.77404025e-01  1.29468234e-01  1.02813032e-08  1.03549425e-08 
 9.15000000e-01  2.77381719e-01  1.29457754e-01  1.02781782e-08  1.03515902e-08 
 9.20000000e-01  2.77358635e-01  1.29446941e-01  1.02749465e-08  1.03481117e-08 
 9.25000000e-01  2.77338793e-01  1.29437624e-01  1.02721887e-08  1.03451302e-08 
 9.30000000e-01  2.77319469e-01  1.29428557e-01  1.02695084e-08  1.03422229e-08 
 9.35000000e-01  2.77289939e-01  1.29414684e-01  1.02653072e-08  1.03377931e-08 
 9.40000000e-01  2.77268691e-01  1.29404721e-01  1.02623426e-08  1.03345972e-08 
 9.45000000e-01  2.77247714e-01  1.29394876e-01  1.02594152e-08  1.03314455e-08 
 9.50000000e-01  2.77230666e-01  1.29386877e-01  1.02570703e-08  1.03288834e-08 
 9.55000000e-01  2.77203367e-01  1.29374069e-01  1.02532043e-08  1.03247843e-08 
 9.60000000e-01  2.77184391e-01  1.29365163e-01  1.02505716e-08  1.03219360e-08 
 9.65000000e-01  2.77156564e-01  1.29352101e-01  1.02466251e-08  1.03177654e-08 
 9.70000000e-01  2.77137266e-01  1.29343060e-01  1.02439484e-08  1.03148626e-08 
 9.75000000e-01  2.77118235e-01  1.29334121e-01  1.02413035e-08  1.03120103e-08 
 9.80000000e-01  2.77093037e-01  1.29322311e-01  1.02377508e-08  1.03082282e-08 
 9.85000000e-01  2.77072900e-01  1.29312870e-01  1.02349460e-08  1.03052067e-08 
 9.90000000e-01  2.77055357e-01  1.29304627e-01  1.02325185e-08  1.03025771e-08 
 9.95000000e-01  2.77033914e-01  1.29294569e-01  1.02295179e-08  1.02993634e-08 
 1.00000000e+00  2.77016408e-01  1.29286363e-01  1.02271008e-08  1.02967359e-08 
 1.00500000e+00  2.76994097e-01  1.29275893e-01  1.02239687e-08  1.02933939e-08 
 1.01000000e+00  2.76974406e-01  1.29266667e-01  1.02212286e-08  1.02904385e-08 
 1.01500000e+00  2.76952453e-01  1.29256366e-01  1.02181494e-08  1.02871511e-08 
 1.02000000e+00  2.76929545e-01  1.29245624e-01  1.02149308e-08  1.02837214e-08 
 1.02500000e+00  2.76906464e-01  1.29234803e-01  1.02116870e-08  1.02802650e-08 
 1.03000000e+00  2.76888845e-01  1.29226542e-01  1.02092491e-08  1.02776251e-08 
 1.03500000e+00  2.76876420e-01  1.29220736e-01  1.02075820e-08  1.02757529e-08 
 1.04000000e+00  2.76848963e-01  1.29207851e-01  1.02036876e-08  1.02716487e-08 
 1.04500000e+00  2.76827212e-01  1.29197631e-01  1.02006318e-08  1.02684022e-08 
 1.05000000e+00  2.76808070e-01  1.29188673e-01  1.01979717e-08  1.02655307e-08 
 1.05500000e+00  2.76800197e-01  1.29185000e-01  1.01969724e-08  1.02643379e-08 
 1.06000000e+00  2.76776802e-01  1.29174013e-01  1.01936739e-08  1.02608463e-08 
 1.06500000e+00  2.76752323e-01  1.29162540e-01  1.01902225e-08  1.02571866e-08 
 1.07000000e+00  2.76737080e-01  1.29155404e-01  1.01881327e-08  1.02548991e-08 
 1.07500000e+00  2.76714071e-01  1.29144610e-01  1.01848941e-08  1.02514608e-08 
 1.08000000e+00  2.76700690e-01  1.29138357e-01  1.01830802e-08  1.02494515e-08 
 1.08500000e+00  2.76679187e-01  1.29128287e-01  1.01800679e-08  1.02462337e-08 
 1.09000000e+00  2.76660673e-01  1.29119609e-01  1.01774924e-08  1.02434650e-08 
 1.09500000e+00  2.76634040e-01  1.29107105e-01  1.01737162e-08  1.02394960e-08 
 1.10000000e+00  2.76619133e-01  1.29100126e-01  1.01716729e-08  1.02372617e-08 
 1.10500000e+00  2.76600883e-01  1.29091589e-01  1.01691400e-08  1.02345263e-08 
 1.11000000e+00  2.76581275e-01  1.29082400e-01  1.01664027e-08  1.02315966e-08 
