 v-sweep         v(Vbiasc)       v(Vbias)        v(Ix)           v(Iout)        
 1.45500000e+00  2.75498140e-01  1.28577260e-01  1.00172720e-08  1.00688272e-08 
 1.46000000e+00  2.75482362e-01  1.28569930e-01  1.00151085e-08  1.00664395e-08 
 1.46500000e+00  2.75469808e-01  1.28564123e-01  1.00134153e-08  1.00645193e-08 
 1.47000000e+00  2.75450282e-01  1.28555051e-01  1.00107141e-08  1.00615780e-08 
 1.47500000e+00  2.75450243e-01  1.28555141e-01  1.00108413e-08  1.00614765e-08 
 1.48000000e+00  2.75436034e-01  1.28548564e-01  1.00089111e-08  1.00593110e-08 
 1.48500000e+00  2.75410195e-01  1.28536523e-01  1.00052947e-08  1.00554473e-08 
 1.49000000e+00  2.75409259e-01  1.28536184e-01  1.00052891e-08  1.00552160e-08 
 1.49500000e+00  2.75390027e-01  1.28527262e-01  1.00026358e-08  1.00523098e-08 
 1.50000000e+00  2.75381425e-01  1.28523339e-01  1.00015248e-08  1.00509504e-08 
