 v-sweep         v(Ileak_lv_w_dummy) v(Ileak_hv_w_dummy) v(Ileak_lv_wo_dummy) v(Ileak_hv_wo_dummy)
 6.20000000e-01 -2.31875301e-12 -9.44397887e-16  3.42371804e-13 -4.88132339e-16 
 6.30000000e-01 -2.31873301e-12 -9.24397887e-16  3.42391807e-13 -4.68132339e-16 
 6.40000000e-01 -2.31871301e-12 -9.04397887e-16  3.42411807e-13 -4.48132339e-16 
 6.50000000e-01 -2.31869301e-12 -8.84397887e-16  3.42431804e-13 -4.28132339e-16 
 6.60000000e-01 -2.31867302e-12 -8.64397887e-16  3.42451800e-13 -4.08132339e-16 
 6.70000000e-01 -2.31865302e-12 -8.44397887e-16  3.42471794e-13 -3.88132339e-16 
 6.80000000e-01 -2.31863303e-12 -8.24397887e-16  3.42491788e-13 -3.68132339e-16 
 6.90000000e-01 -2.31861304e-12 -8.04397887e-16  3.42511782e-13 -3.48132339e-16 
 7.00000000e-01 -2.31859304e-12 -7.84397887e-16  3.42531777e-13 -3.28132339e-16 
 7.10000000e-01 -2.31857305e-12 -7.64397887e-16  3.42551772e-13 -3.08132339e-16 
 7.20000000e-01 -2.31855305e-12 -7.44397887e-16  3.42571768e-13 -2.88132339e-16 
 7.30000000e-01 -2.31853305e-12 -7.24397887e-16  3.42591765e-13 -2.68132339e-16 
 7.40000000e-01 -2.31851305e-12 -7.04397887e-16  3.42611764e-13 -2.48132339e-16 
 7.50000000e-01 -2.31849305e-12 -6.84397887e-16  3.42631764e-13 -2.28132339e-16 
 7.60000000e-01 -2.31847305e-12 -6.64397887e-16  3.42651765e-13 -2.08132339e-16 
 7.70000000e-01 -2.31845305e-12 -6.44397887e-16  3.42671769e-13 -1.88132339e-16 
 7.80000000e-01 -2.31843304e-12 -6.24397887e-16  3.42691773e-13 -1.68132339e-16 
 7.90000000e-01 -2.31841304e-12 -6.04397887e-16  3.42711780e-13 -1.48132339e-16 
 8.00000000e-01 -2.31839303e-12 -5.84397887e-16  3.42731788e-13 -1.28132339e-16 
 8.10000000e-01 -2.31837302e-12 -5.64397887e-16  3.42751798e-13 -1.08132339e-16 
 8.20000000e-01 -2.31835301e-12 -5.44397887e-16  3.42771809e-13 -8.81323393e-17 
 8.30000000e-01 -2.31833299e-12 -5.24397887e-16  3.42791823e-13 -6.81323393e-17 
 8.40000000e-01 -2.31831298e-12 -5.04397887e-16  3.42811840e-13 -4.81323393e-17 
 8.50000000e-01 -2.31829296e-12 -4.84397887e-16  3.42831861e-13 -2.81323393e-17 
 8.60000000e-01 -2.31827293e-12 -4.64397887e-16  3.42851886e-13 -8.13233935e-18 
 8.70000000e-01 -2.31825290e-12 -4.44397887e-16  3.42871917e-13  1.18676607e-17 
 8.80000000e-01 -2.31823286e-12 -4.24397887e-16  3.42891957e-13  3.18676607e-17 
