 time            v(vin)          v(vout_buf)     v(vout_st)     
 3.76400000e-04  1.24212000e+00  1.28724326e-08  1.11316942e-09 
 3.81400000e-04  1.25862000e+00  1.80363861e-08  1.11393993e-09 
 3.86400000e-04  1.27512000e+00  2.61756843e-08  1.11315541e-09 
 3.91400000e-04  1.29162000e+00  3.70790729e-08  1.11395393e-09 
 3.96400000e-04  1.30812000e+00  5.39143825e-08  1.11314132e-09 
 4.01400000e-04  1.32462000e+00  7.83060409e-08  1.11396828e-09 
 4.06400000e-04  1.34112000e+00  1.16650420e-07  1.11312677e-09 
 4.11400000e-04  1.35762000e+00  1.76414555e-07  1.11398300e-09 
 4.16400000e-04  1.37412000e+00  2.75057840e-07  1.11311213e-09 
 4.21400000e-04  1.39062000e+00  4.41945310e-07  1.11399769e-09 
 4.26400000e-04  1.40712000e+00  7.40362451e-07  1.11309721e-09 
 4.31400000e-04  1.42362000e+00  1.30178035e-06  1.11401295e-09 
 4.36400000e-04  1.44012000e+00  2.43478726e-06  1.11308182e-09 
 4.41400000e-04  1.45662000e+00  6.22515556e-06  1.11402846e-09 
 4.46400000e-04  1.47312000e+00  1.47909781e-05  1.11306520e-09 
 4.51400000e-04  1.48962000e+00  4.07494251e-05  1.11404609e-09 
 4.56400000e-04  1.50612000e+00  1.34523288e-04  1.11304736e-09 
 4.61400000e-04  1.52262000e+00  5.27911933e-04  1.11406408e-09 
 4.66400000e-04  1.53912000e+00  2.15235888e-03  1.11302943e-09 
 4.71400000e-04  1.55562000e+00  8.41404233e-03  1.11408252e-09 
 4.76400000e-04  1.57212000e+00  3.33487533e-02  1.11301092e-09 
 4.81400000e-04  1.58862000e+00  1.56125262e-01  1.11410132e-09 
 4.86400000e-04  1.60512000e+00  2.96257520e+00  1.11299198e-09 
 4.90333752e-04  1.61810138e+00  3.20886094e+00  1.11412322e-09 
 4.94034864e-04  1.63031505e+00  3.27072649e+00  1.11296664e-09 
 4.99034864e-04  1.64681505e+00  3.29433960e+00  1.11414622e-09 
 5.04034864e-04  1.66331505e+00  3.29914920e+00  1.11294683e-09 
 5.09034864e-04  1.67981505e+00  3.29990313e+00  1.11416627e-09 
 5.14034864e-04  1.69631505e+00  3.29996059e+00  1.11292649e-09 
 5.19034864e-04  1.71281505e+00  3.30000699e+00  1.11418704e-09 
 5.24034864e-04  1.72931505e+00  3.29998306e+00  1.11290586e-09 
 5.29034864e-04  1.74581505e+00  3.30001293e+00  1.11420828e-09 
 5.34034864e-04  1.76231505e+00  3.29998539e+00  1.11288433e-09 
 5.39034864e-04  1.77881505e+00  3.30001362e+00  1.11423011e-09 
 5.44034864e-04  1.79531505e+00  3.29998593e+00  1.11286230e-09 
 5.49034864e-04  1.81181505e+00  3.30001369e+00  1.11425256e-09 
 5.54034864e-04  1.82831505e+00  3.29998616e+00  1.11283973e-09 
 5.59034864e-04  1.84481505e+00  3.30001364e+00  1.11427599e-09 
 5.64034864e-04  1.86131505e+00  3.29998629e+00  1.11281605e-09 
 5.69034864e-04  1.87781505e+00  3.30001358e+00  1.11430011e-09 
 5.74034864e-04  1.89431505e+00  3.29998639e+00  1.11279181e-09 
 5.79034864e-04  1.91081505e+00  3.30001352e+00  1.11432504e-09 
 5.84034864e-04  1.92731505e+00  3.29998646e+00  1.11276682e-09 
 5.89034864e-04  1.94381505e+00  3.30001346e+00  1.11435119e-09 
 5.94034864e-04  1.96031505e+00  3.29998653e+00  1.11274050e-09 
 5.99034864e-04  1.97681505e+00  3.30001341e+00  1.11437811e-09 
 6.04034864e-04  1.99331505e+00  3.29998658e+00  1.11271340e-09 
 6.09034864e-04  2.00981505e+00  3.30001336e+00  1.11440628e-09 
 6.14034864e-04  2.02631505e+00  3.29998663e+00  1.11268495e-09 
 6.19034864e-04  2.04281505e+00  3.30001332e+00  1.11443574e-09 
 6.24034864e-04  2.05931505e+00  3.29998667e+00  1.11265517e-09 
 6.29034864e-04  2.07581505e+00  3.30001328e+00  1.11446704e-09 
 6.34034864e-04  2.09231505e+00  3.29998671e+00  1.11262400e-09 
 6.39034864e-04  2.10881505e+00  3.30001325e+00  1.11449949e-09 
 6.44034864e-04  2.12531505e+00  3.29998675e+00  1.11259079e-09 
 6.49034864e-04  2.14181505e+00  3.30001322e+00  1.11453407e-09 
 6.54034864e-04  2.15831505e+00  3.29998678e+00  1.11255575e-09 
 6.59034864e-04  2.17481505e+00  3.30001319e+00  1.11457008e-09 
 6.64034864e-04  2.19131505e+00  3.29998681e+00  1.11251716e-09 
 6.69034864e-04  2.20781505e+00  3.30001317e+00  1.11460625e-09 
 6.74034864e-04  2.22431505e+00  3.29998683e+00  1.11247158e-09 
 6.79034864e-04  2.24081505e+00  3.30001315e+00  1.11463500e-09 
 6.84034864e-04  2.25731505e+00  3.29998685e+00  1.11240145e-09 
 6.89034864e-04  2.27381505e+00  3.30001313e+00  1.11462240e-09 
 6.94034864e-04  2.29031505e+00  3.29998687e+00  1.11223451e-09 
 6.99034864e-04  2.30681505e+00  3.30001311e+00  1.11441816e-09 
 7.04034864e-04  2.32331505e+00  3.29998689e+00  1.11165342e-09 
 7.09034864e-04  2.33981505e+00  3.30001309e+00  1.11335767e-09 
 7.14034864e-04  2.35631505e+00  3.29998691e+00  1.10925479e-09 
 7.19034864e-04  2.37281505e+00  3.30001308e+00  1.10847708e-09 
 7.24034864e-04  2.38931505e+00  3.29998692e+00  1.09875284e-09 
 7.29034864e-04  2.40581505e+00  3.30001306e+00  1.08640714e-09 
 7.34034864e-04  2.42231505e+00  3.29998693e+00  1.05156851e-09 
 7.39034864e-04  2.43881505e+00  3.30001305e+00  9.85656919e-10 
 7.44034864e-04  2.45531505e+00  3.29998695e+00  8.33881384e-10 
 7.49034864e-04  2.47181505e+00  3.30001304e+00  5.08658719e-10 
 7.54034864e-04  2.48831505e+00  3.29998696e+00 -2.47968967e-10 
 7.59034864e-04  2.50481505e+00  3.30001304e+00 -2.16318467e-09 
 7.64034864e-04  2.52131505e+00  3.29998696e+00 -9.06653042e-09 
