 frequency       v(PSRR_dB)     
 3.75195331e-01  1.16154835e+02 
 3.83847234e-01  1.16160309e+02 
 3.92698648e-01  1.16183906e+02 
 4.01754173e-01  1.16189923e+02 
 4.11018515e-01  1.16180353e+02 
 4.20496491e-01  1.16186943e+02 
 4.30193027e-01  1.16160125e+02 
 4.40113162e-01  1.16151508e+02 
 4.50262052e-01  1.16192753e+02 
 4.60644974e-01  1.16184792e+02 
 4.71267322e-01  1.16177207e+02 
 4.82134619e-01  1.16152179e+02 
 4.93252513e-01  1.16179072e+02 
 5.04626783e-01  1.16154863e+02 
 5.16263340e-01  1.16182629e+02 
 5.28168234e-01  1.16177163e+02 
 5.40347650e-01  1.16172186e+02 
 5.52807921e-01  1.16183566e+02 
 5.65555523e-01  1.16179623e+02 
 5.78597080e-01  1.16192102e+02 
 5.91939372e-01  1.16189293e+02 
 6.05589334e-01  1.16187095e+02 
 6.19554061e-01  1.16185535e+02 
 6.33840810e-01  1.16184643e+02 
 6.48457008e-01  1.16184450e+02 
 6.63410251e-01  1.16184987e+02 
 6.78708313e-01  1.16186290e+02 
 6.94359143e-01  1.16188394e+02 
 7.10370877e-01  1.16175475e+02 
 7.26751838e-01  1.16195161e+02 
 7.43510539e-01  1.16166164e+02 
 7.60655691e-01  1.16189727e+02 
 7.78196206e-01  1.16162710e+02 
 7.96141200e-01  1.16188323e+02 
 8.14500001e-01  1.16181318e+02 
 8.33282151e-01  1.16175470e+02 
 8.52497412e-01  1.16202568e+02 
 8.72155772e-01  1.16165443e+02 
 8.92267449e-01  1.16197119e+02 
 9.12842895e-01  1.16180571e+02 
 9.33892805e-01  1.16147677e+02 
 9.55428121e-01  1.16149959e+02 
 9.77460036e-01  1.16153821e+02 
 1.00000000e+00  1.16193055e+02 
 1.02305973e+00  1.16184464e+02 
 1.04665121e+00  1.16177699e+02 
 1.07078670e+00  1.16204584e+02 
 1.09547876e+00  1.16167963e+02 
 1.12074020e+00  1.16185045e+02 
 1.14658417e+00  1.16152759e+02 
 1.17302409e+00  1.16156433e+02 
 1.20007371e+00  1.16162493e+02 
 1.22774708e+00  1.16188929e+02 
 1.25605860e+00  1.16166405e+02 
 1.28502297e+00  1.16198222e+02 
 1.31465525e+00  1.16149628e+02 
 1.34497085e+00  1.16169390e+02 
 1.37598551e+00  1.16160649e+02 
 1.40771537e+00  1.16204774e+02 
 1.44017690e+00  1.16168997e+02 
 1.47338699e+00  1.16170575e+02 
 1.50736290e+00  1.16160090e+02 
 1.54212228e+00  1.16169373e+02 
 1.57768320e+00  1.16166953e+02 
 1.61406415e+00  1.16168852e+02 
 1.65128404e+00  1.16159444e+02 
 1.68936220e+00  1.16204339e+02 
 1.72831844e+00  1.16170859e+02 
 1.76817299e+00  1.16160483e+02 
 1.80894658e+00  1.16171356e+02 
 1.85066040e+00  1.16172079e+02 
 1.89333613e+00  1.16178747e+02 
 1.93699595e+00  1.16191654e+02 
 1.98166255e+00  1.16179361e+02 
 2.02735916e+00  1.16173900e+02 
 2.07410951e+00  1.16175576e+02 
 2.12193792e+00  1.16184724e+02 
 2.17086923e+00  1.16185844e+02 
 2.22092889e+00  1.16179298e+02 
 2.27214291e+00  1.16197186e+02 
 2.32453791e+00  1.16192318e+02 
 2.37814113e+00  1.16196851e+02 
 2.43298042e+00  1.16195348e+02 
 2.48908429e+00  1.16204147e+02 
 2.54648190e+00  1.16191968e+02 
 2.60520309e+00  1.16206954e+02 
 2.66527837e+00  1.16168262e+02 
 2.72673897e+00  1.16209390e+02 
 2.78961683e+00  1.16180085e+02 
 2.85394464e+00  1.16200082e+02 
 2.91975583e+00  1.16182615e+02 
 2.98708461e+00  1.16181988e+02 
 3.05596598e+00  1.16181009e+02 
 3.12643573e+00  1.16180402e+02 
 3.19853049e+00  1.16196778e+02 
 3.27228774e+00  1.16182355e+02 
 3.34774581e+00  1.16187545e+02 
 3.42494392e+00  1.16180505e+02 
 3.50392221e+00  1.16193837e+02 
 3.58472171e+00  1.16179939e+02 
 3.66738442e+00  1.16189364e+02 
 3.75195331e+00  1.16207331e+02 
 3.83847234e+00  1.16201162e+02 
