 time            v(VDD)          v(Vbias)        v(Vbiasc)       v(bias_en)      v(Vsu)          v(Vres)        
 1.43750000e-06  6.56250000e-03 -4.70270020e-02 -7.56679591e-02  6.56250000e-03  2.58675203e-04 -2.18709300e-02 
 1.56250000e-06  8.43750000e-03 -4.69286356e-02 -7.44860175e-02  8.43750000e-03  3.65124962e-04 -2.18675764e-02 
 1.68750000e-06  1.03125000e-02 -4.68299608e-02 -7.33064375e-02  1.03125000e-02  4.74391121e-04 -2.18636010e-02 
 1.81250000e-06  1.21875000e-02 -4.67314061e-02 -7.21251834e-02  1.21875000e-02  5.85644771e-04 -2.18599314e-02 
 1.93750000e-06  1.40625000e-02 -4.66325263e-02 -7.09459733e-02  1.40625000e-02  6.98234644e-04 -2.18556718e-02 
 2.06250000e-06  1.59375000e-02 -4.65336503e-02 -6.97651861e-02  1.59375000e-02  8.11568530e-04 -2.18517151e-02 
 2.18750000e-06  1.78125000e-02 -4.64345972e-02 -6.85863040e-02  1.78125000e-02  9.25382301e-04 -2.18471979e-02 
 2.31250000e-06  1.96875000e-02 -4.63355352e-02 -6.74062187e-02  1.96875000e-02  1.03951768e-03 -2.18429795e-02 
 2.43750000e-06  2.15625000e-02 -4.62362999e-02 -6.62277525e-02  2.15625000e-02  1.15388442e-03 -2.18382270e-02 
 2.56250000e-06  2.34375000e-02 -4.61370344e-02 -6.50483600e-02  2.34375000e-02  1.26844030e-03 -2.18337674e-02 
 2.68750000e-06  2.53125000e-02 -4.60376047e-02 -6.38703713e-02  2.53125000e-02  1.38317383e-03 -2.18287976e-02 
 2.81250000e-06  2.71875000e-02 -4.59381249e-02 -6.26916787e-02  2.71875000e-02  1.49809584e-03 -2.18241138e-02 
 2.93750000e-06  2.90625000e-02 -4.58384891e-02 -6.15142208e-02  2.90625000e-02  1.61323048e-03 -2.18189415e-02 
 3.06250000e-06  3.09375000e-02 -4.57387861e-02 -6.03362436e-02  3.09375000e-02  1.72861257e-03 -2.18140472e-02 
 3.18750000e-06  3.28125000e-02 -4.56389335e-02 -5.91593669e-02  3.28125000e-02  1.84428229e-03 -2.18086842e-02 
 3.31250000e-06  3.46875000e-02 -4.55389993e-02 -5.79821266e-02  3.46875000e-02  1.96028528e-03 -2.18035905e-02 
 3.43750000e-06  3.65625000e-02 -4.54389197e-02 -5.68058809e-02  3.65625000e-02  2.07666905e-03 -2.17980461e-02 
 3.56250000e-06  3.84375000e-02 -4.53387462e-02 -5.56294044e-02  3.84375000e-02  2.19348445e-03 -2.17927617e-02 
 3.68750000e-06  4.03125000e-02 -4.52384298e-02 -5.44538397e-02  4.03125000e-02  2.31078281e-03 -2.17870433e-02 
 3.81250000e-06  4.21875000e-02 -4.51380087e-02 -5.32781591e-02  4.21875000e-02  2.42861812e-03 -2.17815750e-02 
 3.93750000e-06  4.40625000e-02 -4.50374456e-02 -5.21033268e-02  4.40625000e-02  2.54704458e-03 -2.17756879e-02 
 4.06250000e-06  4.59375000e-02 -4.49367685e-02 -5.09284790e-02  4.59375000e-02  2.66611902e-03 -2.17700407e-02 
 4.18750000e-06  4.78125000e-02 -4.48359487e-02 -4.97544326e-02  4.78125000e-02  2.78589875e-03 -2.17639887e-02 
 4.31250000e-06  4.96875000e-02 -4.47350066e-02 -4.85804597e-02  4.96875000e-02  2.90644405e-03 -2.17581663e-02 
 4.43750000e-06  5.15625000e-02 -4.46339203e-02 -4.74072549e-02  5.15625000e-02  3.02781622e-03 -2.17519519e-02 
