 time            v(clk)          v(vout)         v(vinp)         v(vinn)        
 4.96013604e-09  1.50000000e+00  1.36166286e-07  7.25014801e-01  7.50000000e-01 
 5.31762268e-09  1.50000000e+00  1.36166364e-07  7.25016588e-01  7.50000000e-01 
 5.71547862e-09  1.50000000e+00  1.36166408e-07  7.25018577e-01  7.50000000e-01 
 6.15740079e-09  1.50000000e+00  1.36166415e-07  7.25020787e-01  7.50000000e-01 
 6.65023410e-09  1.50000000e+00  1.36166389e-07  7.25023251e-01  7.50000000e-01 
 7.19929609e-09  1.50000000e+00  1.36166331e-07  7.25025996e-01  7.50000000e-01 
 7.81304268e-09  1.50000000e+00  1.36166249e-07  7.25029065e-01  7.50000000e-01 
 8.49916847e-09  1.50000000e+00  1.36166146e-07  7.25032496e-01  7.50000000e-01 
 9.26884164e-09  1.50000000e+00  1.36166027e-07  7.25036344e-01  7.50000000e-01 
 1.01334649e-08  1.50000000e+00  1.36165903e-07  7.25040667e-01  7.50000000e-01 
 1.11085709e-08  1.50000000e+00  1.36165786e-07  7.25045543e-01  7.50000000e-01 
 1.22111181e-08  1.50000000e+00  1.36165685e-07  7.25051056e-01  7.50000000e-01 
 1.34631480e-08  1.50000000e+00  1.36165564e-07  7.25057316e-01  7.50000000e-01 
 1.48895639e-08  1.50000000e+00  1.36164930e-07  7.25064448e-01  7.50000000e-01 
 1.65217166e-08  1.50000000e+00  1.36156473e-07  7.25072609e-01  7.50000000e-01 
 1.83956954e-08  1.50000000e+00  1.35971164e-07  7.25081978e-01  7.50000000e-01 
 1.92591645e-08  1.50000000e+00  1.34365126e-07  7.25086296e-01  7.50000000e-01 
 2.01163098e-08  1.50000000e+00  1.32045820e-07  7.25090582e-01  7.50000000e-01 
 2.10664203e-08  1.50000000e+00  1.31348992e-07  7.25095332e-01  7.50000000e-01 
 2.18559786e-08  1.50000000e+00  1.27885170e-07  7.25099280e-01  7.50000000e-01 
 2.26832474e-08  1.50000000e+00  1.20535034e-07  7.25103416e-01  7.50000000e-01 
 2.32441523e-08  1.50000000e+00  1.05248374e-07  7.25106221e-01  7.50000000e-01 
 2.36486209e-08  1.50000000e+00  7.94713440e-08  7.25108243e-01  7.50000000e-01 
 2.39818687e-08  1.50000000e+00  5.03733495e-08  7.25109909e-01  7.50000000e-01 
 2.43156266e-08  1.50000000e+00  1.22341730e-07  7.25111578e-01  7.50000000e-01 
 2.47181628e-08  1.50000000e+00  2.89835033e-06  7.25113591e-01  7.50000000e-01 
 2.51252733e-08  1.50000000e+00  2.72617437e-05  7.25115626e-01  7.50000000e-01 
 2.52971782e-08  1.50000000e+00  6.93613386e-05  7.25116486e-01  7.50000000e-01 
 2.53775069e-08  1.50000000e+00  1.09726737e-04  7.25116888e-01  7.50000000e-01 
 2.54801496e-08  1.50000000e+00  1.91987285e-04  7.25117401e-01  7.50000000e-01 
 2.55398356e-08  1.50000000e+00  2.91105923e-04  7.25117699e-01  7.50000000e-01 
 2.55864880e-08  1.50000000e+00  4.27844618e-04  7.25117932e-01  7.50000000e-01 
 2.56286247e-08  1.50000000e+00  6.22520740e-04  7.25118143e-01  7.50000000e-01 
 2.56756264e-08  1.50000000e+00  9.28446664e-04  7.25118378e-01  7.50000000e-01 
 2.57331032e-08  1.50000000e+00  1.36368003e-03  7.25118666e-01  7.50000000e-01 
 2.57780528e-08  1.50000000e+00  1.73538117e-03  7.25118890e-01  7.50000000e-01 
 2.58233168e-08  1.50000000e+00  2.06226371e-03  7.25119117e-01  7.50000000e-01 
