 time            v(a_1V5)        v(b_3V3)        v(x1t)          v(a_3V3)        v(b_1V5)        v(x2t)         
 3.55599322e-09  1.50000000e+00  1.38847197e+00  2.45184910e-04  3.30000000e+00  1.46839396e+00 -2.87685780e-04 
 3.65599322e-09  1.50000000e+00  1.43878038e+00  2.49148520e-04  3.30000000e+00  1.47375256e+00  2.93472773e-04 
 3.75599322e-09  1.50000000e+00  1.48869786e+00  2.52885985e-04  3.30000000e+00  1.47820733e+00 -2.72509403e-04 
 3.85599322e-09  1.50000000e+00  1.53820371e+00  2.57075551e-04  3.30000000e+00  1.48191443e+00  2.75405131e-04 
 3.95599322e-09  1.50000000e+00  1.58727631e+00  2.61121048e-04  3.30000000e+00  1.48499166e+00 -2.57754643e-04 
 4.05599322e-09  1.50000000e+00  1.63589317e+00  2.65512050e-04  3.30000000e+00  1.48755065e+00  2.58751984e-04 
 4.15599322e-09  1.50000000e+00  1.68403094e+00  2.69777275e-04  3.30000000e+00  1.48967230e+00 -2.43526783e-04 
 4.25599322e-09  1.50000000e+00  1.73166545e+00  2.74303267e-04  3.30000000e+00  1.49143619e+00  2.43320928e-04 
 4.35599322e-09  1.50000000e+00  1.77877183e+00  2.78680339e-04  3.30000000e+00  1.49289707e+00 -2.29890182e-04 
 4.45599322e-09  1.50000000e+00  1.82532451e+00  2.83236705e-04  3.30000000e+00  1.49411178e+00  2.28961573e-04 
 4.55599322e-09  1.50000000e+00  1.87129739e+00  2.87591425e-04  3.30000000e+00  1.49511672e+00 -2.16878637e-04 
 4.65599322e-09  1.50000000e+00  1.91666391e+00  2.92038344e-04  3.30000000e+00  1.49595274e+00  2.15555463e-04 
 4.75599322e-09  1.50000000e+00  1.96139721e+00  2.96208858e-04  3.30000000e+00  1.49664356e+00 -2.04504125e-04 
 4.85599322e-09  1.50000000e+00  2.00547028e+00  3.00376195e-04  3.30000000e+00  1.49721877e+00  2.03007929e-04 
 4.95599322e-09  1.50000000e+00  2.04885610e+00  3.04176931e-04  3.30000000e+00  1.49769336e+00 -1.92763598e-04 
