 frequency       v(Amag_dB)      v(Aarg)        
 1.14658417e-01  1.08666184e+01  6.95068340e+01 
 1.17302409e-01  1.10398768e+01  6.90747804e+01 
 1.20007371e-01  1.12121305e+01  6.86353274e+01 
 1.22774708e-01  1.13833448e+01  6.81884535e+01 
 1.25605860e-01  1.15534847e+01  6.77341439e+01 
 1.28502297e-01  1.17225144e+01  6.72723910e+01 
 1.31465525e-01  1.18903975e+01  6.68031949e+01 
 1.34497085e-01  1.20570972e+01  6.63265634e+01 
 1.37598551e-01  1.22225758e+01  6.58425127e+01 
 1.40771537e-01  1.23867955e+01  6.53510676e+01 
 1.44017690e-01  1.25497179e+01  6.48522621e+01 
 1.47338699e-01  1.27113043e+01  6.43461392e+01 
 1.50736290e-01  1.28715155e+01  6.38327520e+01 
 1.54212228e-01  1.30303124e+01  6.33121634e+01 
 1.57768320e-01  1.31876553e+01  6.27844467e+01 
 1.61406415e-01  1.33435048e+01  6.22496858e+01 
 1.65128404e-01  1.34978212e+01  6.17079753e+01 
 1.68936220e-01  1.36505651e+01  6.11594212e+01 
 1.72831844e-01  1.38016969e+01  6.06041407e+01 
 1.76817299e-01  1.39511776e+01  6.00422623e+01 
 1.80894658e-01  1.40989683e+01  5.94739264e+01 
 1.85066040e-01  1.42450307e+01  5.88992849e+01 
 1.89333613e-01  1.43893268e+01  5.83185015e+01 
 1.93699595e-01  1.45318195e+01  5.77317519e+01 
 1.98166255e-01  1.46724724e+01  5.71392233e+01 
 2.02735916e-01  1.48112497e+01  5.65411147e+01 
 2.07410951e-01  1.49481169e+01  5.59376366e+01 
 2.12193792e-01  1.50830403e+01  5.53290109e+01 
 2.17086923e-01  1.52159875e+01  5.47154707e+01 
 2.22092889e-01  1.53469275e+01  5.40972599e+01 
 2.27214291e-01  1.54758305e+01  5.34746329e+01 
 2.32453791e-01  1.56026683e+01  5.28478542e+01 
 2.37814113e-01  1.57274141e+01  5.22171981e+01 
 2.43298042e-01  1.58500432e+01  5.15829479e+01 
 2.48908429e-01  1.59705324e+01  5.09453958e+01 
 2.54648190e-01  1.60888603e+01  5.03048418e+01 
 2.60520309e-01  1.62050077e+01  4.96615933e+01 
 2.66527837e-01  1.63189574e+01  4.90159647e+01 
 2.72673897e-01  1.64306941e+01  4.83682761e+01 
 2.78961683e-01  1.65402048e+01  4.77188528e+01 
 2.85394464e-01  1.66474787e+01  4.70680247e+01 
 2.91975583e-01  1.67525074e+01  4.64161253e+01 
 2.98708461e-01  1.68552846e+01  4.57634907e+01 
 3.05596598e-01  1.69558064e+01  4.51104591e+01 
 3.12643573e-01  1.70540712e+01  4.44573695e+01 
 3.19853049e-01  1.71500797e+01  4.38045614e+01 
 3.27228774e-01  1.72438352e+01  4.31523732e+01 
 3.34774581e-01  1.73353430e+01  4.25011419e+01 
 3.42494392e-01  1.74246109e+01  4.18512019e+01 
 3.50392221e-01  1.75116490e+01  4.12028845e+01 
 3.58472171e-01  1.75964694e+01  4.05565166e+01 
 3.66738442e-01  1.76790866e+01  3.99124202e+01 
 3.75195331e-01  1.77595173e+01  3.92709116e+01 
 3.83847234e-01  1.78377799e+01  3.86323008e+01 
 3.92698648e-01  1.79138951e+01  3.79968903e+01 
 4.01754173e-01  1.79878855e+01  3.73649751e+01 
 4.11018515e-01  1.80597754e+01  3.67368415e+01 
 4.20496491e-01  1.81295908e+01  3.61127669e+01 
 4.30193027e-01  1.81973594e+01  3.54930192e+01 
 4.40113162e-01  1.82631105e+01  3.48778564e+01 
 4.50262052e-01  1.83268747e+01  3.42675258e+01 
 4.60644974e-01  1.83886840e+01  3.36622644e+01 
 4.71267322e-01  1.84485716e+01  3.30622977e+01 
 4.82134619e-01  1.85065718e+01  3.24678403e+01 
 4.93252513e-01  1.85627199e+01  3.18790950e+01 
 5.04626783e-01  1.86170521e+01  3.12962531e+01 
 5.16263340e-01  1.86696054e+01  3.07194941e+01 
 5.28168234e-01  1.87204175e+01  3.01489858e+01 
 5.40347650e-01  1.87695264e+01  2.95848842e+01 
 5.52807921e-01  1.88169710e+01  2.90273334e+01 
 5.65555523e-01  1.88627902e+01  2.84764661e+01 
 5.78597080e-01  1.89070234e+01  2.79324034e+01 
 5.91939372e-01  1.89497101e+01  2.73952547e+01 
 6.05589334e-01  1.89908899e+01  2.68651188e+01 
 6.19554061e-01  1.90306024e+01  2.63420830e+01 
 6.33840810e-01  1.90688871e+01  2.58262243e+01 
 6.48457008e-01  1.91057833e+01  2.53176090e+01 
 6.63410251e-01  1.91413303e+01  2.48162935e+01 
 6.78708313e-01  1.91755668e+01  2.43223242e+01 
 6.94359143e-01  1.92085314e+01  2.38357381e+01 
 7.10370877e-01  1.92402622e+01  2.33565630e+01 
 7.26751838e-01  1.92707968e+01  2.28848181e+01 
 7.43510539e-01  1.93001723e+01  2.24205140e+01 
 7.60655691e-01  1.93284253e+01  2.19636533e+01 
 7.78196206e-01  1.93555919e+01  2.15142309e+01 
 7.96141200e-01  1.93817073e+01  2.10722345e+01 
 8.14500001e-01  1.94068062e+01  2.06376448e+01 
 8.33282151e-01  1.94309227e+01  2.02104359e+01 
 8.52497412e-01  1.94540900e+01  1.97905758e+01 
 8.72155772e-01  1.94763408e+01  1.93780267e+01 
 8.92267449e-01  1.94977068e+01  1.89727452e+01 
 9.12842895e-01  1.95182192e+01  1.85746830e+01 
 9.33892805e-01  1.95379083e+01  1.81837868e+01 
 9.55428121e-01  1.95568035e+01  1.77999990e+01 
 9.77460036e-01  1.95749336e+01  1.74232580e+01 
 1.00000000e+00  1.95923266e+01  1.70534982e+01 
 1.02305973e+00  1.96090097e+01  1.66906507e+01 
 1.04665121e+00  1.96250093e+01  1.63346432e+01 
 1.07078670e+00  1.96403510e+01  1.59854008e+01 
