 time            v(VDD)          v(Vbias)        v(bias_en)      v(Vsu)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.50000000e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.00000000e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 8.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.60000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.20000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.70000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 8.20000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.02500000e-06  3.75000000e-04  8.96153877e-07  3.75000000e-04  1.17974690e-05 
 1.07500000e-06  1.12500000e-03  2.70527785e-06  1.12500000e-03  3.55026767e-05 
 1.17500000e-06  2.62500000e-03  6.41099174e-06  2.62500000e-03  8.35920297e-05 
 1.37500000e-06  5.62500000e-03  1.40679677e-05  5.62500000e-03  1.82537582e-04 
 1.62500000e-06  9.37500000e-03  2.39249915e-05  9.37500000e-03  3.11352562e-04 
 1.87500000e-06  1.31250000e-02  3.39459075e-05  1.31250000e-02  4.45661457e-04 
 2.12500000e-06  1.68750000e-02  4.40356238e-05  1.68750000e-02  5.85213492e-04 
 2.37500000e-06  2.06250000e-02  5.41289136e-05  2.06250000e-02  7.29772744e-04 
 2.62500000e-06  2.43750000e-02  6.41899361e-05  2.43750000e-02  8.79194056e-04 
 2.87500000e-06  2.81250000e-02  7.42121451e-05  2.81250000e-02  1.03343884e-03 
 3.12500000e-06  3.18750000e-02  8.41816916e-05  3.18750000e-02  1.19244247e-03 
 3.37500000e-06  3.56250000e-02  9.40836566e-05  3.56250000e-02  1.35616280e-03 
 3.62500000e-06  3.93750000e-02  1.03914868e-04  3.93750000e-02  1.52463542e-03 
 3.87500000e-06  4.31250000e-02  1.13674724e-04  4.31250000e-02  1.69794244e-03 
 4.12500000e-06  4.68750000e-02  1.23364365e-04  4.68750000e-02  1.87621523e-03 
 4.37500000e-06  5.06250000e-02  1.32986095e-04  5.06250000e-02  2.05963899e-03 
 4.62500000e-06  5.43750000e-02  1.42543047e-04  5.43750000e-02  2.24845899e-03 
 4.87500000e-06  5.81250000e-02  1.52038978e-04  5.81250000e-02  2.44298892e-03 
 5.12500000e-06  6.18750000e-02  1.61478160e-04  6.18750000e-02  2.64362166e-03 
 5.37500000e-06  6.56250000e-02  1.70865342e-04  6.56250000e-02  2.85084281e-03 
 5.62500000e-06  6.93750000e-02  1.80205774e-04  6.93750000e-02  3.06524776e-03 
 5.87500000e-06  7.31250000e-02  1.89505265e-04  7.31250000e-02  3.28756300e-03 
 6.12500000e-06  7.68750000e-02  1.98770284e-04  7.68750000e-02  3.51867265e-03 
 6.37500000e-06  8.06250000e-02  2.08008110e-04  8.06250000e-02  3.75965157e-03 
 6.62500000e-06  8.43750000e-02  2.17227032e-04  8.43750000e-02  4.01180661e-03 
 6.87500000e-06  8.81250000e-02  2.26436595e-04  8.81250000e-02  4.27672805e-03 
 7.12500000e-06  9.18750000e-02  2.35647919e-04  9.18750000e-02  4.55635378e-03 
 7.37500000e-06  9.56250000e-02  2.44874100e-04  9.56250000e-02  4.85304935e-03 
 7.62500000e-06  9.93750000e-02  2.54130704e-04  9.93750000e-02  5.16970783e-03 
 7.87500000e-06  1.03125000e-01  2.63436383e-04  1.03125000e-01  5.50987408e-03 
 8.12500000e-06  1.06875000e-01  2.72813642e-04  1.06875000e-01  5.87789885e-03 
 8.37500000e-06  1.10625000e-01  2.82289766e-04  1.10625000e-01  6.27912871e-03 
 8.62500000e-06  1.14375000e-01  2.91897959e-04  1.14375000e-01  6.72013739e-03 
 8.87500000e-06  1.18125000e-01  3.01678687e-04  1.18125000e-01  7.20900324e-03 
 9.12500000e-06  1.21875000e-01  3.11681234e-04  1.21875000e-01  7.75563331e-03 
 9.37500000e-06  1.25625000e-01  3.21965431e-04  1.25625000e-01  8.37212707e-03 
 9.62500000e-06  1.29375000e-01  3.32603409e-04  1.29375000e-01  9.07315866e-03 
 9.87500000e-06  1.33125000e-01  3.43681195e-04  1.33125000e-01  9.87633463e-03 
 1.01250000e-05  1.36875000e-01  3.55299723e-04  1.36875000e-01  1.08024530e-02 
 1.03750000e-05  1.40625000e-01  3.67574726e-04  1.40625000e-01  1.18755545e-02 
 1.06250000e-05  1.44375000e-01  3.80634849e-04  1.44375000e-01  1.31226294e-02 
 1.08750000e-05  1.48125000e-01  3.94617389e-04  1.48125000e-01  1.45728548e-02 
 1.11250000e-05  1.51875000e-01  4.09676586e-04  1.51875000e-01  1.62658626e-02 
 1.13750000e-05  1.55625000e-01  4.25942974e-04  1.55625000e-01  1.82301667e-02 
 1.16250000e-05  1.59375000e-01  4.43513546e-04  1.59375000e-01  2.04818620e-02 
 1.18750000e-05  1.63125000e-01  4.62479452e-04  1.63125000e-01  2.30432413e-02 
 1.21250000e-05  1.66875000e-01  4.82913793e-04  1.66875000e-01  2.59320750e-02 
 1.23750000e-05  1.70625000e-01  5.04875452e-04  1.70625000e-01  2.91612814e-02 
 1.26250000e-05  1.74375000e-01  5.28416725e-04  1.74375000e-01  3.27384898e-02 
 1.28750000e-05  1.78125000e-01  5.53591566e-04  1.78125000e-01  3.66645898e-02 
 1.31250000e-05  1.81875000e-01  5.80460847e-04  1.81875000e-01  4.09300622e-02 
 1.33750000e-05  1.85625000e-01  6.09090143e-04  1.85625000e-01  4.55076241e-02 
 1.36250000e-05  1.89375000e-01  6.39533795e-04  1.89375000e-01  5.03396347e-02 
 1.38750000e-05  1.93125000e-01  6.71795413e-04  1.93125000e-01  5.53198809e-02 
 1.41250000e-05  1.96875000e-01  7.05751896e-04  1.96875000e-01  6.02749304e-02 
 1.43750000e-05  2.00625000e-01  7.41038902e-04  2.00625000e-01  6.49635408e-02 
 1.46250000e-05  2.04375000e-01  7.76926947e-04  2.04375000e-01  6.91242891e-02 
 1.48750000e-05  2.08125000e-01  8.12271740e-04  2.08125000e-01  7.25764472e-02 
 1.51250000e-05  2.11875000e-01  8.45722523e-04  2.11875000e-01  7.53077207e-02 
 1.53750000e-05  2.15625000e-01  8.76273333e-04  2.15625000e-01  7.74635529e-02 
 1.56250000e-05  2.19375000e-01  9.03793652e-04  2.19375000e-01  7.92493499e-02 
 1.58750000e-05  2.23125000e-01  9.28984558e-04  2.23125000e-01  8.08373798e-02 
 1.61250000e-05  2.26875000e-01  9.52871243e-04  2.26875000e-01  8.23392685e-02 
 1.63750000e-05  2.30625000e-01  9.76136877e-04  2.30625000e-01  8.38005762e-02 
 1.66250000e-05  2.34375000e-01  9.99161345e-04  2.34375000e-01  8.52354479e-02 
 1.68750000e-05  2.38125000e-01  1.02224927e-03  2.38125000e-01  8.66572473e-02 
 1.71250000e-05  2.41875000e-01  1.04551726e-03  2.41875000e-01  8.80691046e-02 
 1.73750000e-05  2.45625000e-01  1.06901756e-03  2.45625000e-01  8.94715890e-02 
 1.76250000e-05  2.49375000e-01  1.09279229e-03  2.49375000e-01  9.08653304e-02 
 1.78750000e-05  2.53125000e-01  1.11688179e-03  2.53125000e-01  9.22510279e-02 
 1.81250000e-05  2.56875000e-01  1.14132373e-03  2.56875000e-01  9.36292948e-02 
 1.83750000e-05  2.60625000e-01  1.16615335e-03  2.60625000e-01  9.50006519e-02 
 1.86250000e-05  2.64375000e-01  1.19140430e-03  2.64375000e-01  9.63655433e-02 
 1.88750000e-05  2.68125000e-01  1.21710903e-03  2.68125000e-01  9.77243433e-02 
 1.91250000e-05  2.71875000e-01  1.24329918e-03  2.71875000e-01  9.90773648e-02 
 1.93750000e-05  2.75625000e-01  1.27000578e-03  2.75625000e-01  1.00424868e-01 
 1.96250000e-05  2.79375000e-01  1.29725948e-03  2.79375000e-01  1.01767069e-01 
 1.98750000e-05  2.83125000e-01  1.32509066e-03  2.83125000e-01  1.03104144e-01 
 2.01250000e-05  2.86875000e-01  1.35352961e-03  2.86875000e-01  1.04436236e-01 
 2.03750000e-05  2.90625000e-01  1.38260661e-03  2.90625000e-01  1.05763459e-01 
 2.06250000e-05  2.94375000e-01  1.41235199e-03  2.94375000e-01  1.07085906e-01 
 2.08750000e-05  2.98125000e-01  1.44279627e-03  2.98125000e-01  1.08403644e-01 
 2.11250000e-05  3.01875000e-01  1.47397017e-03  3.01875000e-01  1.09716724e-01 
 2.13750000e-05  3.05625000e-01  1.50590472e-03  3.05625000e-01  1.11025183e-01 
