 temp-sweep      v(Vbias)        v(Ix)          
 0.00000000e+00  1.51988293e-01  9.24996635e-09 
 1.00000000e+00  1.51141842e-01  9.28034913e-09 
 2.00000000e+00  1.50302604e-01  9.31335392e-09 
 3.00000000e+00  1.49455586e-01  9.34429077e-09 
 4.00000000e+00  1.48601792e-01  9.37347522e-09 
 5.00000000e+00  1.47750725e-01  9.40387608e-09 
 6.00000000e+00  1.46898953e-01  9.43441882e-09 
 7.00000000e+00  1.46044171e-01  9.46438290e-09 
 8.00000000e+00  1.45188653e-01  9.49447639e-09 
 9.00000000e+00  1.44333919e-01  9.52153558e-09 
 1.00000000e+01  1.43467562e-01  9.55259827e-09 
 1.10000000e+01  1.42606099e-01  9.58190379e-09 
 1.20000000e+01  1.41739562e-01  9.60997848e-09 
 1.30000000e+01  1.40874669e-01  9.63891174e-09 
 1.40000000e+01  1.40004145e-01  9.66643544e-09 
 1.50000000e+01  1.39129147e-01  9.69290741e-09 
 1.60000000e+01  1.38260297e-01  9.72162275e-09 
 1.70000000e+01  1.37380097e-01  9.74714045e-09 
 1.80000000e+01  1.36506743e-01  9.77510457e-09 
 1.90000000e+01  1.35624691e-01  9.80068400e-09 
 2.00000000e+01  1.34744352e-01  9.82709988e-09 
 2.10000000e+01  1.33856248e-01  9.85140730e-09 
 2.20000000e+01  1.32977100e-01  9.87877317e-09 
 2.30000000e+01  1.32088823e-01  9.90358901e-09 
 2.40000000e+01  1.31203524e-01  9.92958808e-09 
 2.50000000e+01  1.30308138e-01  9.95272066e-09 
 2.60000000e+01  1.29419095e-01  9.97804797e-09 
 2.70000000e+01  1.28524474e-01  1.00018748e-08 
 2.80000000e+01  1.27625440e-01  1.00245473e-08 
 2.90000000e+01  1.26739466e-01  1.00478692e-08 
 3.00000000e+01  1.25830887e-01  1.00715297e-08 
 3.10000000e+01  1.24933507e-01  1.00952323e-08 
 3.20000000e+01  1.24027262e-01  1.01163481e-08 
 3.30000000e+01  1.23124212e-01  1.01385719e-08 
 3.40000000e+01  1.22216629e-01  1.01595123e-08 
 3.50000000e+01  1.21313552e-01  1.01819311e-08 
 3.60000000e+01  1.20401959e-01  1.02018162e-08 
 3.70000000e+01  1.19494543e-01  1.02230508e-08 
 3.80000000e+01  1.18580065e-01  1.02421757e-08 
 3.90000000e+01  1.17667199e-01  1.02618400e-08 
 4.00000000e+01  1.16746494e-01  1.02791387e-08 
 4.10000000e+01  1.15828237e-01  1.02972150e-08 
 4.20000000e+01  1.14908341e-01  1.03148078e-08 
 4.30000000e+01  1.13986309e-01  1.03317585e-08 
 4.40000000e+01  1.13064250e-01  1.03487038e-08 
 4.50000000e+01  1.12133493e-01  1.03629920e-08 
 4.60000000e+01  1.11205367e-01  1.03780746e-08 
 4.70000000e+01  1.10278277e-01  1.03898275e-08 
 4.80000000e+01  1.09337870e-01  1.04047597e-08 
 4.90000000e+01  1.08402361e-01  1.04175285e-08 
 5.00000000e+01  1.07467272e-01  1.04303882e-08 
 5.10000000e+01  1.06522377e-01  1.04402269e-08 
 5.20000000e+01  1.05577926e-01  1.04501518e-08 
 5.30000000e+01  1.04626389e-01  1.04578727e-08 
 5.40000000e+01  1.03680419e-01  1.04672129e-08 
 5.50000000e+01  1.02727859e-01  1.04744839e-08 
 5.60000000e+01  1.01772444e-01  1.04808072e-08 
 5.70000000e+01  1.00814604e-01  1.04863043e-08 
 5.80000000e+01  9.98528704e-02  1.04905225e-08 
 5.90000000e+01  9.88920658e-02  1.04949036e-08 
 6.00000000e+01  9.79236340e-02  1.04968628e-08 
 6.10000000e+01  9.69541921e-02  1.04983798e-08 
 6.20000000e+01  9.59728685e-02  1.04961874e-08 
 6.30000000e+01  9.49971948e-02  1.04955227e-08 
 6.40000000e+01  9.40212963e-02  1.04946102e-08 
 6.50000000e+01  9.30463558e-02  1.04937867e-08 
 6.60000000e+01  9.20560068e-02  1.04881653e-08 
 6.70000000e+01  9.10672692e-02  1.04828037e-08 
 6.80000000e+01  9.00785990e-02  1.04772254e-08 
 6.90000000e+01  8.90894559e-02  1.04712494e-08 
 7.00000000e+01  8.80934571e-02  1.04629738e-08 
