 frequency       v(CMRR_dB)      v(CMRR_arg)    
 4.11018515e+02  4.38972510e+01 -8.03364373e+01 
 4.20496491e+02  4.37056600e+01 -8.01242277e+01 
 4.30193027e+02  4.35143601e+01 -7.99073512e+01 
 4.40113162e+02  4.33233639e+01 -7.96857192e+01 
 4.50262052e+02  4.31326849e+01 -7.94592556e+01 
 4.60644974e+02  4.29423366e+01 -7.92278771e+01 
 4.71267322e+02  4.27523336e+01 -7.89915001e+01 
 4.82134619e+02  4.25626905e+01 -7.87500460e+01 
 4.93252513e+02  4.23734231e+01 -7.85034310e+01 
 5.04626783e+02  4.21845474e+01 -7.82515756e+01 
 5.16263340e+02  4.19960801e+01 -7.79943983e+01 
 5.28168234e+02  4.18080385e+01 -7.77318170e+01 
 5.40347650e+02  4.16204404e+01 -7.74637524e+01 
 5.52807921e+02  4.14333048e+01 -7.71901263e+01 
 5.65555523e+02  4.12466512e+01 -7.69108608e+01 
 5.78597080e+02  4.10604991e+01 -7.66258766e+01 
 5.91939372e+02  4.08748697e+01 -7.63351029e+01 
 6.05589334e+02  4.06897839e+01 -7.60384602e+01 
 6.19554061e+02  4.05052647e+01 -7.57358788e+01 
 6.33840810e+02  4.03213342e+01 -7.54272904e+01 
 6.48457008e+02  4.01380171e+01 -7.51126260e+01 
 6.63410251e+02  3.99553369e+01 -7.47918176e+01 
 6.78708313e+02  3.97733197e+01 -7.44648073e+01 
 6.94359143e+02  3.95919912e+01 -7.41315317e+01 
 7.10370877e+02  3.94113785e+01 -7.37919377e+01 
 7.26751838e+02  3.92315089e+01 -7.34459733e+01 
 7.43510539e+02  3.90524109e+01 -7.30935882e+01 
 7.60655691e+02  3.88741141e+01 -7.27347388e+01 
 7.78196206e+02  3.86966486e+01 -7.23693894e+01 
 7.96141200e+02  3.85200445e+01 -7.19975018e+01 
 8.14500001e+02  3.83443346e+01 -7.16190488e+01 
 8.33282151e+02  3.81695502e+01 -7.12340069e+01 
 8.52497412e+02  3.79957249e+01 -7.08423617e+01 
 8.72155772e+02  3.78228925e+01 -7.04441019e+01 
 8.92267449e+02  3.76510876e+01 -7.00392229e+01 
 9.12842895e+02  3.74803455e+01 -6.96277284e+01 
 9.33892805e+02  3.73107021e+01 -6.92096330e+01 
 9.55428121e+02  3.71421938e+01 -6.87849554e+01 
 9.77460036e+02  3.69748578e+01 -6.83537240e+01 
 1.00000000e+03  3.68087316e+01 -6.79159771e+01 
 1.02305973e+03  3.66438533e+01 -6.74717570e+01 
 1.04665121e+03  3.64802615e+01 -6.70211255e+01 
 1.07078670e+03  3.63179952e+01 -6.65641468e+01 
 1.09547876e+03  3.61570934e+01 -6.61008975e+01 
 1.12074020e+03  3.59975960e+01 -6.56314655e+01 
 1.14658417e+03  3.58395418e+01 -6.51559484e+01 
 1.17302409e+03  3.56829715e+01 -6.46744567e+01 
 1.20007371e+03  3.55279240e+01 -6.41871122e+01 
 1.22774708e+03  3.53744394e+01 -6.36940470e+01 
 1.25605860e+03  3.52225571e+01 -6.31954086e+01 
 1.28502297e+03  3.50723165e+01 -6.26913540e+01 
 1.31465525e+03  3.49237560e+01 -6.21820520e+01 
 1.34497085e+03  3.47769144e+01 -6.16676866e+01 
 1.37598551e+03  3.46318298e+01 -6.11484534e+01 
 1.40771537e+03  3.44885386e+01 -6.06245589e+01 
 1.44017690e+03  3.43470778e+01 -6.00962244e+01 
 1.47338699e+03  3.42074829e+01 -5.95636847e+01 
 1.50736290e+03  3.40697881e+01 -5.90271811e+01 
 1.54212228e+03  3.39340271e+01 -5.84869753e+01 
 1.57768320e+03  3.38002322e+01 -5.79433358e+01 
 1.61406415e+03  3.36684338e+01 -5.73965433e+01 
 1.65128404e+03  3.35386613e+01 -5.68468911e+01 
 1.68936220e+03  3.34109431e+01 -5.62946834e+01 
 1.72831844e+03  3.32853051e+01 -5.57402340e+01 
 1.76817299e+03  3.31617717e+01 -5.51838678e+01 
 1.80894658e+03  3.30403657e+01 -5.46259188e+01 
 1.85066040e+03  3.29211076e+01 -5.40667301e+01 
 1.89333613e+03  3.28040161e+01 -5.35066541e+01 
 1.93699595e+03  3.26891079e+01 -5.29460477e+01 
 1.98166255e+03  3.25763972e+01 -5.23852789e+01 
 2.02735916e+03  3.24658964e+01 -5.18247182e+01 
 2.07410951e+03  3.23576151e+01 -5.12647432e+01 
 2.12193792e+03  3.22515610e+01 -5.07057374e+01 
 2.17086923e+03  3.21477393e+01 -5.01480839e+01 
 2.22092889e+03  3.20461529e+01 -4.95921746e+01 
 2.27214291e+03  3.19468021e+01 -4.90383980e+01 
 2.32453791e+03  3.18496848e+01 -4.84871465e+01 
 2.37814113e+03  3.17547966e+01 -4.79388113e+01 
 2.43298042e+03  3.16621308e+01 -4.73937857e+01 
 2.48908429e+03  3.15716778e+01 -4.68524573e+01 
 2.54648190e+03  3.14834265e+01 -4.63152168e+01 
 2.60520309e+03  3.13973625e+01 -4.57824459e+01 
 2.66527837e+03  3.13134701e+01 -4.52545278e+01 
 2.72673897e+03  3.12317305e+01 -4.47318374e+01 
 2.78961683e+03  3.11521235e+01 -4.42147454e+01 
 2.85394464e+03  3.10746264e+01 -4.37036175e+01 
 2.91975583e+03  3.09992143e+01 -4.31988099e+01 
 2.98708461e+03  3.09258612e+01 -4.27006755e+01 
 3.05596598e+03  3.08545386e+01 -4.22095565e+01 
 3.12643573e+03  3.07852161e+01 -4.17257859e+01 
 3.19853049e+03  3.07178623e+01 -4.12496913e+01 
 3.27228774e+03  3.06524440e+01 -4.07815889e+01 
 3.34774581e+03  3.05889263e+01 -4.03217845e+01 
 3.42494392e+03  3.05272734e+01 -3.98705771e+01 
 3.50392221e+03  3.04674479e+01 -3.94282526e+01 
 3.58472171e+03  3.04094117e+01 -3.89950881e+01 
 3.66738442e+03  3.03531254e+01 -3.85713513e+01 
 3.75195331e+03  3.02985486e+01 -3.81572963e+01 
 3.83847234e+03  3.02456405e+01 -3.77531709e+01 
 3.92698648e+03  3.01943590e+01 -3.73592080e+01 
 4.01754173e+03  3.01446621e+01 -3.69756350e+01 
 4.11018515e+03  3.00965069e+01 -3.66026647e+01 
 4.20496491e+03  3.00498501e+01 -3.62405016e+01 
 4.30193027e+03  3.00046481e+01 -3.58893412e+01 
 4.40113162e+03  2.99608570e+01 -3.55493667e+01 
 4.50262052e+03  2.99184328e+01 -3.52207525e+01 
 4.60644974e+03  2.98773316e+01 -3.49036661e+01 
 4.71267322e+03  2.98375090e+01 -3.45982622e+01 
 4.82134619e+03  2.97989213e+01 -3.43046904e+01 
 4.93252513e+03  2.97615245e+01 -3.40230897e+01 
 5.04626783e+03  2.97252746e+01 -3.37535902e+01 
 5.16263340e+03  2.96901283e+01 -3.34963173e+01 
 5.28168234e+03  2.96560422e+01 -3.32513858e+01 
 5.40347650e+03  2.96229735e+01 -3.30189061e+01 
 5.52807921e+03  2.95908793e+01 -3.27989797e+01 
 5.65555523e+03  2.95597176e+01 -3.25917034e+01 
 5.78597080e+03  2.95294465e+01 -3.23971668e+01 
 5.91939372e+03  2.95000246e+01 -3.22154549e+01 
 6.05589334e+03  2.94714111e+01 -3.20466476e+01 
 6.19554061e+03  2.94435654e+01 -3.18908186e+01 
 6.33840810e+03  2.94164475e+01 -3.17480373e+01 
 6.48457008e+03  2.93900182e+01 -3.16183702e+01 
 6.63410251e+03  2.93642383e+01 -3.15018783e+01 
 6.78708313e+03  2.93390695e+01 -3.13986193e+01 
 6.94359143e+03  2.93144737e+01 -3.13086474e+01 
 7.10370877e+03  2.92904138e+01 -3.12320153e+01 
 7.26751838e+03  2.92668525e+01 -3.11687691e+01 
 7.43510539e+03  2.92437538e+01 -3.11189562e+01 
 7.60655691e+03  2.92210817e+01 -3.10826195e+01 
 7.78196206e+03  2.91988010e+01 -3.10598001e+01 
 7.96141200e+03  2.91768765e+01 -3.10505358e+01 
 8.14500001e+03  2.91552743e+01 -3.10548657e+01 
 8.33282151e+03  2.91339602e+01 -3.10728226e+01 
 8.52497412e+03  2.91129008e+01 -3.11044415e+01 
 8.72155772e+03  2.90920636e+01 -3.11497543e+01 
 8.92267449e+03  2.90714157e+01 -3.12087909e+01 
 9.12842895e+03  2.90509254e+01 -3.12815811e+01 
 9.33892805e+03  2.90305612e+01 -3.13681516e+01 
 9.55428121e+03  2.90102921e+01 -3.14685298e+01 
 9.77460036e+03  2.89900875e+01 -3.15827403e+01 
 1.00000000e+04  2.89699172e+01 -3.17108073e+01 
 1.02305973e+04  2.89497519e+01 -3.18527542e+01 
 1.04665121e+04  2.89295623e+01 -3.20086004e+01 
 1.07078670e+04  2.89093199e+01 -3.21783665e+01 
 1.09547876e+04  2.88889965e+01 -3.23620726e+01 
 1.12074020e+04  2.88685647e+01 -3.25597346e+01 
 1.14658417e+04  2.88479974e+01 -3.27713675e+01 
 1.17302409e+04  2.88272682e+01 -3.29969871e+01 
 1.20007371e+04  2.88063515e+01 -3.32366051e+01 
 1.22774708e+04  2.87852219e+01 -3.34902330e+01 
 1.25605860e+04  2.87638551e+01 -3.37578792e+01 
 1.28502297e+04  2.87422275e+01 -3.40395533e+01 
 1.31465525e+04  2.87203162e+01 -3.43352601e+01 
 1.34497085e+04  2.86980991e+01 -3.46450047e+01 
 1.37598551e+04  2.86755552e+01 -3.49687884e+01 
 1.40771537e+04  2.86526642e+01 -3.53066124e+01 
 1.44017690e+04  2.86294073e+01 -3.56584769e+01 
 1.47338699e+04  2.86057665e+01 -3.60243783e+01 
 1.50736290e+04  2.85817250e+01 -3.64043140e+01 
 1.54212228e+04  2.85572677e+01 -3.67982781e+01 
 1.57768320e+04  2.85323806e+01 -3.72062647e+01 
 1.61406415e+04  2.85070513e+01 -3.76282663e+01 
 1.65128404e+04  2.84812691e+01 -3.80642755e+01 
 1.68936220e+04  2.84550252e+01 -3.85142852e+01 
 1.72831844e+04  2.84283124e+01 -3.89782871e+01 
 1.76817299e+04  2.84011258e+01 -3.94562751e+01 
 1.80894658e+04  2.83734623e+01 -3.99482437e+01 
 1.85066040e+04  2.83453217e+01 -4.04541893e+01 
 1.89333613e+04  2.83167055e+01 -4.09741123e+01 
 1.93699595e+04  2.82876185e+01 -4.15080156e+01 
 1.98166255e+04  2.82580676e+01 -4.20559078e+01 
 2.02735916e+04  2.82280628e+01 -4.26178025e+01 
 2.07410951e+04  2.81976175e+01 -4.31937213e+01 
 2.12193792e+04  2.81667477e+01 -4.37836932e+01 
 2.17086923e+04  2.81354729e+01 -4.43877585e+01 
 2.22092889e+04  2.81038163e+01 -4.50059683e+01 
 2.27214291e+04  2.80718043e+01 -4.56383876e+01 
 2.32453791e+04  2.80394674e+01 -4.62850978e+01 
 2.37814113e+04  2.80068397e+01 -4.69461959e+01 
 2.43298042e+04  2.79739594e+01 -4.76218011e+01 
 2.48908429e+04  2.79408687e+01 -4.83120550e+01 
 2.54648190e+04  2.79076137e+01 -4.90171248e+01 
 2.60520309e+04  2.78742454e+01 -4.97372056e+01 
 2.66527837e+04  2.78408184e+01 -5.04725255e+01 
 2.72673897e+04  2.78073918e+01 -5.12233474e+01 
 2.78961683e+04  2.77740292e+01 -5.19899742e+01 
 2.85394464e+04  2.77407983e+01 -5.27727520e+01 
 2.91975583e+04  2.77077711e+01 -5.35720748e+01 
 2.98708461e+04  2.76750234e+01 -5.43883899e+01 
 3.05596598e+04  2.76426354e+01 -5.52222022e+01 
 3.12643573e+04  2.76106907e+01 -5.60740801e+01 
 3.19853049e+04  2.75792766e+01 -5.69446619e+01 
 3.27228774e+04  2.75484835e+01 -5.78346615e+01 
 3.34774581e+04  2.75184042e+01 -5.87448763e+01 
 3.42494392e+04  2.74891341e+01 -5.96761940e+01 
 3.50392221e+04  2.74607698e+01 -6.06296004e+01 
 3.58472171e+04  2.74334089e+01 -6.16061888e+01 
 3.66738442e+04  2.74071484e+01 -6.26071688e+01 
 3.75195331e+04  2.73820843e+01 -6.36338764e+01 
 3.83847234e+04  2.73583094e+01 -6.46877835e+01 
 3.92698648e+04  2.73359128e+01 -6.57705113e+01 
 4.01754173e+04  2.73149765e+01 -6.68838398e+01 
 4.11018515e+04  2.72955744e+01 -6.80297202e+01 
 4.20496491e+04  2.72777687e+01 -6.92102892e+01 
 4.30193027e+04  2.72616070e+01 -7.04278809e+01 
 4.40113162e+04  2.72471186e+01 -7.16850374e+01 
 4.50262052e+04  2.72343095e+01 -7.29845252e+01 
 4.60644974e+04  2.72231573e+01 -7.43293426e+01 
 4.71267322e+04  2.72136052e+01 -7.57227308e+01 
 4.82134619e+04  2.72055545e+01 -7.71681792e+01 
 4.93252513e+04  2.71988564e+01 -7.86694278e+01 
 5.04626783e+04  2.71933022e+01 -8.02304643e+01 
 5.16263340e+04  2.71886126e+01 -8.18555095e+01 
 5.28168234e+04  2.71844250e+01 -8.35489974e+01 
 5.40347650e+04  2.71802801e+01 -8.53155351e+01 
 5.52807921e+04  2.71756069e+01 -8.71598477e+01 
 5.65555523e+04  2.71697069e+01 -8.90867001e+01 
 5.78597080e+04  2.71617371e+01 -9.11007884e+01 
 5.91939372e+04  2.71506953e+01 -9.32065988e+01 
 6.05589334e+04  2.71354041e+01 -9.54082268e+01 
 6.19554061e+04  2.71145000e+01 -9.77091531e+01 
 6.33840810e+04  2.70864276e+01 -1.00111970e+02 
 6.48457008e+04  2.70494395e+01 -1.02618068e+02 
 6.63410251e+04  2.70016091e+01 -1.05227278e+02 
 6.78708313e+04  2.69408562e+01 -1.07937492e+02 
 6.94359143e+04  2.68649883e+01 -1.10744280e+02 
 7.10370877e+04  2.67717617e+01 -1.13640529e+02 
 7.26751838e+04  2.66589607e+01 -1.16616164e+02 
 7.43510539e+04  2.65244952e+01 -1.19657968e+02 
 7.60655691e+04  2.63665108e+01 -1.22749570e+02 
 7.78196206e+04  2.61835038e+01 -1.25871626e+02 
 7.96141200e+04  2.59744340e+01 -1.29002195e+02 
 8.14500001e+04  2.57388220e+01 -1.32117333e+02 
 8.33282151e+04  2.54768224e+01 -1.35191830e+02 
 8.52497412e+04  2.51892680e+01 -1.38200051e+02 
 8.72155772e+04  2.48776799e+01 -1.41116793e+02 
 8.92267449e+04  2.45442517e+01 -1.43918083e+02 
 9.12842895e+04  2.41918122e+01 -1.46581871e+02 
 9.33892805e+04  2.38237809e+01 -1.49088569e+02 
 9.55428121e+04  2.34441322e+01 -1.51421487e+02 
 9.77460036e+04  2.30573766e+01 -1.53567203e+02 
 1.00000000e+05  2.26685725e+01 -1.55515999e+02 
 1.02305973e+05  2.22833704e+01 -1.57262526e+02 
 1.04665121e+05  2.19080813e+01 -1.58806914e+02 
 1.07078670e+05  2.15497478e+01 -1.60156614e+02 
 1.09547876e+05  2.12161608e+01 -1.61329269e+02 
 1.12074020e+05  2.09157278e+01 -1.62356899e+02 
 1.14658417e+05  2.06570240e+01 -1.63291408e+02 
 1.17302409e+05  2.04477898e+01 -1.64210811e+02 
 1.20007371e+05  2.02930935e+01 -1.65224239e+02 
 1.22774708e+05  2.01924900e+01 -1.66471649e+02 
 1.25605860e+05  2.01364414e+01 -1.68111803e+02 
 1.28502297e+05  2.01032023e+01 -1.70291823e+02 
 1.31465525e+05  2.00585818e+01 -1.73097663e+02 
 1.34497085e+05  1.99613257e+01 -1.76500643e+02 
 1.37598551e+05  1.97744610e+01 -1.80333213e+02 
 1.40771537e+05  1.94778044e+01 -1.84324076e+02 
 1.44017690e+05  1.90738258e+01 -1.88183714e+02 
 1.47338699e+05  1.85833138e+01 -1.91689153e+02 
 1.50736290e+05  1.80351058e+01 -1.94722119e+02 
 1.54212228e+05  1.74568193e+01 -1.97257857e+02 
 1.57768320e+05  1.68700464e+01 -1.99331205e+02 
 1.61406415e+05  1.62894741e+01 -2.01004086e+02 
 1.65128404e+05  1.57240067e+01 -2.02344005e+02 
 1.68936220e+05  1.51784059e+01 -2.03413045e+02 
 1.72831844e+05  1.46547417e+01 -2.04263761e+02 
 1.76817299e+05  1.41534589e+01 -2.04938709e+02 
 1.80894658e+05  1.36740882e+01 -2.05471538e+02 
 1.85066040e+05  1.32156924e+01 -2.05888543e+02 
 1.89333613e+05  1.27771321e+01 -2.06210201e+02 
 1.93699595e+05  1.23572185e+01 -2.06452470e+02 
 1.98166255e+05  1.19547955e+01 -2.06627853e+02 
 2.02735916e+05  1.15687803e+01 -2.06746218e+02 
 2.07410951e+05  1.11981805e+01 -2.06815424e+02 
 2.12193792e+05  1.08420967e+01 -2.06841801e+02 
 2.17086923e+05  1.04997191e+01 -2.06830506e+02 
 2.22092889e+05  1.01703198e+01 -2.06785794e+02 
 2.27214291e+05  9.85324427e+00 -2.06711224e+02 
 2.32453791e+05  9.54790280e+00 -2.06609810e+02 
 2.37814113e+05  9.25376195e+00 -2.06484142e+02 
 2.43298042e+05  8.97033703e+00 -2.06336472e+02 
 2.48908429e+05  8.69718551e+00 -2.06168784e+02 
 2.54648190e+05  8.43390098e+00 -2.05982843e+02 
 2.60520309e+05  8.18010818e+00 -2.05780243e+02 
 2.66527837e+05  7.93545864e+00 -2.05562430e+02 
 2.72673897e+05  7.69962678e+00 -2.05330731e+02 
 2.78961683e+05  7.47230698e+00 -2.05086370e+02 
 2.85394464e+05  7.25321066e+00 -2.04830486e+02 
 2.91975583e+05  7.04206418e+00 -2.04564143e+02 
 2.98708461e+05  6.83860681e+00 -2.04288339e+02 
 3.05596598e+05  6.64258917e+00 -2.04004013e+02 
 3.12643573e+05  6.45377179e+00 -2.03712052e+02 
 3.19853049e+05  6.27192411e+00 -2.03413292e+02 
 3.27228774e+05  6.09682344e+00 -2.03108528e+02 
 3.34774581e+05  5.92825420e+00 -2.02798511e+02 
 3.42494392e+05  5.76600715e+00 -2.02483952e+02 
 3.50392221e+05  5.60987933e+00 -2.02165527e+02 
 3.58472171e+05  5.45967294e+00 -2.01843873e+02 
 3.66738442e+05  5.31519542e+00 -2.01519594e+02 
 3.75195331e+05  5.17625910e+00 -2.01193263e+02 
 3.83847234e+05  5.04268092e+00 -2.00865417e+02 
 3.92698648e+05  4.91428229e+00 -2.00536565e+02 
 4.01754173e+05  4.79088892e+00 -2.00207186e+02 
 4.11018515e+05  4.67233072e+00 -1.99877727e+02 
 4.20496491e+05  4.55844174e+00 -1.99548609e+02 
 4.30193027e+05  4.44906004e+00 -1.99220227e+02 
 4.40113162e+05  4.34402774e+00 -1.98892948e+02 
 4.50262052e+05  4.24319086e+00 -1.98567112e+02 
 4.60644974e+05  4.14639941e+00 -1.98243037e+02 
 4.71267322e+05  4.05350726e+00 -1.97921017e+02 
 4.82134619e+05  3.96437217e+00 -1.97601322e+02 
 4.93252513e+05  3.87885577e+00 -1.97284201e+02 
 5.04626783e+05  3.79682352e+00 -1.96969883e+02 
 5.16263340e+05  3.71814469e+00 -1.96658574e+02 
 5.28168234e+05  3.64269231e+00 -1.96350465e+02 
 5.40347650e+05  3.57034318e+00 -1.96045727e+02 
 5.52807921e+05  3.50097782e+00 -1.95744512e+02 
 5.65555523e+05  3.43448040e+00 -1.95446959e+02 
 5.78597080e+05  3.37073874e+00 -1.95153189e+02 
 5.91939372e+05  3.30964422e+00 -1.94863311e+02 
 6.05589334e+05  3.25109181e+00 -1.94577417e+02 
 6.19554061e+05  3.19497991e+00 -1.94295589e+02 
 6.33840810e+05  3.14121032e+00 -1.94017895e+02 
 6.48457008e+05  3.08968823e+00 -1.93744393e+02 
 6.63410251e+05  3.04032211e+00 -1.93475130e+02 
 6.78708313e+05  2.99302365e+00 -1.93210143e+02 
 6.94359143e+05  2.94770766e+00 -1.92949459e+02 
 7.10370877e+05  2.90429207e+00 -1.92693098e+02 
 7.26751838e+05  2.86269778e+00 -1.92441071e+02 
 7.43510539e+05  2.82284862e+00 -1.92193381e+02 
 7.60655691e+05  2.78467124e+00 -1.91950027e+02 
 7.78196206e+05  2.74809510e+00 -1.91710999e+02 
 7.96141200e+05  2.71305231e+00 -1.91476283e+02 
 8.14500001e+05  2.67947761e+00 -1.91245857e+02 
 8.33282151e+05  2.64730824e+00 -1.91019699e+02 
 8.52497412e+05  2.61648392e+00 -1.90797778e+02 
 8.72155772e+05  2.58694672e+00 -1.90580061e+02 
 8.92267449e+05  2.55864100e+00 -1.90366511e+02 
 9.12842895e+05  2.53151335e+00 -1.90157089e+02 
 9.33892805e+05  2.50551251e+00 -1.89951750e+02 
 9.55428121e+05  2.48058926e+00 -1.89750450e+02 
 9.77460036e+05  2.45669639e+00 -1.89553140e+02 
 1.00000000e+06  2.43378862e+00 -1.89359770e+02 
 1.02305973e+06  2.41182252e+00 -1.89170288e+02 
 1.04665121e+06  2.39075645e+00 -1.88984639e+02 
 1.07078670e+06  2.37055049e+00 -1.88802769e+02 
 1.09547876e+06  2.35116638e+00 -1.88624621e+02 
 1.12074020e+06  2.33256745e+00 -1.88450136e+02 
 1.14658417e+06  2.31471861e+00 -1.88279256e+02 
 1.17302409e+06  2.29758620e+00 -1.88111922e+02 
 1.20007371e+06  2.28113801e+00 -1.87948073e+02 
 1.22774708e+06  2.26534319e+00 -1.87787649e+02 
 1.25605860e+06  2.25017224e+00 -1.87630588e+02 
 1.28502297e+06  2.23559690e+00 -1.87476828e+02 
 1.31465525e+06  2.22159015e+00 -1.87326308e+02 
 1.34497085e+06  2.20812614e+00 -1.87178966e+02 
 1.37598551e+06  2.19518017e+00 -1.87034739e+02 
 1.40771537e+06  2.18272860e+00 -1.86893565e+02 
 1.44017690e+06  2.17074889e+00 -1.86755384e+02 
 1.47338699e+06  2.15921948e+00 -1.86620132e+02 
 1.50736290e+06  2.14811979e+00 -1.86487748e+02 
 1.54212228e+06  2.13743019e+00 -1.86358171e+02 
 1.57768320e+06  2.12713194e+00 -1.86231340e+02 
 1.61406415e+06  2.11720720e+00 -1.86107194e+02 
 1.65128404e+06  2.10763895e+00 -1.85985674e+02 
 1.68936220e+06  2.09841100e+00 -1.85866719e+02 
 1.72831844e+06  2.08950791e+00 -1.85750272e+02 
 1.76817299e+06  2.08091503e+00 -1.85636273e+02 
 1.80894658e+06  2.07261841e+00 -1.85524665e+02 
 1.85066040e+06  2.06460481e+00 -1.85415392e+02 
 1.89333613e+06  2.05686167e+00 -1.85308396e+02 
 1.93699595e+06  2.04937707e+00 -1.85203623e+02 
 1.98166255e+06  2.04213970e+00 -1.85101018e+02 
 2.02735916e+06  2.03513886e+00 -1.85000528e+02 
 2.07410951e+06  2.02836444e+00 -1.84902101e+02 
 2.12193792e+06  2.02180685e+00 -1.84805684e+02 
 2.17086923e+06  2.01545705e+00 -1.84711228e+02 
 2.22092889e+06  2.00930651e+00 -1.84618683e+02 
 2.27214291e+06  2.00334715e+00 -1.84528002e+02 
 2.32453791e+06  1.99757139e+00 -1.84439136e+02 
 2.37814113e+06  1.99197206e+00 -1.84352040e+02 
 2.43298042e+06  1.98654242e+00 -1.84266670e+02 
 2.48908429e+06  1.98127613e+00 -1.84182982e+02 
 2.54648190e+06  1.97616720e+00 -1.84100934e+02 
 2.60520309e+06  1.97121001e+00 -1.84020485e+02 
 2.66527837e+06  1.96639929e+00 -1.83941596e+02 
 2.72673897e+06  1.96173004e+00 -1.83864229e+02 
 2.78961683e+06  1.95719759e+00 -1.83788347e+02 
 2.85394464e+06  1.95279752e+00 -1.83713914e+02 
 2.91975583e+06  1.94852567e+00 -1.83640895e+02 
 2.98708461e+06  1.94437811e+00 -1.83569259e+02 
 3.05596598e+06  1.94035114e+00 -1.83498973e+02 
 3.12643573e+06  1.93644124e+00 -1.83430006e+02 
 3.19853049e+06  1.93264509e+00 -1.83362330e+02 
 3.27228774e+06  1.92895951e+00 -1.83295916e+02 
 3.34774581e+06  1.92538152e+00 -1.83230737e+02 
 3.42494392e+06  1.92190822e+00 -1.83166769e+02 
 3.50392221e+06  1.91853686e+00 -1.83103985e+02 
 3.58472171e+06  1.91526481e+00 -1.83042362e+02 
 3.66738442e+06  1.91208952e+00 -1.82981878e+02 
 3.75195331e+06  1.90900854e+00 -1.82922510e+02 
 3.83847234e+06  1.90601949e+00 -1.82864238e+02 
 3.92698648e+06  1.90312005e+00 -1.82807042e+02 
 4.01754173e+06  1.90030798e+00 -1.82750903e+02 
 4.11018515e+06  1.89758107e+00 -1.82695802e+02 
 4.20496491e+06  1.89493719e+00 -1.82641720e+02 
 4.30193027e+06  1.89237420e+00 -1.82588642e+02 
 4.40113162e+06  1.88989005e+00 -1.82536549e+02 
 4.50262052e+06  1.88748269e+00 -1.82485427e+02 
 4.60644974e+06  1.88515010e+00 -1.82435258e+02 
 4.71267322e+06  1.88289031e+00 -1.82386029e+02 
 4.82134619e+06  1.88070134e+00 -1.82337724e+02 
 4.93252513e+06  1.87858126e+00 -1.82290329e+02 
 5.04626783e+06  1.87652816e+00 -1.82243829e+02 
 5.16263340e+06  1.87454013e+00 -1.82198210e+02 
 5.28168234e+06  1.87261532e+00 -1.82153459e+02 
 5.40347650e+06  1.87075188e+00 -1.82109562e+02 
 5.52807921e+06  1.86894797e+00 -1.82066505e+02 
 5.65555523e+06  1.86720182e+00 -1.82024276e+02 
 5.78597080e+06  1.86551163e+00 -1.81982862e+02 
 5.91939372e+06  1.86387568e+00 -1.81942249e+02 
 6.05589334e+06  1.86229225e+00 -1.81902425e+02 
 6.19554061e+06  1.86075965e+00 -1.81863376e+02 
 6.33840810e+06  1.85927624e+00 -1.81825091e+02 
 6.48457008e+06  1.85784040e+00 -1.81787556e+02 
 6.63410251e+06  1.85645053e+00 -1.81750759e+02 
 6.78708313e+06  1.85510511e+00 -1.81714688e+02 
 6.94359143e+06  1.85380262e+00 -1.81679330e+02 
 7.10370877e+06  1.85254158e+00 -1.81644672e+02 
 7.26751838e+06  1.85132058e+00 -1.81610703e+02 
 7.43510539e+06  1.85013822e+00 -1.81577411e+02 
 7.60655691e+06  1.84899315e+00 -1.81544783e+02 
 7.78196206e+06  1.84788406e+00 -1.81512806e+02 
 7.96141200e+06  1.84680969e+00 -1.81481470e+02 
 8.14500001e+06  1.84576882e+00 -1.81450762e+02 
 8.33282151e+06  1.84476026e+00 -1.81420671e+02 
 8.52497412e+06  1.84378288e+00 -1.81391184e+02 
 8.72155772e+06  1.84283557e+00 -1.81362291e+02 
 8.92267449e+06  1.84191729e+00 -1.81333980e+02 
 9.12842895e+06  1.84102701e+00 -1.81306239e+02 
 9.33892805e+06  1.84016376e+00 -1.81279057e+02 
 9.55428121e+06  1.83932661e+00 -1.81252424e+02 
 9.77460036e+06  1.83851466e+00 -1.81226328e+02 
 1.00000000e+07  1.83772704e+00 -1.81200758e+02 
 1.02305973e+07  1.83696295e+00 -1.81175704e+02 
 1.04665121e+07  1.83622159e+00 -1.81151156e+02 
 1.07078670e+07  1.83550222e+00 -1.81127104e+02 
 1.09547876e+07  1.83480411e+00 -1.81103536e+02 
 1.12074020e+07  1.83412659e+00 -1.81080443e+02 
 1.14658417e+07  1.83346900e+00 -1.81057816e+02 
 1.17302409e+07  1.83283071e+00 -1.81035645e+02 
 1.20007371e+07  1.83221115e+00 -1.81013920e+02 
 1.22774708e+07  1.83160974e+00 -1.80992632e+02 
 1.25605860e+07  1.83102595e+00 -1.80971773e+02 
 1.28502297e+07  1.83045926e+00 -1.80951332e+02 
 1.31465525e+07  1.82990918e+00 -1.80931302e+02 
 1.34497085e+07  1.82937526e+00 -1.80911675e+02 
 1.37598551e+07  1.82885705e+00 -1.80892441e+02 
 1.40771537e+07  1.82835413e+00 -1.80873593e+02 
 1.44017690e+07  1.82786609e+00 -1.80855122e+02 
 1.47338699e+07  1.82739255e+00 -1.80837022e+02 
 1.50736290e+07  1.82693315e+00 -1.80819284e+02 
 1.54212228e+07  1.82648753e+00 -1.80801902e+02 
 1.57768320e+07  1.82605536e+00 -1.80784867e+02 
 1.61406415e+07  1.82563631e+00 -1.80768173e+02 
