 frequency       v(CMRR_dB)      v(CMRR_arg)    
 1.20007371e-01  9.17298237e+01  4.03916500e+01 
 1.22774708e-01  9.18767032e+01  4.00618065e+01 
 1.25605860e-01  9.20227828e+01  3.97124882e+01 
 1.28502297e-01  9.21681100e+01  3.93435087e+01 
 1.31465525e-01  9.23125461e+01  3.89549356e+01 
 1.34497085e-01  9.24560757e+01  3.85466787e+01 
 1.37598551e-01  9.25985597e+01  3.81188303e+01 
 1.40771537e-01  9.27399204e+01  3.76714091e+01 
 1.44017690e-01  9.28800800e+01  3.72044450e+01 
 1.47338699e-01  9.30190821e+01  3.67177882e+01 
 1.50736290e-01  9.31566654e+01  3.62117724e+01 
 1.54212228e-01  9.32929334e+01  3.56861695e+01 
 1.57768320e-01  9.34276254e+01  3.51413493e+01 
 1.61406415e-01  9.35607837e+01  3.45771997e+01 
 1.65128404e-01  9.36922690e+01  3.39939224e+01 
 1.68936220e-01  9.38221223e+01  3.33914163e+01 
 1.72831844e-01  9.39500851e+01  3.27701274e+01 
 1.76817299e-01  9.40761982e+01  3.21299792e+01 
 1.80894658e-01  9.42003239e+01  3.14712351e+01 
 1.85066040e-01  9.43224432e+01  3.07939479e+01 
 1.89333613e-01  9.44424192e+01  3.00984132e+01 
 1.93699595e-01  9.45601750e+01  2.93848290e+01 
 1.98166255e-01  9.46756925e+01  2.86532839e+01 
 2.02735916e-01  9.47888370e+01  2.79041237e+01 
 2.07410951e-01  9.48995337e+01  2.71375902e+01 
 2.12193792e-01  9.50077658e+01  2.63538087e+01 
 2.17086923e-01  9.51134021e+01  2.55531758e+01 
 2.22092889e-01  9.52164273e+01  2.47358420e+01 
 2.27214291e-01  9.53167127e+01  2.39022379e+01 
 2.32453791e-01  9.54141886e+01  2.30526783e+01 
 2.37814113e-01  9.55088424e+01  2.21873492e+01 
 2.43298042e-01  9.56005503e+01  2.13067318e+01 
 2.48908429e-01  9.56892468e+01  2.04111832e+01 
 2.54648190e-01  9.57748680e+01  1.95010741e+01 
 2.60520309e-01  9.58574062e+01  1.85766363e+01 
 2.66527837e-01  9.59367456e+01  1.76384147e+01 
 2.72673897e-01  9.60127740e+01  1.66869763e+01 
 2.78961683e-01  9.60855428e+01  1.57224313e+01 
 2.85394464e-01  9.61549962e+01  1.47452067e+01 
 2.91975583e-01  9.62209232e+01  1.37562333e+01 
 2.98708461e-01  9.62834845e+01  1.27553149e+01 
 3.05596598e-01  9.63425263e+01  1.17432421e+01 
 3.12643573e-01  9.63979010e+01  1.07208337e+01 
 3.19853049e-01  9.64497709e+01  9.68789444e+00 
 3.27228774e-01  9.64979922e+01  8.64525656e+00 
 3.34774581e-01  9.65424274e+01  7.59377868e+00 
 3.42494392e-01  9.65832408e+01  6.53326191e+00 
 3.50392221e-01  9.66202505e+01  5.46475693e+00 
 3.58472171e-01  9.66534759e+01  4.38860787e+00 
 3.66738442e-01  9.66828894e+01  3.30534265e+00 
 3.75195331e-01  9.67084661e+01  2.21549386e+00 
 3.83847234e-01  9.67301377e+01  1.11978886e+00 
 3.92698648e-01  9.67479779e+01  1.83886443e-02 
 4.01754173e-01  9.67618782e+01 -1.08778085e+00 
 4.11018515e-01  9.67718266e+01 -2.19816870e+00 
 4.20496491e-01  9.67779015e+01 -3.31261885e+00 
 4.30193027e-01  9.67800067e+01 -4.43019032e+00 
 4.40113162e-01  9.67781810e+01 -5.55053160e+00 
 4.50262052e-01  9.67723800e+01 -6.67289338e+00 
 4.60644974e-01  9.67626885e+01 -7.79713366e+00 
 4.71267322e-01  9.67489857e+01 -8.92209744e+00 
 4.82134619e-01  9.67314410e+01 -1.00480610e+01 
 4.93252513e-01  9.67098628e+01 -1.11734573e+01 
 5.04626783e-01  9.66844228e+01 -1.22985761e+01 
 5.16263340e-01  9.66550950e+01 -1.34226822e+01 
 5.28168234e-01  9.66218220e+01 -1.45448322e+01 
 5.40347650e-01  9.65847003e+01 -1.56649254e+01 
 5.52807921e-01  9.65437874e+01 -1.67826621e+01 
 5.65555523e-01  9.64990359e+01 -1.78971176e+01 
 5.78597080e-01  9.64504754e+01 -1.90077954e+01 
 5.91939372e-01  9.63981375e+01 -2.01142077e+01 
 6.05589334e-01  9.63421219e+01 -2.12163020e+01 
 6.19554061e-01  9.62823970e+01 -2.23131867e+01 
 6.33840810e-01  9.62190018e+01 -2.34044056e+01 
 6.48457008e-01  9.61520383e+01 -2.44899381e+01 
 6.63410251e-01  9.60814860e+01 -2.55689269e+01 
 6.78708313e-01  9.60073905e+01 -2.66409519e+01 
 6.94359143e-01  9.59298273e+01 -2.77058176e+01 
 7.10370877e-01  9.58488161e+01 -2.87629192e+01 
 7.26751838e-01  9.57644346e+01 -2.98120876e+01 
 7.43510539e-01  9.56767075e+01 -3.08527484e+01 
 7.60655691e-01  9.55857399e+01 -3.18849674e+01 
 7.78196206e-01  9.54915339e+01 -3.29079926e+01 
 7.96141200e-01  9.53941467e+01 -3.39215056e+01 
 8.14500001e-01  9.52936601e+01 -3.49254089e+01 
 8.33282151e-01  9.51901315e+01 -3.59194128e+01 
 8.52497412e-01  9.50835975e+01 -3.69030422e+01 
 8.72155772e-01  9.49741621e+01 -3.78764438e+01 
 8.92267449e-01  9.48618216e+01 -3.88387764e+01 
 9.12842895e-01  9.47466808e+01 -3.97902183e+01 
 9.33892805e-01  9.46288206e+01 -4.07307557e+01 
 9.55428121e-01  9.45082446e+01 -4.16596112e+01 
 9.77460036e-01  9.43850734e+01 -4.25771930e+01 
 1.00000000e+00  9.42593146e+01 -4.34827667e+01 
 1.02305973e+00  9.41310856e+01 -4.43767616e+01 
 1.04665121e+00  9.40004142e+01 -4.52586715e+01 
 1.07078670e+00  9.38673964e+01 -4.61287552e+01 
 1.09547876e+00  9.37320467e+01 -4.69863639e+01 
 1.12074020e+00  9.35944895e+01 -4.78321418e+01 
 1.14658417e+00  9.34547118e+01 -4.86651219e+01 
 1.17302409e+00  9.33128483e+01 -4.94861406e+01 
 1.20007371e+00  9.31689165e+01 -5.02946246e+01 
 1.22774708e+00  9.30229778e+01 -5.10905511e+01 
 1.25605860e+00  9.28751177e+01 -5.18742453e+01 
 1.28502297e+00  9.27253693e+01 -5.26453646e+01 
 1.31465525e+00  9.25738146e+01 -5.34042484e+01 
 1.34497085e+00  9.24204756e+01 -5.41504258e+01 
 1.37598551e+00  9.22654322e+01 -5.48842562e+01 
 1.40771537e+00  9.21087597e+01 -5.56060895e+01 
 1.44017690e+00  9.19504699e+01 -5.63153464e+01 
 1.47338699e+00  9.17906273e+01 -5.70122500e+01 
 1.50736290e+00  9.16293030e+01 -5.76971706e+01 
 1.54212228e+00  9.14665464e+01 -5.83701752e+01 
 1.57768320e+00  9.13023806e+01 -5.90309082e+01 
 1.61406415e+00  9.11368720e+01 -5.96797557e+01 
 1.65128404e+00  9.09700676e+01 -6.03168136e+01 
 1.68936220e+00  9.08020209e+01 -6.09423207e+01 
 1.72831844e+00  9.06327613e+01 -6.15561101e+01 
 1.76817299e+00  9.04623400e+01 -6.21584339e+01 
