 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.80011056e+00  2.69794422e-06  2.18054634e-04 
 1.84162062e+00  2.66748318e-06  2.15592691e-04 
 1.88408790e+00  2.63736874e-06  2.13158761e-04 
 1.92753446e+00  2.60759699e-06  2.10752528e-04 
 1.97198288e+00  2.57816406e-06  2.08373678e-04 
 2.01745627e+00  2.54906612e-06  2.06021904e-04 
 2.06397827e+00  2.52029939e-06  2.03696898e-04 
 2.11157305e+00  2.49186013e-06  2.01398360e-04 
 2.16026535e+00  2.46374466e-06  1.99125990e-04 
 2.21008049e+00  2.43594931e-06  1.96879494e-04 
 2.26104435e+00  2.40847047e-06  1.94658578e-04 
 2.31318342e+00  2.38130458e-06  1.92462956e-04 
 2.36652481e+00  2.35444810e-06  1.90292340e-04 
 2.42109623e+00  2.32789754e-06  1.88146450e-04 
 2.47692605e+00  2.30164945e-06  1.86025006e-04 
 2.53404330e+00  2.27570042e-06  1.83927733e-04 
 2.59247765e+00  2.25004709e-06  1.81854358e-04 
 2.65225949e+00  2.22468611e-06  1.79804612e-04 
 2.71341987e+00  2.19961419e-06  1.77778228e-04 
 2.77599060e+00  2.17482807e-06  1.75774943e-04 
 2.84000420e+00  2.15032453e-06  1.73794497e-04 
 2.90549393e+00  2.12610039e-06  1.71836632e-04 
 2.97249383e+00  2.10215250e-06  1.69901094e-04 
 3.04103874e+00  2.07847775e-06  1.67987631e-04 
 3.11116427e+00  2.05507305e-06  1.66095995e-04 
 3.18290688e+00  2.03193538e-06  1.64225939e-04 
 3.25630385e+00  2.00906171e-06  1.62377222e-04 
 3.33139333e+00  1.98644909e-06  1.60549602e-04 
 3.40821437e+00  1.96409457e-06  1.58742842e-04 
 3.48680687e+00  1.94199524e-06  1.56956707e-04 
 3.56721169e+00  1.92014823e-06  1.55190965e-04 
 3.64947063e+00  1.89855071e-06  1.53445387e-04 
 3.73362644e+00  1.87719987e-06  1.51719745e-04 
 3.81972285e+00  1.85609293e-06  1.50013816e-04 
 3.90780463e+00  1.83522715e-06  1.48327378e-04 
 3.99791755e+00  1.81459981e-06  1.46660211e-04 
 4.09010845e+00  1.79420825e-06  1.45012099e-04 
 4.18442524e+00  1.77404980e-06  1.43382828e-04 
 4.28091696e+00  1.75412185e-06  1.41772185e-04 
 4.37963375e+00  1.73442180e-06  1.40179962e-04 
 4.48062692e+00  1.71494710e-06  1.38605952e-04 
 4.58394897e+00  1.69569522e-06  1.37049949e-04 
 4.68965359e+00  1.67666365e-06  1.35511752e-04 
 4.79779574e+00  1.65784991e-06  1.33991161e-04 
 4.90843161e+00  1.63925158e-06  1.32487978e-04 
 5.02161872e+00  1.62086621e-06  1.31002008e-04 
 5.13741589e+00  1.60269144e-06  1.29533057e-04 
 5.25588331e+00  1.58472489e-06  1.28080935e-04 
 5.37708256e+00  1.56696423e-06  1.26645453e-04 
 5.50107663e+00  1.54940715e-06  1.25226424e-04 
 5.62792997e+00  1.53205137e-06  1.23823663e-04 
 5.75770852e+00  1.51489463e-06  1.22436989e-04 
 5.89047972e+00  1.49793470e-06  1.21066221e-04 
 6.02631259e+00  1.48116938e-06  1.19711181e-04 
 6.16527773e+00  1.46459649e-06  1.18371692e-04 
 6.30744737e+00  1.44821387e-06  1.17047581e-04 
 6.45289540e+00  1.43201939e-06  1.15738675e-04 
 6.60169743e+00  1.41601095e-06  1.14444805e-04 
 6.75393078e+00  1.40018647e-06  1.13165801e-04 
 6.90967460e+00  1.38454389e-06  1.11901498e-04 
 7.06900983e+00  1.36908117e-06  1.10651731e-04 
 7.23201929e+00  1.35379631e-06  1.09416337e-04 
 7.39878770e+00  1.33868732e-06  1.08195157e-04 
 7.56940175e+00  1.32375223e-06  1.06988030e-04 
 7.74395011e+00  1.30898910e-06  1.05794801e-04 
 7.92252350e+00  1.29439601e-06  1.04615314e-04 
 8.10521476e+00  1.27997106e-06  1.03449415e-04 
 8.29211882e+00  1.26571238e-06  1.02296953e-04 
 8.48333284e+00  1.25161812e-06  1.01157778e-04 
 8.67895620e+00  1.23768643e-06  1.00031741e-04 
 8.87909059e+00  1.22391551e-06  9.89186970e-05 
 9.08384002e+00  1.21030357e-06  9.78185001e-05 
 9.29331091e+00  1.19684884e-06  9.67310075e-05 
 9.50761215e+00  1.18354956e-06  9.56560776e-05 
 9.72685512e+00  1.17040401e-06  9.45935706e-05 
 9.95115377e+00  1.15741047e-06  9.35433480e-05 
 1.01806247e+01  1.14456726e-06  9.25052733e-05 
 1.04153871e+01  1.13187270e-06  9.14792114e-05 
 1.06555632e+01  1.11932515e-06  9.04650286e-05 
 1.09012776e+01  1.10692296e-06  8.94625929e-05 
 1.11526581e+01  1.09466453e-06  8.84717739e-05 
 1.14098354e+01  1.08254826e-06  8.74924424e-05 
 1.16729431e+01  1.07057257e-06  8.65244710e-05 
 1.19421180e+01  1.05873591e-06  8.55677336e-05 
 1.22175000e+01  1.04703673e-06  8.46221055e-05 
 1.24992323e+01  1.03547351e-06  8.36874637e-05 
 1.27874612e+01  1.02404475e-06  8.27636863e-05 
 1.30823366e+01  1.01274896e-06  8.18506529e-05 
 1.33840117e+01  1.00158466e-06  8.09482447e-05 
 1.36926434e+01  9.90550400e-07  8.00563439e-05 
 1.40083921e+01  9.79644747e-07  7.91748343e-05 
 1.43314218e+01  9.68866279e-07  7.83036010e-05 
 1.46619005e+01  9.58213591e-07  7.74425305e-05 
 1.50000000e+01  9.47685295e-07  7.65915103e-05 
