 frequency       v(L_dB)         v(L_arg)        v(Tmb_dB)       v(Tmb_arg)      v(Ttian_dB)     v(Ttian_arg)   
 2.98708461e-02  1.82177127e+01  1.02583260e+02  3.41204703e+01  5.09304341e+00  3.41187667e+01  5.09682046e+00 
 3.05596598e-02  1.84152193e+01  1.02550606e+02  3.41224220e+01  5.20961191e+00  3.41207304e+01  5.21342279e+00 
 3.12643573e-02  1.86129686e+01  1.02524258e+02  3.41244638e+01  5.32880698e+00  3.41227844e+01  5.33265030e+00 
 3.19853049e-02  1.88109603e+01  1.02504205e+02  3.41265998e+01  5.45068491e+00  3.41249327e+01  5.45455922e+00 
 3.27228774e-02  1.90091945e+01  1.02490440e+02  3.41288344e+01  5.57530297e+00  3.41271798e+01  5.57920676e+00 
 3.34774581e-02  1.92076715e+01  1.02482955e+02  3.41311719e+01  5.70271946e+00  3.41295300e+01  5.70665114e+00 
 3.42494392e-02  1.94063925e+01  1.02481750e+02  3.41336171e+01  5.83299365e+00  3.41319881e+01  5.83695159e+00 
 3.50392221e-02  1.96053588e+01  1.02486822e+02  3.41361748e+01  5.96618585e+00  3.41345589e+01  5.97016836e+00 
 3.58472171e-02  1.98045724e+01  1.02498173e+02  3.41388502e+01  6.10235738e+00  3.41372475e+01  6.10636269e+00 
 3.66738442e-02  2.00040357e+01  1.02515806e+02  3.41416487e+01  6.24157053e+00  3.41400593e+01  6.24559684e+00 
 3.75195331e-02  2.02037517e+01  1.02539729e+02  3.41445757e+01  6.38388861e+00  3.41429998e+01  6.38793408e+00 
 3.83847234e-02  2.04037236e+01  1.02569948e+02  3.41476372e+01  6.52937592e+00  3.41460748e+01  6.53343866e+00 
 3.92698648e-02  2.06039555e+01  1.02606476e+02  3.41508391e+01  6.67809775e+00  3.41492904e+01  6.68217582e+00 
 4.01754173e-02  2.08044517e+01  1.02649324e+02  3.41541877e+01  6.83012035e+00  3.41526528e+01  6.83421180e+00 
 4.11018515e-02  2.10052171e+01  1.02698508e+02  3.41576899e+01  6.98551094e+00  3.41561688e+01  6.98961377e+00 
 4.20496491e-02  2.12062572e+01  1.02754045e+02  3.41613523e+01  7.14433769e+00  3.41598451e+01  7.14844988e+00 
 4.30193027e-02  2.14075779e+01  1.02815955e+02  3.41651821e+01  7.30666969e+00  3.41636889e+01  7.31078919e+00 
 4.40113162e-02  2.16091857e+01  1.02884260e+02  3.41691870e+01  7.47257694e+00  3.41677078e+01  7.47670171e+00 
 4.50262052e-02  2.18110878e+01  1.02958983e+02  3.41733747e+01  7.64213031e+00  3.41719094e+01  7.64625829e+00 
 4.60644974e-02  2.20132917e+01  1.03040150e+02  3.41777533e+01  7.81540155e+00  3.41763021e+01  7.81953068e+00 
