 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 4.60644974e+00  4.35607604e-13  0.00000000e+00  1.75342317e-13  0.00000000e+00 
 4.71267322e+00  4.25789214e-13  0.00000000e+00  1.71570013e-13  0.00000000e+00 
 4.82134619e+00  4.16192135e-13  0.00000000e+00  1.67886610e-13  0.00000000e+00 
 4.93252513e+00  4.06811378e-13  0.00000000e+00  1.64290193e-13  0.00000000e+00 
 5.04626783e+00  3.97642068e-13  0.00000000e+00  1.60778934e-13  0.00000000e+00 
 5.16263340e+00  3.88679439e-13  0.00000000e+00  1.57350830e-13  0.00000000e+00 
 5.28168234e+00  3.79918831e-13  0.00000000e+00  1.54004232e-13  0.00000000e+00 
 5.40347650e+00  3.71355693e-13  0.00000000e+00  1.50737312e-13  0.00000000e+00 
 5.52807921e+00  3.62985572e-13  0.00000000e+00  1.47548378e-13  0.00000000e+00 
 5.65555523e+00  3.54804118e-13  0.00000000e+00  1.44435672e-13  0.00000000e+00 
 5.78597080e+00  3.46807080e-13  0.00000000e+00  1.41397660e-13  0.00000000e+00 
 5.91939372e+00  3.38990300e-13  0.00000000e+00  1.38432645e-13  0.00000000e+00 
 6.05589334e+00  3.31349715e-13  0.00000000e+00  1.35539057e-13  0.00000000e+00 
 6.19554061e+00  3.23881354e-13  0.00000000e+00  1.32715439e-13  0.00000000e+00 
 6.33840810e+00  3.16581336e-13  0.00000000e+00  1.29960183e-13  0.00000000e+00 
 6.48457008e+00  3.09445866e-13  0.00000000e+00  1.27271924e-13  0.00000000e+00 
 6.63410251e+00  3.02471235e-13  0.00000000e+00  1.24649150e-13  0.00000000e+00 
 6.78708313e+00  2.95653818e-13  0.00000000e+00  1.22090499e-13  0.00000000e+00 
 6.94359143e+00  2.88990072e-13  0.00000000e+00  1.19594587e-13  0.00000000e+00 
 7.10370877e+00  2.82476533e-13  0.00000000e+00  1.17160054e-13  0.00000000e+00 
 7.26751838e+00  2.76109816e-13  0.00000000e+00  1.14785598e-13  0.00000000e+00 
 7.43510539e+00  2.69886610e-13  0.00000000e+00  1.12469899e-13  0.00000000e+00 
 7.60655691e+00  2.63803683e-13  0.00000000e+00  1.10211801e-13  0.00000000e+00 
 7.78196206e+00  2.57857872e-13  0.00000000e+00  1.08009984e-13  0.00000000e+00 
 7.96141200e+00  2.52046086e-13  0.00000000e+00  1.05863252e-13  0.00000000e+00 
 8.14500001e+00  2.46365305e-13  0.00000000e+00  1.03770426e-13  0.00000000e+00 
 8.33282151e+00  2.40812576e-13  0.00000000e+00  1.01730372e-13  0.00000000e+00 
 8.52497412e+00  2.35385014e-13  0.00000000e+00  9.97419700e-14  0.00000000e+00 
 8.72155772e+00  2.30079796e-13  0.00000000e+00  9.78040802e-14  0.00000000e+00 
 8.92267449e+00  2.24894166e-13  0.00000000e+00  9.59155788e-14  0.00000000e+00 
 9.12842895e+00  2.19825428e-13  0.00000000e+00  9.40755012e-14  0.00000000e+00 
 9.33892805e+00  2.14870948e-13  0.00000000e+00  9.22827435e-14  0.00000000e+00 
 9.55428121e+00  2.10028150e-13  0.00000000e+00  9.05362444e-14  0.00000000e+00 
 9.77460036e+00  2.05294518e-13  0.00000000e+00  8.88350897e-14  0.00000000e+00 
 1.00000000e+01  2.00667591e-13  0.00000000e+00  8.71782079e-14  0.00000000e+00 
 1.02305973e+01  1.96144963e-13  0.00000000e+00  8.55646707e-14  0.00000000e+00 
 1.04665121e+01  1.91724285e-13  0.00000000e+00  8.39935282e-14  0.00000000e+00 
 1.07078670e+01  1.87403259e-13  0.00000000e+00  8.24638365e-14  0.00000000e+00 
 1.09547876e+01  1.83179639e-13  0.00000000e+00  8.09747054e-14  0.00000000e+00 
 1.12074020e+01  1.79051229e-13  0.00000000e+00  7.95252008e-14  0.00000000e+00 
