 v-sweep         v(Ileak_lv_w_dummy) v(Ileak_hv_w_dummy) v(Ileak_lv_wo_dummy) v(Ileak_hv_wo_dummy)
 0.00000000e+00 -1.92365216e-11 -1.83884562e-15 -1.78474732e-11 -1.61294854e-15 
 1.00000000e-02 -1.42702979e-11 -1.81884562e-15 -1.28812495e-11 -1.59294854e-15 
 2.00000000e-02 -1.06723418e-11 -1.79884562e-15 -9.28329344e-12 -1.57294854e-15 
 3.00000000e-02 -7.62322060e-12 -1.77884562e-15 -6.23417220e-12 -1.55294854e-15 
 4.00000000e-02 -5.85731991e-12 -1.75884562e-15 -4.46827152e-12 -1.53294854e-15 
 5.00000000e-02 -4.57846860e-12 -1.73884562e-15 -3.18942020e-12 -1.51294854e-15 
 6.00000000e-02 -3.65244680e-12 -1.71884562e-15 -2.26339840e-12 -1.49294854e-15 
 7.00000000e-02 -2.98199272e-12 -1.69884562e-15 -1.59294432e-12 -1.47294854e-15 
 8.00000000e-02 -2.49663402e-12 -1.67884562e-15 -1.10758562e-12 -1.45294854e-15 
 9.00000000e-02 -2.14531472e-12 -1.65884562e-15 -7.56266320e-13 -1.43294854e-15 
 1.00000000e-01 -1.89104995e-12 -1.63884562e-15 -5.02001549e-13 -1.41294854e-15 
 1.10000000e-01 -1.70705106e-12 -1.61884562e-15 -3.18002661e-13 -1.39294854e-15 
 1.20000000e-01 -1.57391697e-12 -1.59884562e-15 -1.84868577e-13 -1.37294854e-15 
 1.30000000e-01 -1.47759861e-12 -1.57884562e-15 -8.85502126e-14 -1.35294854e-15 
 1.40000000e-01 -1.40792379e-12 -1.55884562e-15 -1.88753919e-14 -1.33294854e-15 
 1.50000000e-01 -1.35752824e-12 -1.53884562e-15  3.15201575e-14 -1.31294854e-15 
 1.60000000e-01 -1.32108124e-12 -1.51884562e-15  6.79671618e-14 -1.29294854e-15 
 1.70000000e-01 -1.29472460e-12 -1.49884562e-15  9.43237985e-14 -1.27294854e-15 
 1.80000000e-01 -1.27566623e-12 -1.47884562e-15  1.13382164e-13 -1.25294854e-15 
 1.90000000e-01 -1.26188588e-12 -1.45884562e-15  1.27162518e-13 -1.23294854e-15 
 2.00000000e-01 -1.25192196e-12 -1.43884562e-15  1.37126443e-13 -1.21294854e-15 
 2.10000000e-01 -1.24471717e-12 -1.41884562e-15  1.44331232e-13 -1.19294854e-15 
 2.20000000e-01 -1.23950679e-12 -1.39884562e-15  1.49541604e-13 -1.17294854e-15 
 2.30000000e-01 -1.23573790e-12 -1.37884562e-15  1.53310498e-13 -1.15294854e-15 
 2.40000000e-01 -1.23301063e-12 -1.35884562e-15  1.56037772e-13 -1.13294854e-15 
 2.50000000e-01 -1.23103591e-12 -1.33884562e-15  1.58012491e-13 -1.11294854e-15 
 2.60000000e-01 -1.22960482e-12 -1.31884562e-15  1.59443578e-13 -1.09294854e-15 
 2.70000000e-01 -1.22856638e-12 -1.29884562e-15  1.60482018e-13 -1.07294854e-15 
 2.80000000e-01 -1.22781144e-12 -1.27884562e-15  1.61236954e-13 -1.05294854e-15 
 2.90000000e-01 -1.22726123e-12 -1.25884562e-15  1.61787169e-13 -1.03294854e-15 
 3.00000000e-01 -1.22685878e-12 -1.23884562e-15  1.62189617e-13 -1.01294854e-15 
 3.10000000e-01 -1.22656296e-12 -1.21884562e-15  1.62485437e-13 -9.92948538e-16 
 3.20000000e-01 -1.22634410e-12 -1.19884562e-15  1.62704300e-13 -9.72948538e-16 
 3.30000000e-01 -1.22618075e-12 -1.17884562e-15  1.62867650e-13 -9.52948538e-16 
 3.40000000e-01 -1.22605744e-12 -1.15884562e-15  1.62990959e-13 -9.32948538e-16 
 3.50000000e-01 -1.22596300e-12 -1.13884562e-15  1.63085399e-13 -9.12948538e-16 
 3.60000000e-01 -1.22588938e-12 -1.11884562e-15  1.63159018e-13 -8.92948538e-16 
 3.70000000e-01 -1.22583077e-12 -1.09884562e-15  1.63217632e-13 -8.72948538e-16 
 3.80000000e-01 -1.22578296e-12 -1.07884562e-15  1.63265433e-13 -8.52948538e-16 
 3.90000000e-01 -1.22574296e-12 -1.05884562e-15  1.63305442e-13 -8.32948538e-16 
 4.00000000e-01 -1.22570856e-12 -1.03884562e-15  1.63339840e-13 -8.12948538e-16 
 4.10000000e-01 -1.22567820e-12 -1.01884562e-15  1.63370196e-13 -7.92948538e-16 
 4.20000000e-01 -1.22565075e-12 -9.98845625e-16  1.63397643e-13 -7.72948538e-16 
 4.30000000e-01 -1.22562540e-12 -9.78845625e-16  1.63422995e-13 -7.52948538e-16 
 4.40000000e-01 -1.22560156e-12 -9.58845625e-16  1.63446841e-13 -7.32948538e-16 
 4.50000000e-01 -1.22557880e-12 -9.38845625e-16  1.63469602e-13 -7.12948538e-16 
 4.60000000e-01 -1.22555681e-12 -9.18845625e-16  1.63491584e-13 -6.92948538e-16 
 4.70000000e-01 -1.22553539e-12 -8.98845625e-16  1.63513005e-13 -6.72948538e-16 
 4.80000000e-01 -1.22551437e-12 -8.78845625e-16  1.63534023e-13 -6.52948538e-16 
 4.90000000e-01 -1.22549365e-12 -8.58845625e-16  1.63554752e-13 -6.32948538e-16 
 5.00000000e-01 -1.22547313e-12 -8.38845625e-16  1.63575272e-13 -6.12948538e-16 
 5.10000000e-01 -1.22545275e-12 -8.18845625e-16  1.63595644e-13 -5.92948538e-16 
 5.20000000e-01 -1.22543249e-12 -7.98845625e-16  1.63615908e-13 -5.72948538e-16 
 5.30000000e-01 -1.22541230e-12 -7.78845625e-16  1.63636095e-13 -5.52948538e-16 
 5.40000000e-01 -1.22539217e-12 -7.58845625e-16  1.63656228e-13 -5.32948538e-16 
 5.50000000e-01 -1.22537208e-12 -7.38845625e-16  1.63676321e-13 -5.12948538e-16 
 5.60000000e-01 -1.22535201e-12 -7.18845625e-16  1.63696385e-13 -4.92948538e-16 
 5.70000000e-01 -1.22533197e-12 -6.98845625e-16  1.63716429e-13 -4.72948538e-16 
 5.80000000e-01 -1.22531194e-12 -6.78845625e-16  1.63736459e-13 -4.52948538e-16 
 5.90000000e-01 -1.22529192e-12 -6.58845625e-16  1.63756479e-13 -4.32948538e-16 
 6.00000000e-01 -1.22527191e-12 -6.38845625e-16  1.63776491e-13 -4.12948538e-16 
 6.10000000e-01 -1.22525190e-12 -6.18845625e-16  1.63796498e-13 -3.92948538e-16 
 6.20000000e-01 -1.22523190e-12 -5.98845625e-16  1.63816502e-13 -3.72948538e-16 
 6.30000000e-01 -1.22521189e-12 -5.78845625e-16  1.63836503e-13 -3.52948538e-16 
 6.40000000e-01 -1.22519190e-12 -5.58845625e-16  1.63856502e-13 -3.32948538e-16 
 6.50000000e-01 -1.22517190e-12 -5.38845625e-16  1.63876501e-13 -3.12948538e-16 
 6.60000000e-01 -1.22515190e-12 -5.18845625e-16  1.63896498e-13 -2.92948538e-16 
 6.70000000e-01 -1.22513190e-12 -4.98845625e-16  1.63916495e-13 -2.72948538e-16 
 6.80000000e-01 -1.22511191e-12 -4.78845625e-16  1.63936492e-13 -2.52948538e-16 
 6.90000000e-01 -1.22509191e-12 -4.58845625e-16  1.63956489e-13 -2.32948538e-16 
 7.00000000e-01 -1.22507191e-12 -4.38845625e-16  1.63976487e-13 -2.12948538e-16 
 7.10000000e-01 -1.22505191e-12 -4.18845625e-16  1.63996484e-13 -1.92948538e-16 
 7.20000000e-01 -1.22503192e-12 -3.98845625e-16  1.64016483e-13 -1.72948538e-16 
 7.30000000e-01 -1.22501192e-12 -3.78845625e-16  1.64036481e-13 -1.52948538e-16 
 7.40000000e-01 -1.22499192e-12 -3.58845625e-16  1.64056481e-13 -1.32948538e-16 
 7.50000000e-01 -1.22497192e-12 -3.38845625e-16  1.64076481e-13 -1.12948538e-16 
 7.60000000e-01 -1.22495192e-12 -3.18845625e-16  1.64096482e-13 -9.29485379e-17 
 7.70000000e-01 -1.22493191e-12 -2.98845625e-16  1.64116484e-13 -7.29485379e-17 
 7.80000000e-01 -1.22491191e-12 -2.78845625e-16  1.64136487e-13 -5.29485379e-17 
 7.90000000e-01 -1.22489191e-12 -2.58845625e-16  1.64156490e-13 -3.29485379e-17 
 8.00000000e-01 -1.22487190e-12 -2.38845625e-16  1.64176495e-13 -1.29485379e-17 
 8.10000000e-01 -1.22485190e-12 -2.18845625e-16  1.64196501e-13  7.05146209e-18 
 8.20000000e-01 -1.22483189e-12 -1.98845625e-16  1.64216508e-13  2.70514621e-17 
 8.30000000e-01 -1.22481188e-12 -1.78845625e-16  1.64236516e-13  4.70514621e-17 
 8.40000000e-01 -1.22479187e-12 -1.58845625e-16  1.64256527e-13  6.70514621e-17 
 8.50000000e-01 -1.22477186e-12 -1.38845625e-16  1.64276541e-13  8.70514621e-17 
 8.60000000e-01 -1.22475184e-12 -1.18845625e-16  1.64296558e-13  1.07051462e-16 
 8.70000000e-01 -1.22473182e-12 -9.88456247e-17  1.64316580e-13  1.27051462e-16 
 8.80000000e-01 -1.22471179e-12 -7.88456247e-17  1.64336608e-13  1.47051462e-16 
 8.90000000e-01 -1.22469175e-12 -5.88456247e-17  1.64356645e-13  1.67051462e-16 
 9.00000000e-01 -1.22467170e-12 -3.88456247e-17  1.64376694e-13  1.87051462e-16 
 9.10000000e-01 -1.22465164e-12 -1.88456247e-17  1.64396760e-13  2.07051462e-16 
 9.20000000e-01 -1.22463155e-12  1.15437534e-18  1.64416849e-13  2.27051462e-16 
 9.30000000e-01 -1.22461143e-12  2.11543753e-17  1.64436969e-13  2.47051462e-16 
 9.40000000e-01 -1.22459127e-12  4.11543753e-17  1.64457132e-13  2.67051462e-16 
 9.50000000e-01 -1.22457104e-12  6.11543753e-17  1.64477354e-13  2.87051462e-16 
 9.60000000e-01 -1.22455074e-12  8.11543753e-17  1.64497657e-13  3.07051462e-16 
 9.70000000e-01 -1.22453033e-12  1.01154375e-16  1.64518073e-13  3.27051462e-16 
 9.80000000e-01 -1.22450976e-12  1.21154375e-16  1.64538642e-13  3.47051462e-16 
 9.90000000e-01 -1.22448898e-12  1.41154375e-16  1.64559422e-13  3.67051462e-16 
 1.00000000e+00 -1.22446790e-12  1.61154375e-16  1.64580493e-13  3.87051462e-16 
 1.01000000e+00 -1.22444643e-12  1.81154375e-16  1.64601964e-13  4.07051462e-16 
 1.02000000e+00 -1.22442441e-12  2.01154375e-16  1.64623985e-13  4.27051462e-16 
 1.03000000e+00 -1.22440164e-12  2.21154375e-16  1.64646760e-13  4.47051462e-16 
 1.04000000e+00 -1.22437782e-12  2.41154375e-16  1.64670574e-13  4.67051462e-16 
 1.05000000e+00 -1.22435258e-12  2.61154375e-16  1.64695813e-13  4.87051462e-16 
 1.06000000e+00 -1.22432538e-12  2.81154376e-16  1.64723013e-13  5.07051462e-16 
 1.07000000e+00 -1.22429549e-12  3.01154376e-16  1.64752905e-13  5.27051462e-16 
 1.08000000e+00 -1.22426190e-12  3.21154376e-16  1.64786496e-13  5.47051463e-16 
 1.09000000e+00 -1.22422323e-12  3.41154376e-16  1.64825168e-13  5.67051463e-16 
 1.10000000e+00 -1.22417758e-12  3.61154377e-16  1.64870818e-13  5.87051464e-16 
 1.11000000e+00 -1.22412235e-12  3.81154378e-16  1.64926051e-13  6.07051465e-16 
 1.12000000e+00 -1.22405395e-12  4.01154380e-16  1.64994444e-13  6.27051467e-16 
 1.13000000e+00 -1.22396750e-12  4.21154383e-16  1.65080903e-13  6.47051470e-16 
 1.14000000e+00 -1.22385623e-12  4.41154388e-16  1.65192165e-13  6.67051475e-16 
 1.15000000e+00 -1.22371092e-12  4.61154397e-16  1.65337478e-13  6.87051484e-16 
 1.16000000e+00 -1.22351888e-12  4.81154412e-16  1.65529518e-13  7.07051499e-16 
 1.17000000e+00 -1.22326271e-12  5.01154437e-16  1.65785691e-13  7.27051523e-16 
 1.18000000e+00 -1.22291853e-12  5.21154478e-16  1.66129870e-13  7.47051565e-16 
 1.19000000e+00 -1.22245360e-12  5.41154548e-16  1.66594802e-13  7.67051634e-16 
 1.20000000e+00 -1.22182299e-12  5.61154663e-16  1.67225403e-13  7.87051750e-16 
 1.21000000e+00 -1.22096514e-12  5.81154855e-16  1.68083256e-13  8.07051942e-16 
 1.22000000e+00 -1.21979557e-12  6.01155172e-16  1.69252828e-13  8.27052259e-16 
 1.23000000e+00 -1.21819848e-12  6.21155697e-16  1.70849916e-13  8.47052784e-16 
 1.24000000e+00 -1.21601511e-12  6.41156561e-16  1.73033284e-13  8.67053648e-16 
 1.25000000e+00 -1.21302785e-12  6.61157981e-16  1.76020551e-13  8.87055067e-16 
 1.26000000e+00 -1.20893839e-12  6.81160309e-16  1.80110004e-13  9.07057395e-16 
 1.27000000e+00 -1.20333794e-12  7.01164115e-16  1.85710458e-13  9.27061202e-16 
 1.28000000e+00 -1.19566628e-12  7.21170324e-16  1.93382115e-13  9.47067411e-16 
 1.29000000e+00 -1.18515581e-12  7.41180426e-16  2.03892591e-13  9.67077512e-16 
 1.30000000e+00 -1.17075483e-12  7.61196819e-16  2.18293564e-13  9.87093905e-16 
 1.31000000e+00 -1.15102267e-12  7.81223354e-16  2.38025725e-13  1.00712044e-15 
 1.32000000e+00 -1.12398587e-12  8.01266196e-16  2.65062527e-13  1.02716328e-15 
