 time            v(clk)          v(vinp)         v(vinn)         v(vs)           v(vcpp)         v(vcpn)         v(voutp_comp)   v(voutn_comp)   v(vout)        
 8.91200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579623e-07  1.62579539e-07  1.36167064e-07 
 9.31200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579966e-07  1.62580035e-07  1.36164313e-07 
 9.71200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579632e-07  1.62579553e-07  1.36167047e-07 
 1.01120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579959e-07  1.62580023e-07  1.36164332e-07 
 1.05120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579638e-07  1.62579562e-07  1.36167019e-07 
 1.09120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579953e-07  1.62580016e-07  1.36164369e-07 
 1.13120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579642e-07  1.62579572e-07  1.36166986e-07 
 1.17120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579949e-07  1.62580005e-07  1.36164386e-07 
 1.21120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579646e-07  1.62579580e-07  1.36166968e-07 
 1.25120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579944e-07  1.62579999e-07  1.36164418e-07 
 1.29120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579650e-07  1.62579586e-07  1.36166930e-07 
 1.33120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579942e-07  1.62579992e-07  1.36164444e-07 
 1.37120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579652e-07  1.62579593e-07  1.36166913e-07 
 1.41120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579940e-07  1.62579986e-07  1.36164469e-07 
 1.45120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579656e-07  1.62579599e-07  1.36166888e-07 
 1.49120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579936e-07  1.62579981e-07  1.36164494e-07 
 1.53120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579659e-07  1.62579604e-07  1.36166856e-07 
 1.57120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579933e-07  1.62579976e-07  1.36164523e-07 
 1.61120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579665e-07  1.62579607e-07  1.36166836e-07 
 1.65120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579928e-07  1.62579972e-07  1.36164547e-07 
 1.69120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579666e-07  1.62579614e-07  1.36166806e-07 
 1.73120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579925e-07  1.62579965e-07  1.36164569e-07 
 1.77120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579671e-07  1.62579619e-07  1.36166790e-07 
 1.81120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579922e-07  1.62579961e-07  1.36164597e-07 
 1.85120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579672e-07  1.62579621e-07  1.36166761e-07 
 1.89120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579920e-07  1.62579959e-07  1.36164608e-07 
 1.93120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579677e-07  1.62579624e-07  1.36166742e-07 
 1.97120000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579916e-07  1.62579956e-07  1.36164638e-07 
 2.00000000e-09  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579680e-07  1.62579633e-07  1.36166714e-07 
 2.00100000e-09  1.50000000e-01  7.60000000e-01  7.50000000e-01  7.26611737e-01  1.50040534e+00  1.50040534e+00  2.15596867e-03  2.15606460e-03  9.74451866e-06 
 2.00300000e-09  4.50000000e-01  7.60000000e-01  7.50000000e-01  7.88153863e-01  1.50121427e+00  1.50121427e+00  5.62172803e-03  5.62182039e-03  1.65537374e-05 
 2.00700000e-09  1.05000000e+00  7.60000000e-01  7.50000000e-01  7.78931926e-01  1.50273282e+00  1.50273280e+00  4.61313688e-03  4.61289581e-03 -1.54090549e-05 
 2.01000000e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  5.28300434e-01  1.50346381e+00  1.50346377e+00 -6.59592679e-03 -6.59622607e-03 -4.78002326e-05 
 2.01080000e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  4.08600176e-01  1.50344665e+00  1.50344657e+00 -1.23423065e-02 -1.23425972e-02 -5.60745340e-05 
 2.01240000e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.19017784e-01  1.50341458e+00  1.50341323e+00 -2.28007403e-02 -2.28007891e-02 -5.56595206e-05 
 2.01560000e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  7.56715251e-02  1.50316769e+00  1.50314464e+00 -3.87153450e-02 -3.87141439e-02 -7.56007904e-06 
 2.02200000e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  6.01460225e-02  1.50209868e+00  1.50199909e+00 -7.39684520e-02 -7.39643641e-02  1.56705257e-05 
 2.02931949e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  6.54138513e-02  1.50083922e+00  1.50065006e+00 -1.02118377e-01 -1.02109403e-01  3.60555721e-05 
 2.04149201e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  6.50626319e-02  1.49888487e+00  1.49854807e+00 -1.07969135e-01 -1.07952342e-01  1.95519955e-05 
 2.06583704e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  6.86452829e-02  1.49501975e+00  1.49439138e+00 -1.05697609e-01 -1.05665096e-01 -3.58166463e-05 
 2.08786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  7.07958676e-02  1.49161316e+00  1.49072486e+00 -1.07371391e-01 -1.07324309e-01  2.25132287e-05 
 2.12786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  7.52694233e-02  1.48560399e+00  1.48425377e+00 -1.06962980e-01 -1.06891164e-01 -1.44714875e-05 
 2.16786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  7.96329315e-02  1.47983351e+00  1.47803308e+00 -1.07993626e-01 -1.07896842e-01  9.69860084e-06 
 2.20786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  8.35396746e-02  1.47427629e+00  1.47203771e+00 -1.07973198e-01 -1.07852823e-01 -6.11650180e-06 
 2.24786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  8.78850539e-02  1.46893115e+00  1.46626520e+00 -1.08666321e-01 -1.08522277e-01  4.23660828e-06 
 2.28786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  9.13297815e-02  1.46377669e+00  1.46069459e+00 -1.08840854e-01 -1.08674294e-01 -2.58015750e-06 
 2.32786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  9.56130179e-02  1.45881160e+00  1.45532327e+00 -1.09342315e-01 -1.09153315e-01  1.97389996e-06 
 2.36786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  9.86784447e-02  1.45401740e+00  1.45013329e+00 -1.09610996e-01 -1.09400507e-01 -1.15380654e-06 
 2.40786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.02869296e-01  1.44939303e+00  1.44512229e+00 -1.09999327e-01 -1.09767558e-01  1.09340437e-06 
 2.44786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.05620846e-01  1.44492222e+00  1.44027458e+00 -1.10309076e-01 -1.10056810e-01 -6.26922620e-07 
 2.48786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.09699410e-01  1.44060431e+00  1.43558821e+00 -1.10627371e-01 -1.10354921e-01  7.93146950e-07 
 2.52786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.12188942e-01  1.43642475e+00  1.43104927e+00 -1.10950290e-01 -1.10658314e-01 -4.69555957e-07 
 2.56786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.16143023e-01  1.43238336e+00  1.42665630e+00 -1.11222646e-01 -1.10911526e-01  7.23656743e-07 
 2.60786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.18411757e-01  1.42846695e+00  1.42239679e+00 -1.11544236e-01 -1.11214545e-01 -4.52028224e-07 
 2.64786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.22234841e-01  1.42467581e+00  1.41826978e+00 -1.11784429e-01 -1.11436593e-01  7.34902208e-07 
 2.68786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.24315664e-01  1.42099788e+00  1.41426388e+00 -1.12097342e-01 -1.11731879e-01 -4.77312737e-07 
 2.72786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.28005355e-01  1.41743391e+00  1.41037864e+00 -1.12313470e-01 -1.11930832e-01  7.65099815e-07 
 2.76786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.29924635e-01  1.41397274e+00  1.40660359e+00 -1.12614169e-01 -1.12214845e-01 -5.06980036e-07 
 2.80786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.33481460e-01  1.41061554e+00  1.40293876e+00 -1.12811158e-01 -1.12395611e-01  7.91195407e-07 
 2.84786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.35259536e-01  1.40735231e+00  1.39937476e+00 -1.13098130e-01 -1.12666843e-01 -5.27990507e-07 
 2.88786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.38678658e-01  1.40418461e+00  1.39591215e+00 -1.13278966e-01 -1.12832415e-01  8.06591343e-07 
 2.92786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.40340077e-01  1.40110220e+00  1.39254128e+00 -1.13551593e-01 -1.13090257e-01 -5.37803982e-07 
 2.96786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.43635169e-01  1.39810709e+00  1.38926312e+00 -1.13718494e-01 -1.13242844e-01  8.11156837e-07 
 3.00786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.45185920e-01  1.39518998e+00  1.38606901e+00 -1.13977038e-01 -1.13487562e-01 -5.37629002e-07 
