 time            v(clk)          v(vs)           v(vctail)       v(vcpp)         v(vcpn)         v(voutp)        v(voutn)       
 8.99827305e-08  1.50000000e+00  3.91285519e-01  3.91077807e-01  1.14361955e+00  1.09698079e+00  1.49992514e+00  1.47635180e-06 
 9.00227305e-08  1.50000000e+00  3.91300846e-01  3.91093231e-01  1.14360573e+00  1.09696373e+00  1.49992522e+00  1.47183694e-06 
 9.00627305e-08  1.50000000e+00  3.91316164e-01  3.91108648e-01  1.14359192e+00  1.09694668e+00  1.49992530e+00  1.47335595e-06 
 9.01027305e-08  1.50000000e+00  3.91331475e-01  3.91124057e-01  1.14357811e+00  1.09692964e+00  1.49992537e+00  1.46885056e-06 
 9.01427305e-08  1.50000000e+00  3.91346777e-01  3.91139458e-01  1.14356431e+00  1.09691261e+00  1.49992545e+00  1.47037329e-06 
 9.01827305e-08  1.50000000e+00  3.91362074e-01  3.91154852e-01  1.14355052e+00  1.09689559e+00  1.49992553e+00  1.46587735e-06 
 9.02227305e-08  1.50000000e+00  3.91377360e-01  3.91170237e-01  1.14353673e+00  1.09687857e+00  1.49992561e+00  1.46740375e-06 
 9.02627305e-08  1.50000000e+00  3.91392641e-01  3.91185615e-01  1.14352296e+00  1.09686157e+00  1.49992569e+00  1.46291720e-06 
 9.03027305e-08  1.50000000e+00  3.91407912e-01  3.91200985e-01  1.14350918e+00  1.09684457e+00  1.49992577e+00  1.46444725e-06 
 9.03427305e-08  1.50000000e+00  3.91423178e-01  3.91216348e-01  1.14349542e+00  1.09682758e+00  1.49992584e+00  1.45997004e-06 
 9.03827305e-08  1.50000000e+00  3.91438434e-01  3.91231702e-01  1.14348166e+00  1.09681060e+00  1.49992592e+00  1.46150368e-06 
 9.04227305e-08  1.50000000e+00  3.91453684e-01  3.91247049e-01  1.14346791e+00  1.09679363e+00  1.49992600e+00  1.45703577e-06 
 9.04627305e-08  1.50000000e+00  3.91468925e-01  3.91262388e-01  1.14345417e+00  1.09677667e+00  1.49992608e+00  1.45857296e-06 
 9.05027305e-08  1.50000000e+00  3.91484160e-01  3.91277720e-01  1.14344043e+00  1.09675972e+00  1.49992615e+00  1.45411431e-06 
 9.05427305e-08  1.50000000e+00  3.91499385e-01  3.91293043e-01  1.14342670e+00  1.09674277e+00  1.49992623e+00  1.45565503e-06 
 9.05827305e-08  1.50000000e+00  3.91514605e-01  3.91308359e-01  1.14341298e+00  1.09672583e+00  1.49992630e+00  1.45120559e-06 
 9.06227305e-08  1.50000000e+00  3.91529815e-01  3.91323668e-01  1.14339926e+00  1.09670890e+00  1.49992638e+00  1.45274978e-06 
 9.06627305e-08  1.50000000e+00  3.91545020e-01  3.91338968e-01  1.14338556e+00  1.09669199e+00  1.49992646e+00  1.44830951e-06 
 9.07027305e-08  1.50000000e+00  3.91560215e-01  3.91354261e-01  1.14337185e+00  1.09667507e+00  1.49992654e+00  1.44985714e-06 
 9.07427305e-08  1.50000000e+00  3.91575405e-01  3.91369547e-01  1.14335816e+00  1.09665817e+00  1.49992661e+00  1.44542599e-06 
 9.07827305e-08  1.50000000e+00  3.91590584e-01  3.91384824e-01  1.14334447e+00  1.09664127e+00  1.49992669e+00  1.44697704e-06 
 9.08227305e-08  1.50000000e+00  3.91605759e-01  3.91400094e-01  1.14333079e+00  1.09662439e+00  1.49992676e+00  1.44255497e-06 
 9.08627305e-08  1.50000000e+00  3.91620923e-01  3.91415356e-01  1.14331711e+00  1.09660751e+00  1.49992684e+00  1.44410937e-06 
 9.09027305e-08  1.50000000e+00  3.91636083e-01  3.91430611e-01  1.14330345e+00  1.09659065e+00  1.49992691e+00  1.43969634e-06 
 9.09427305e-08  1.50000000e+00  3.91651232e-01  3.91445858e-01  1.14328978e+00  1.09657378e+00  1.49992699e+00  1.44125406e-06 
 9.09827305e-08  1.50000000e+00  3.91666376e-01  3.91461098e-01  1.14327613e+00  1.09655693e+00  1.49992706e+00  1.43685002e-06 
 9.10227305e-08  1.50000000e+00  3.91681511e-01  3.91476329e-01  1.14326248e+00  1.09654009e+00  1.49992714e+00  1.43841104e-06 
 9.10627305e-08  1.50000000e+00  3.91696640e-01  3.91491554e-01  1.14324885e+00  1.09652326e+00  1.49992721e+00  1.43401595e-06 
 9.11027305e-08  1.50000000e+00  3.91711760e-01  3.91506770e-01  1.14323521e+00  1.09650642e+00  1.49992729e+00  1.43558022e-06 
 9.11427305e-08  1.50000000e+00  3.91726874e-01  3.91521979e-01  1.14322159e+00  1.09648961e+00  1.49992736e+00  1.43119404e-06 
 9.11827305e-08  1.50000000e+00  3.91741978e-01  3.91537180e-01  1.14320796e+00  1.09647280e+00  1.49992744e+00  1.43276152e-06 
 9.12227305e-08  1.50000000e+00  3.91757077e-01  3.91552374e-01  1.14319435e+00  1.09645600e+00  1.49992751e+00  1.42838420e-06 
 9.12627305e-08  1.50000000e+00  3.91772167e-01  3.91567560e-01  1.14318075e+00  1.09643920e+00  1.49992759e+00  1.42995487e-06 
 9.13027305e-08  1.50000000e+00  3.91787251e-01  3.91582739e-01  1.14316715e+00  1.09642242e+00  1.49992766e+00  1.42558638e-06 
 9.13427305e-08  1.50000000e+00  3.91802325e-01  3.91597910e-01  1.14315355e+00  1.09640564e+00  1.49992774e+00  1.42716019e-06 
 9.13827305e-08  1.50000000e+00  3.91817395e-01  3.91613074e-01  1.14313997e+00  1.09638888e+00  1.49992781e+00  1.42280050e-06 
 9.14227305e-08  1.50000000e+00  3.91832454e-01  3.91628230e-01  1.14312639e+00  1.09637212e+00  1.49992788e+00  1.42437741e-06 
 9.14627305e-08  1.50000000e+00  3.91847509e-01  3.91643378e-01  1.14311282e+00  1.09635537e+00  1.49992795e+00  1.42002645e-06 
 9.15027305e-08  1.50000000e+00  3.91862553e-01  3.91658519e-01  1.14309925e+00  1.09633862e+00  1.49992803e+00  1.42160644e-06 
 9.15427305e-08  1.50000000e+00  3.91877593e-01  3.91673652e-01  1.14308570e+00  1.09632189e+00  1.49992810e+00  1.41726419e-06 
 9.15827305e-08  1.50000000e+00  3.91892623e-01  3.91688778e-01  1.14307214e+00  1.09630516e+00  1.49992818e+00  1.41884721e-06 
 9.16227305e-08  1.50000000e+00  3.91907647e-01  3.91703897e-01  1.14305860e+00  1.09628845e+00  1.49992824e+00  1.41451362e-06 
 9.16627305e-08  1.50000000e+00  3.91922662e-01  3.91719007e-01  1.14304506e+00  1.09627173e+00  1.49992832e+00  1.41609965e-06 
 9.17027305e-08  1.50000000e+00  3.91937672e-01  3.91734111e-01  1.14303153e+00  1.09625504e+00  1.49992839e+00  1.41177468e-06 
 9.17427305e-08  1.50000000e+00  3.91952672e-01  3.91749207e-01  1.14301800e+00  1.09623834e+00  1.49992847e+00  1.41336368e-06 
 9.17827305e-08  1.50000000e+00  3.91967667e-01  3.91764295e-01  1.14300449e+00  1.09622166e+00  1.49992853e+00  1.40904729e-06 
 9.18227305e-08  1.50000000e+00  3.91982653e-01  3.91779376e-01  1.14299098e+00  1.09620498e+00  1.49992861e+00  1.41063923e-06 
 9.18627305e-08  1.50000000e+00  3.91997633e-01  3.91794449e-01  1.14297748e+00  1.09618832e+00  1.49992868e+00  1.40633139e-06 
 9.19027305e-08  1.50000000e+00  3.92012604e-01  3.91809515e-01  1.14296397e+00  1.09617165e+00  1.49992875e+00  1.40792623e-06 
 9.19427305e-08  1.50000000e+00  3.92027569e-01  3.91824574e-01  1.14295049e+00  1.09615501e+00  1.49992882e+00  1.40362689e-06 
 9.19827305e-08  1.50000000e+00  3.92042525e-01  3.91839625e-01  1.14293700e+00  1.09613836e+00  1.49992890e+00  1.40522459e-06 
 9.20227305e-08  1.50000000e+00  3.92057476e-01  3.91854669e-01  1.14292352e+00  1.09612173e+00  1.49992896e+00  1.40093371e-06 
 9.20627305e-08  1.50000000e+00  3.92072417e-01  3.91869705e-01  1.14291005e+00  1.09610510e+00  1.49992904e+00  1.40253426e-06 
 9.21027305e-08  1.50000000e+00  3.92087354e-01  3.91884734e-01  1.14289659e+00  1.09608848e+00  1.49992911e+00  1.39825183e-06 
 9.21427305e-08  1.50000000e+00  3.92102280e-01  3.91899755e-01  1.14288313e+00  1.09607187e+00  1.49992918e+00  1.39985516e-06 
 9.21827305e-08  1.50000000e+00  3.92117202e-01  3.91914769e-01  1.14286968e+00  1.09605527e+00  1.49992925e+00  1.39558112e-06 
 9.22227305e-08  1.50000000e+00  3.92132114e-01  3.91929776e-01  1.14285623e+00  1.09603868e+00  1.49992932e+00  1.39718723e-06 
 9.22627305e-08  1.50000000e+00  3.92147021e-01  3.91944775e-01  1.14284280e+00  1.09602209e+00  1.49992939e+00  1.39292154e-06 
 9.23027305e-08  1.50000000e+00  3.92161918e-01  3.91959767e-01  1.14282936e+00  1.09600551e+00  1.49992946e+00  1.39453039e-06 
 9.23427305e-08  1.50000000e+00  3.92176810e-01  3.91974751e-01  1.14281594e+00  1.09598895e+00  1.49992953e+00  1.39027301e-06 
 9.23827305e-08  1.50000000e+00  3.92191693e-01  3.91989728e-01  1.14280252e+00  1.09597238e+00  1.49992960e+00  1.39188456e-06 
 9.24227305e-08  1.50000000e+00  3.92206571e-01  3.92004698e-01  1.14278912e+00  1.09595583e+00  1.49992967e+00  1.38763546e-06 
 9.24627305e-08  1.50000000e+00  3.92221439e-01  3.92019660e-01  1.14277571e+00  1.09593929e+00  1.49992974e+00  1.38924969e-06 
 9.25027305e-08  1.50000000e+00  3.92236302e-01  3.92034615e-01  1.14276231e+00  1.09592275e+00  1.49992981e+00  1.38500883e-06 
 9.25427305e-08  1.50000000e+00  3.92251156e-01  3.92049563e-01  1.14274892e+00  1.09590622e+00  1.49992988e+00  1.38662570e-06 
 9.25827305e-08  1.50000000e+00  3.92266005e-01  3.92064503e-01  1.14273554e+00  1.09588971e+00  1.49992995e+00  1.38239305e-06 
 9.26227305e-08  1.50000000e+00  3.92280844e-01  3.92079436e-01  1.14272216e+00  1.09587319e+00  1.49993002e+00  1.38401253e-06 
 9.26627305e-08  1.50000000e+00  3.92295678e-01  3.92094362e-01  1.14270879e+00  1.09585669e+00  1.49993009e+00  1.37978804e-06 
 9.27027305e-08  1.50000000e+00  3.92310503e-01  3.92109280e-01  1.14269542e+00  1.09584019e+00  1.49993016e+00  1.38141011e-06 
 9.27427305e-08  1.50000000e+00  3.92325323e-01  3.92124191e-01  1.14268207e+00  1.09582371e+00  1.49993023e+00  1.37719376e-06 
 9.27827305e-08  1.50000000e+00  3.92340133e-01  3.92139095e-01  1.14266871e+00  1.09580722e+00  1.49993030e+00  1.37881837e-06 
 9.28227305e-08  1.50000000e+00  3.92354939e-01  3.92153991e-01  1.14265537e+00  1.09579076e+00  1.49993036e+00  1.37461012e-06 
 9.28627305e-08  1.50000000e+00  3.92369734e-01  3.92168880e-01  1.14264203e+00  1.09577429e+00  1.49993043e+00  1.37623726e-06 
 9.29027305e-08  1.50000000e+00  3.92384525e-01  3.92183762e-01  1.14262870e+00  1.09575784e+00  1.49993050e+00  1.37203706e-06 
 9.29427305e-08  1.50000000e+00  3.92399307e-01  3.92198637e-01  1.14261537e+00  1.09574139e+00  1.49993057e+00  1.37366668e-06 
 9.29827305e-08  1.50000000e+00  3.92414084e-01  3.92213504e-01  1.14260205e+00  1.09572495e+00  1.49993064e+00  1.36947453e-06 
 9.30227305e-08  1.50000000e+00  3.92428851e-01  3.92228364e-01  1.14258874e+00  1.09570852e+00  1.49993071e+00  1.37110661e-06 
 9.30627305e-08  1.50000000e+00  3.92443613e-01  3.92243217e-01  1.14257544e+00  1.09569210e+00  1.49993077e+00  1.36692244e-06 
 9.31027305e-08  1.50000000e+00  3.92458366e-01  3.92258063e-01  1.14256213e+00  1.09567568e+00  1.49993084e+00  1.36855695e-06 
 9.31427305e-08  1.50000000e+00  3.92473114e-01  3.92272901e-01  1.14254884e+00  1.09565928e+00  1.49993091e+00  1.36438073e-06 
 9.31827305e-08  1.50000000e+00  3.92487852e-01  3.92287732e-01  1.14253555e+00  1.09564288e+00  1.49993098e+00  1.36601765e-06 
 9.32227305e-08  1.50000000e+00  3.92502586e-01  3.92302556e-01  1.14252228e+00  1.09562649e+00  1.49993104e+00  1.36184936e-06 
 9.32627305e-08  1.50000000e+00  3.92517310e-01  3.92317373e-01  1.14250900e+00  1.09561010e+00  1.49993111e+00  1.36348865e-06 
 9.33027305e-08  1.50000000e+00  3.92532030e-01  3.92332182e-01  1.14249574e+00  1.09559373e+00  1.49993118e+00  1.35932825e-06 
 9.33427305e-08  1.50000000e+00  3.92546740e-01  3.92346984e-01  1.14248247e+00  1.09557736e+00  1.49993125e+00  1.36096988e-06 
 9.33827305e-08  1.50000000e+00  3.92561445e-01  3.92361779e-01  1.14246922e+00  1.09556101e+00  1.49993131e+00  1.35681734e-06 
 9.34227305e-08  1.50000000e+00  3.92576141e-01  3.92376567e-01  1.14245597e+00  1.09554465e+00  1.49993138e+00  1.35846128e-06 
 9.34627305e-08  1.50000000e+00  3.92590832e-01  3.92391348e-01  1.14244274e+00  1.09552831e+00  1.49993144e+00  1.35431656e-06 
 9.35027305e-08  1.50000000e+00  3.92605513e-01  3.92406121e-01  1.14242950e+00  1.09551197e+00  1.49993151e+00  1.35596280e-06 
 9.35427305e-08  1.50000000e+00  3.92620190e-01  3.92420888e-01  1.14241627e+00  1.09549565e+00  1.49993158e+00  1.35182586e-06 
 9.35827305e-08  1.50000000e+00  3.92634858e-01  3.92435647e-01  1.14240305e+00  1.09547933e+00  1.49993164e+00  1.35347436e-06 
 9.36227305e-08  1.50000000e+00  3.92649520e-01  3.92450399e-01  1.14238984e+00  1.09546302e+00  1.49993171e+00  1.34934517e-06 
 9.36627305e-08  1.50000000e+00  3.92664174e-01  3.92465144e-01  1.14237662e+00  1.09544671e+00  1.49993178e+00  1.35099590e-06 
