 time            v(VDD)          v(Vbias)        v(bias_en)      v(Vsu)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.00000000e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 8.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.60000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.20000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 6.40000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.05000000e-06  7.50000000e-04  4.33634752e-07  7.50000000e-04  2.51671516e-05 
 1.15000000e-06  2.25000000e-03  1.36300967e-06  2.25000000e-03  7.64438612e-05 
 1.35000000e-06  5.25000000e-03  3.53289261e-06  5.25000000e-03  1.84197288e-04 
 1.75000000e-06  1.12500000e-02  8.52456616e-06  1.12500000e-02  4.16643887e-04 
 2.25000000e-06  1.87500000e-02  1.51276126e-05  1.87500000e-02  7.32458595e-04 
 2.75000000e-06  2.62500000e-02  2.16009886e-05  2.62500000e-02  1.07073970e-03 
 3.25000000e-06  3.37500000e-02  2.78103404e-05  3.37500000e-02  1.42850514e-03 
 3.75000000e-06  4.12500000e-02  3.37783536e-05  4.12500000e-02  1.80503125e-03 
 4.25000000e-06  4.87500000e-02  3.95603855e-05  4.87500000e-02  2.20117899e-03 
 4.75000000e-06  5.62500000e-02  4.52128321e-05  5.62500000e-02  2.61909804e-03 
 5.25000000e-06  6.37500000e-02  5.07856373e-05  6.37500000e-02  3.06221554e-03 
 5.75000000e-06  7.12500000e-02  5.63212483e-05  7.12500000e-02  3.53546163e-03 
