 v-sweep         v(vout_comp)    v(vinp)         v(vinn)         v(dvout_comp)  
 7.50067000e-01  2.28617791e-11  7.50067000e-01  7.50000000e-01  6.09724676e-07 
 7.50068000e-01  2.34797426e-11  7.50068000e-01  7.50000000e-01  6.26232490e-07 
 7.50069000e-01  2.41142439e-11  7.50069000e-01  7.50000000e-01  6.43141093e-07 
 7.50070000e-01  2.47660248e-11  7.50070000e-01  7.50000000e-01  6.60493781e-07 
 7.50071000e-01  2.54352317e-11  7.50071000e-01  7.50000000e-01  6.78266125e-07 
 7.50072000e-01  2.61225575e-11  7.50072000e-01  7.50000000e-01  6.96713999e-07 
 7.50073000e-01  2.68286593e-11  7.50073000e-01  7.50000000e-01  7.15614331e-07 
 7.50074000e-01  2.75537859e-11  7.50074000e-01  7.50000000e-01  7.34852168e-07 
 7.50075000e-01  2.82983637e-11  7.50075000e-01  7.50000000e-01  7.54677306e-07 
 7.50076000e-01  2.90631408e-11  7.50076000e-01  7.50000000e-01  7.75055332e-07 
 7.50077000e-01  2.98484748e-11  7.50077000e-01  7.50000000e-01  7.96074539e-07 
 7.50078000e-01  3.06552894e-11  7.50078000e-01  7.50000000e-01  8.17623847e-07 
 7.50079000e-01  3.14837223e-11  7.50079000e-01  7.50000000e-01  8.39623904e-07 
 7.50080000e-01  3.23345373e-11  7.50080000e-01  7.50000000e-01  8.62390006e-07 
 7.50081000e-01  3.32085026e-11  7.50081000e-01  7.50000000e-01  8.85677911e-07 
 7.50082000e-01  3.41058937e-11  7.50082000e-01  7.50000000e-01  9.09585981e-07 
 7.50083000e-01  3.50276741e-11  7.50083000e-01  7.50000000e-01  9.34159522e-07 
 7.50084000e-01  3.59742125e-11  7.50084000e-01  7.50000000e-01  9.59394750e-07 
 7.50085000e-01  3.69464637e-11  7.50085000e-01  7.50000000e-01  9.85322751e-07 
 7.50086000e-01  3.79448584e-11  7.50086000e-01  7.50000000e-01  1.01197905e-06 
 7.50087000e-01  3.89704224e-11  7.50087000e-01  7.50000000e-01  1.03936441e-06 
 7.50088000e-01  4.00235867e-11  7.50088000e-01  7.50000000e-01  1.06742404e-06 
 7.50089000e-01  4.11052703e-11  7.50089000e-01  7.50000000e-01  1.09627635e-06 
 7.50090000e-01  4.22161395e-11  7.50090000e-01  7.50000000e-01  1.12594578e-06 
 7.50091000e-01  4.33571623e-11  7.50091000e-01  7.50000000e-01  1.15634658e-06 
 7.50092000e-01  4.45288317e-11  7.50092000e-01  7.50000000e-01  1.18753924e-06 
 7.50093000e-01  4.57322402e-11  7.50093000e-01  7.50000000e-01  1.21971354e-06 
 7.50094000e-01  4.69682604e-11  7.50094000e-01  7.50000000e-01  1.25264680e-06 
 7.50095000e-01  4.82375340e-11  7.50095000e-01  7.50000000e-01  1.28646717e-06 
 7.50096000e-01  4.95411934e-11  7.50096000e-01  7.50000000e-01  1.32126360e-06 
 7.50097000e-01  5.08800602e-11  7.50097000e-01  7.50000000e-01  1.35690723e-06 
 7.50098000e-01  5.22550092e-11  7.50098000e-01  7.50000000e-01  1.39360090e-06 
 7.50099000e-01  5.36672617e-11  7.50099000e-01  7.50000000e-01  1.43134161e-06 
 7.50100000e-01  5.51176926e-11  7.50100000e-01  7.50000000e-01  1.46995051e-06 
 7.50101000e-01  5.66071634e-11  7.50101000e-01  7.50000000e-01  1.50969959e-06 
 7.50102000e-01  5.81370907e-11  7.50102000e-01  7.50000000e-01  1.55053115e-06 
 7.50103000e-01  5.97082250e-11  7.50103000e-01  7.50000000e-01  1.59239410e-06 
 7.50104000e-01  6.13218787e-11  7.50104000e-01  7.50000000e-01  1.63546052e-06 
 7.50105000e-01  6.29791463e-11  7.50105000e-01  7.50000000e-01  1.67967934e-06 
 7.50106000e-01  6.46812381e-11  7.50106000e-01  7.50000000e-01  1.72501947e-06 
 7.50107000e-01  6.64291866e-11  7.50107000e-01  7.50000000e-01  1.77161545e-06 
 7.50108000e-01  6.82244683e-11  7.50108000e-01  7.50000000e-01  1.81952686e-06 
 7.50109000e-01  7.00682401e-11  7.50109000e-01  7.50000000e-01  1.86873277e-06 
 7.50110000e-01  7.19619342e-11  7.50110000e-01  7.50000000e-01  1.91927538e-06 
 7.50111000e-01  7.39067918e-11  7.50111000e-01  7.50000000e-01  1.97106400e-06 
 7.50112000e-01  7.59040608e-11  7.50112000e-01  7.50000000e-01  2.02431667e-06 
 7.50113000e-01  7.79554243e-11  7.50113000e-01  7.50000000e-01  2.07902440e-06 
 7.50114000e-01  8.00621125e-11  7.50114000e-01  7.50000000e-01  2.13524953e-06 
 7.50115000e-01  8.22259239e-11  7.50115000e-01  7.50000000e-01  2.19297464e-06 
 7.50116000e-01  8.44480597e-11  7.50116000e-01  7.50000000e-01  2.25215256e-06 
 7.50117000e-01  8.67302275e-11  7.50117000e-01  7.50000000e-01  2.31308904e-06 
 7.50118000e-01  8.90742369e-11  7.50118000e-01  7.50000000e-01  2.37564199e-06 
 7.50119000e-01  9.14815113e-11  7.50119000e-01  7.50000000e-01  2.43981474e-06 
 7.50120000e-01  9.39538669e-11  7.50120000e-01  7.50000000e-01  2.50569499e-06 
 7.50121000e-01  9.64929026e-11  7.50121000e-01  7.50000000e-01  2.57341486e-06 
 7.50122000e-01  9.91006988e-11  7.50122000e-01  7.50000000e-01  2.64303292e-06 
 7.50123000e-01  1.01778967e-10  7.50123000e-01  7.50000000e-01  2.71444984e-06 
 7.50124000e-01  1.04529598e-10  7.50124000e-01  7.50000000e-01  2.78777633e-06 
 7.50125000e-01  1.07354521e-10  7.50125000e-01  7.50000000e-01  2.86315993e-06 
 7.50126000e-01  1.10255916e-10  7.50126000e-01  7.50000000e-01  2.94046879e-06 
 7.50127000e-01  1.13235457e-10  7.50127000e-01  7.50000000e-01  3.01997474e-06 
 7.50128000e-01  1.16295869e-10  7.50128000e-01  7.50000000e-01  3.10168118e-06 
 7.50129000e-01  1.19438819e-10  7.50129000e-01  7.50000000e-01  3.18533725e-06 
 7.50130000e-01  1.22666539e-10  7.50130000e-01  7.50000000e-01  3.27149103e-06 
 7.50131000e-01  1.25981803e-10  7.50131000e-01  7.50000000e-01  3.35996751e-06 
 7.50132000e-01  1.29386477e-10  7.50132000e-01  7.50000000e-01  3.45062254e-06 
 7.50133000e-01  1.32883047e-10  7.50133000e-01  7.50000000e-01  3.54392516e-06 
 7.50134000e-01  1.36474327e-10  7.50134000e-01  7.50000000e-01  3.63975019e-06 
 7.50135000e-01  1.40162548e-10  7.50135000e-01  7.50000000e-01  3.73812480e-06 
 7.50136000e-01  1.43950574e-10  7.50136000e-01  7.50000000e-01  3.83920563e-06 
 7.50137000e-01  1.47840957e-10  7.50137000e-01  7.50000000e-01  3.94292363e-06 
 7.50138000e-01  1.51836426e-10  7.50138000e-01  7.50000000e-01  4.04940522e-06 
 7.50139000e-01  1.55939768e-10  7.50139000e-01  7.50000000e-01  4.15888011e-06 
 7.50140000e-01  1.60154181e-10  7.50140000e-01  7.50000000e-01  4.27128423e-06 
 7.50141000e-01  1.64482339e-10  7.50141000e-01  7.50000000e-01  4.38676338e-06 
 7.50142000e-01  1.68927712e-10  7.50142000e-01  7.50000000e-01  4.50527896e-06 
 7.50143000e-01  1.73492896e-10  7.50143000e-01  7.50000000e-01  4.62697538e-06 
 7.50144000e-01  1.78181663e-10  7.50144000e-01  7.50000000e-01  4.75205128e-06 
 7.50145000e-01  1.82997000e-10  7.50145000e-01  7.50000000e-01  4.88050694e-06 
 7.50146000e-01  1.87942673e-10  7.50146000e-01  7.50000000e-01  5.01244515e-06 
 7.50147000e-01  1.93021887e-10  7.50147000e-01  7.50000000e-01  5.14784943e-06 
 7.50148000e-01  1.98238370e-10  7.50148000e-01  7.50000000e-01  5.28697070e-06 
 7.50149000e-01  2.03595829e-10  7.50149000e-01  7.50000000e-01  5.42984004e-06 
 7.50150000e-01  2.09098052e-10  7.50150000e-01  7.50000000e-01  5.57658180e-06 
 7.50151000e-01  2.14748996e-10  7.50151000e-01  7.50000000e-01  5.72731586e-06 
 7.50152000e-01  2.20552689e-10  7.50152000e-01  7.50000000e-01  5.88213098e-06 
 7.50153000e-01  2.26513257e-10  7.50153000e-01  7.50000000e-01  6.04111292e-06 
 7.50154000e-01  2.32634916e-10  7.50154000e-01  7.50000000e-01  6.20432476e-06 
 7.50155000e-01  2.38921909e-10  7.50155000e-01  7.50000000e-01  6.37195328e-06 
 7.50156000e-01  2.45378817e-10  7.50156000e-01  7.50000000e-01  6.54424455e-06 
 7.50157000e-01  2.52010395e-10  7.50157000e-01  7.50000000e-01  6.72113764e-06 
 7.50158000e-01  2.58821091e-10  7.50158000e-01  7.50000000e-01  6.90269139e-06 
 7.50159000e-01  2.65815778e-10  7.50159000e-01  7.50000000e-01  7.08921334e-06 
 7.50160000e-01  2.72999521e-10  7.50160000e-01  7.50000000e-01  7.28087428e-06 
 7.50161000e-01  2.80377521e-10  7.50161000e-01  7.50000000e-01  7.47760253e-06 
 7.50162000e-01  2.87954722e-10  7.50162000e-01  7.50000000e-01  7.67962969e-06 
 7.50163000e-01  2.95736791e-10  7.50163000e-01  7.50000000e-01  7.88726923e-06 
 7.50164000e-01  3.03729262e-10  7.50164000e-01  7.50000000e-01  8.10044458e-06 
 7.50165000e-01  3.11937671e-10  7.50165000e-01  7.50000000e-01  8.31933220e-06 
 7.50166000e-01  3.20367932e-10  7.50166000e-01  7.50000000e-01  8.54412990e-06 
 7.50167000e-01  3.29025940e-10  7.50167000e-01  7.50000000e-01  8.77506690e-06 
 7.50168000e-01  3.37918065e-10  7.50168000e-01  7.50000000e-01  9.01225472e-06 
 7.50169000e-01  3.47050437e-10  7.50169000e-01  7.50000000e-01  9.25582311e-06 
 7.50170000e-01  3.56429701e-10  7.50170000e-01  7.50000000e-01  9.50593470e-06 
 7.50171000e-01  3.66062314e-10  7.50171000e-01  7.50000000e-01  9.76278656e-06 
 7.50172000e-01  3.75955285e-10  7.50172000e-01  7.50000000e-01  1.00266912e-05 
 7.50173000e-01  3.86115695e-10  7.50173000e-01  7.50000000e-01  1.02976663e-05 
 7.50174000e-01  3.96550619e-10  7.50174000e-01  7.50000000e-01  1.05759243e-05 
 7.50175000e-01  4.07267549e-10  7.50175000e-01  7.50000000e-01  1.08617354e-05 
 7.50176000e-01  4.18274082e-10  7.50176000e-01  7.50000000e-01  1.11552301e-05 
 7.50177000e-01  4.29578004e-10  7.50177000e-01  7.50000000e-01  1.14567262e-05 
 7.50178000e-01  4.41187533e-10  7.50178000e-01  7.50000000e-01  1.17664533e-05 
 7.50179000e-01  4.53110913e-10  7.50179000e-01  7.50000000e-01  1.20844394e-05 
 7.50180000e-01  4.65356418e-10  7.50180000e-01  7.50000000e-01  1.24109277e-05 
 7.50181000e-01  4.77932760e-10  7.50181000e-01  7.50000000e-01  1.27463598e-05 
 7.50182000e-01  4.90849133e-10  7.50182000e-01  7.50000000e-01  1.30908867e-05 
 7.50183000e-01  5.04114532e-10  7.50183000e-01  7.50000000e-01  1.34446440e-05 
 7.50184000e-01  5.17738423e-10  7.50184000e-01  7.50000000e-01  1.38079890e-05 
 7.50185000e-01  5.31730517e-10  7.50185000e-01  7.50000000e-01  1.41811754e-05 
 7.50186000e-01  5.46100765e-10  7.50186000e-01  7.50000000e-01  1.45644212e-05 
 7.50187000e-01  5.60859355e-10  7.50187000e-01  7.50000000e-01  1.49580686e-05 
 7.50188000e-01  5.76016901e-10  7.50188000e-01  7.50000000e-01  1.53622386e-05 
 7.50189000e-01  5.91583835e-10  7.50189000e-01  7.50000000e-01  1.57773774e-05 
 7.50190000e-01  6.07571664e-10  7.50190000e-01  7.50000000e-01  1.62038715e-05 
 7.50191000e-01  6.23991592e-10  7.50191000e-01  7.50000000e-01  1.66417297e-05 
 7.50192000e-01  6.40855118e-10  7.50192000e-01  7.50000000e-01  1.70914908e-05 
 7.50193000e-01  6.58174573e-10  7.50193000e-01  7.50000000e-01  1.75534431e-05 
 7.50194000e-01  6.75962009e-10  7.50194000e-01  7.50000000e-01  1.80278209e-05 
 7.50195000e-01  6.94230198e-10  7.50195000e-01  7.50000000e-01  1.85149927e-05 
