 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.80011056e+00  1.85728276e-06  1.80405302e-04 
 1.84162062e+00  1.82127333e-06  1.77016122e-04 
 1.88408790e+00  1.78607177e-06  1.73696655e-04 
 1.92753446e+00  1.75165902e-06  1.70445639e-04 
 1.97198288e+00  1.71801646e-06  1.67261816e-04 
 2.01745627e+00  1.68512592e-06  1.64143939e-04 
 2.06397827e+00  1.65296966e-06  1.61090769e-04 
 2.11157305e+00  1.62153038e-06  1.58101079e-04 
 2.16026535e+00  1.59079119e-06  1.55173651e-04 
 2.21008049e+00  1.56073560e-06  1.52307280e-04 
 2.26104435e+00  1.53134751e-06  1.49500775e-04 
 2.31318342e+00  1.50261121e-06  1.46752957e-04 
 2.36652481e+00  1.47451137e-06  1.44062662e-04 
 2.42109623e+00  1.44703302e-06  1.41428739e-04 
 2.47692605e+00  1.42016154e-06  1.38850053e-04 
 2.53404330e+00  1.39388268e-06  1.36325484e-04 
 2.59247765e+00  1.36818251e-06  1.33853928e-04 
 2.65225949e+00  1.34304744e-06  1.31434297e-04 
 2.71341987e+00  1.31846420e-06  1.29065517e-04 
 2.77599060e+00  1.29441984e-06  1.26746534e-04 
 2.84000420e+00  1.27090171e-06  1.24476307e-04 
 2.90549393e+00  1.24789746e-06  1.22253815e-04 
 2.97249383e+00  1.22539506e-06  1.20078051e-04 
 3.04103874e+00  1.20338272e-06  1.17948026e-04 
 3.11116427e+00  1.18184898e-06  1.15862767e-04 
 3.18290688e+00  1.16078261e-06  1.13821321e-04 
 3.25630385e+00  1.14017267e-06  1.11822747e-04 
 3.33139333e+00  1.12000848e-06  1.09866124e-04 
 3.40821437e+00  1.10027960e-06  1.07950547e-04 
 3.48680687e+00  1.08097585e-06  1.06075129e-04 
 3.56721169e+00  1.06208729e-06  1.04238996e-04 
 3.64947063e+00  1.04360421e-06  1.02441295e-04 
 3.73362644e+00  1.02551713e-06  1.00681186e-04 
 3.81972285e+00  1.00781682e-06  9.89578461e-05 
 3.90780463e+00  9.90494232e-07  9.72704695e-05 
 3.99791755e+00  9.73540556e-07  9.56182655e-05 
 4.09010845e+00  9.56947188e-07  9.40004592e-05 
 4.18442524e+00  9.40705727e-07  9.24162912e-05 
 4.28091696e+00  9.24807971e-07  9.08650179e-05 
 4.37963375e+00  9.09245916e-07  8.93459104e-05 
 4.48062692e+00  8.94011747e-07  8.78582553e-05 
 4.58394897e+00  8.79097836e-07  8.64013538e-05 
 4.68965359e+00  8.64496737e-07  8.49745216e-05 
 4.79779574e+00  8.50201181e-07  8.35770890e-05 
 4.90843161e+00  8.36204074e-07  8.22084005e-05 
 5.02161872e+00  8.22498489e-07  8.08678143e-05 
 5.13741589e+00  8.09077668e-07  7.95547027e-05 
 5.25588331e+00  7.95935011e-07  7.82684515e-05 
 5.37708256e+00  7.83064079e-07  7.70084595e-05 
 5.50107663e+00  7.70458587e-07  7.57741391e-05 
 5.62792997e+00  7.58112399e-07  7.45649151e-05 
 5.75770852e+00  7.46019528e-07  7.33802254e-05 
 5.89047972e+00  7.34174128e-07  7.22195199e-05 
 6.02631259e+00  7.22570498e-07  7.10822612e-05 
 6.16527773e+00  7.11203070e-07  6.99679235e-05 
 6.30744737e+00  7.00066413e-07  6.88759930e-05 
 6.45289540e+00  6.89155224e-07  6.78059674e-05 
 6.60169743e+00  6.78464331e-07  6.67573558e-05 
 6.75393078e+00  6.67988684e-07  6.57296784e-05 
 6.90967460e+00  6.57723357e-07  6.47224662e-05 
 7.06900983e+00  6.47663542e-07  6.37352612e-05 
 7.23201929e+00  6.37804549e-07  6.27676156e-05 
 7.39878770e+00  6.28141798e-07  6.18190922e-05 
 7.56940175e+00  6.18670824e-07  6.08892635e-05 
 7.74395011e+00  6.09387268e-07  5.99777123e-05 
 7.92252350e+00  6.00286878e-07  5.90840309e-05 
 8.10521476e+00  5.91365505e-07  5.82078209e-05 
 8.29211882e+00  5.82619100e-07  5.73486935e-05 
