 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.80011056e+00  9.71509962e-07  8.24742507e-05 
 1.84162062e+00  9.60620580e-07  8.15498183e-05 
 1.88408790e+00  9.49856002e-07  8.06359808e-05 
 1.92753446e+00  9.39214829e-07  7.97326195e-05 
 1.97198288e+00  9.28695679e-07  7.88396169e-05 
 2.01745627e+00  9.18297183e-07  7.79568570e-05 
 2.06397827e+00  9.08017989e-07  7.70842250e-05 
 2.11157305e+00  8.97856763e-07  7.62216074e-05 
 2.16026535e+00  8.87812182e-07  7.53688922e-05 
 2.21008049e+00  8.77882940e-07  7.45259684e-05 
 2.26104435e+00  8.68067748e-07  7.36927266e-05 
 2.31318342e+00  8.58365328e-07  7.28690582e-05 
 2.36652481e+00  8.48774420e-07  7.20548563e-05 
 2.42109623e+00  8.39293776e-07  7.12500151e-05 
 2.47692605e+00  8.29922163e-07  7.04544297e-05 
 2.53404330e+00  8.20658364e-07  6.96679969e-05 
 2.59247765e+00  8.11501174e-07  6.88906143e-05 
 2.65225949e+00  8.02449401e-07  6.81221808e-05 
 2.71341987e+00  7.93501869e-07  6.73625966e-05 
 2.77599060e+00  7.84657415e-07  6.66117628e-05 
 2.84000420e+00  7.75914888e-07  6.58695818e-05 
 2.90549393e+00  7.67273150e-07  6.51359571e-05 
 2.97249383e+00  7.58731079e-07  6.44107933e-05 
 3.04103874e+00  7.50287563e-07  6.36939960e-05 
 3.11116427e+00  7.41941505e-07  6.29854720e-05 
 3.18290688e+00  7.33691817e-07  6.22851291e-05 
 3.25630385e+00  7.25537428e-07  6.15928763e-05 
 3.33139333e+00  7.17477277e-07  6.09086235e-05 
 3.40821437e+00  7.09510314e-07  6.02322816e-05 
 3.48680687e+00  7.01635504e-07  5.95637627e-05 
 3.56721169e+00  6.93851822e-07  5.89029798e-05 
 3.64947063e+00  6.86158255e-07  5.82498469e-05 
 3.73362644e+00  6.78553802e-07  5.76042790e-05 
 3.81972285e+00  6.71037473e-07  5.69661921e-05 
 3.90780463e+00  6.63608290e-07  5.63355032e-05 
 3.99791755e+00  6.56265287e-07  5.57121302e-05 
 4.09010845e+00  6.49007508e-07  5.50959918e-05 
 4.18442524e+00  6.41834007e-07  5.44870080e-05 
 4.28091696e+00  6.34743852e-07  5.38850994e-05 
 4.37963375e+00  6.27736118e-07  5.32901877e-05 
 4.48062692e+00  6.20809894e-07  5.27021954e-05 
 4.58394897e+00  6.13964277e-07  5.21210459e-05 
 4.68965359e+00  6.07198377e-07  5.15466636e-05 
 4.79779574e+00  6.00511312e-07  5.09789736e-05 
 4.90843161e+00  5.93902210e-07  5.04179020e-05 
 5.02161872e+00  5.87370212e-07  4.98633757e-05 
 5.13741589e+00  5.80914465e-07  4.93153224e-05 
 5.25588331e+00  5.74534129e-07  4.87736707e-05 
 5.37708256e+00  5.68228373e-07  4.82383500e-05 
 5.50107663e+00  5.61996374e-07  4.77092906e-05 
 5.62792997e+00  5.55837320e-07  4.71864235e-05 
 5.75770852e+00  5.49750409e-07  4.66696805e-05 
 5.89047972e+00  5.43734846e-07  4.61589942e-05 
 6.02631259e+00  5.37789847e-07  4.56542980e-05 
 6.16527773e+00  5.31914636e-07  4.51555261e-05 
 6.30744737e+00  5.26108448e-07  4.46626134e-05 
 6.45289540e+00  5.20370525e-07  4.41754955e-05 
 6.60169743e+00  5.14700117e-07  4.36941090e-05 
 6.75393078e+00  5.09096486e-07  4.32183909e-05 
 6.90967460e+00  5.03558898e-07  4.27482792e-05 
 7.06900983e+00  4.98086632e-07  4.22837124e-05 
 7.23201929e+00  4.92678972e-07  4.18246299e-05 
 7.39878770e+00  4.87335211e-07  4.13709716e-05 
 7.56940175e+00  4.82054653e-07  4.09226783e-05 
 7.74395011e+00  4.76836606e-07  4.04796914e-05 
 7.92252350e+00  4.71680389e-07  4.00419530e-05 
 8.10521476e+00  4.66585327e-07  3.96094057e-05 
 8.29211882e+00  4.61550753e-07  3.91819931e-05 
 8.48333284e+00  4.56576009e-07  3.87596591e-05 
 8.67895620e+00  4.51660444e-07  3.83423485e-05 
 8.87909059e+00  4.46803414e-07  3.79300066e-05 
 9.08384002e+00  4.42004283e-07  3.75225794e-05 
 9.29331091e+00  4.37262422e-07  3.71200135e-05 
 9.50761215e+00  4.32577211e-07  3.67222561e-05 
 9.72685512e+00  4.27948033e-07  3.63292551e-05 
 9.95115377e+00  4.23374283e-07  3.59409588e-05 
 1.01806247e+01  4.18855361e-07  3.55573164e-05 
 1.04153871e+01  4.14390672e-07  3.51782774e-05 
 1.06555632e+01  4.09979630e-07  3.48037920e-05 
 1.09012776e+01  4.05621657e-07  3.44338110e-05 
 1.11526581e+01  4.01316178e-07  3.40682857e-05 
 1.14098354e+01  3.97062629e-07  3.37071681e-05 
 1.16729431e+01  3.92860448e-07  3.33504106e-05 
 1.19421180e+01  3.88709084e-07  3.29979661e-05 
 1.22175000e+01  3.84607988e-07  3.26497883e-05 
 1.24992323e+01  3.80556620e-07  3.23058312e-05 
 1.27874612e+01  3.76554446e-07  3.19660495e-05 
 1.30823366e+01  3.72600938e-07  3.16303981e-05 
 1.33840117e+01  3.68695573e-07  3.12988328e-05 
 1.36926434e+01  3.64837835e-07  3.09713098e-05 
 1.40083921e+01  3.61027215e-07  3.06477856e-05 
 1.43314218e+01  3.57263207e-07  3.03282174e-05 
 1.46619005e+01  3.53545313e-07  3.00125629e-05 
 1.50000000e+01  3.49873040e-07  2.97007801e-05 
 1.53458959e+01  3.46245902e-07  2.93928277e-05 
 1.56997682e+01  3.42663415e-07  2.90886646e-05 
 1.60618006e+01  3.39125104e-07  2.87882505e-05 
 1.64321814e+01  3.35630499e-07  2.84915454e-05 
 1.68111030e+01  3.32179133e-07  2.81985096e-05 
 1.71987625e+01  3.28770547e-07  2.79091040e-05 
 1.75953613e+01  3.25404285e-07  2.76232900e-05 
 1.80011056e+01  3.22079899e-07  2.73410293e-05 
 1.84162062e+01  3.18796942e-07  2.70622842e-05 
 1.88408790e+01  3.15554976e-07  2.67870171e-05 
 1.92753446e+01  3.12353566e-07  2.65151913e-05 
 1.97198288e+01  3.09192281e-07  2.62467700e-05 
 2.01745627e+01  3.06070698e-07  2.59817172e-05 
 2.06397827e+01  3.02988395e-07  2.57199971e-05 
 2.11157305e+01  2.99944957e-07  2.54615744e-05 
 2.16026535e+01  2.96939973e-07  2.52064140e-05 
 2.21008049e+01  2.93973037e-07  2.49544815e-05 
 2.26104435e+01  2.91043746e-07  2.47057425e-05 
 2.31318342e+01  2.88151703e-07  2.44601634e-05 
 2.36652481e+01  2.85296516e-07  2.42177105e-05 
 2.42109623e+01  2.82477795e-07  2.39783509e-05 
 2.47692605e+01  2.79695156e-07  2.37420517e-05 
 2.53404330e+01  2.76948218e-07  2.35087807e-05 
 2.59247765e+01  2.74236606e-07  2.32785056e-05 
 2.65225949e+01  2.71559947e-07  2.30511950e-05 
 2.71341987e+01  2.68917873e-07  2.28268173e-05 
 2.77599060e+01  2.66310019e-07  2.26053416e-05 
 2.84000420e+01  2.63736027e-07  2.23867371e-05 
 2.90549393e+01  2.61195539e-07  2.21709735e-05 
 2.97249383e+01  2.58688202e-07  2.19580207e-05 
 3.04103874e+01  2.56213668e-07  2.17478489e-05 
 3.11116427e+01  2.53771591e-07  2.15404288e-05 
 3.18290688e+01  2.51361630e-07  2.13357310e-05 
 3.25630385e+01  2.48983447e-07  2.11337268e-05 
 3.33139333e+01  2.46636706e-07  2.09343877e-05 
