 time            v(Vcmfb)        v(Voutp)        v(Voutn)       
 8.00225788e-06  8.31996252e-01  6.00000000e-01  8.00000000e-01 
 8.00336859e-06  8.31869366e-01  6.00000000e-01  8.00000000e-01 
 8.00470131e-06  8.31866271e-01  6.00000000e-01  8.00000000e-01 
 8.00736673e-06  8.31872049e-01  6.00000000e-01  8.00000000e-01 
 8.01269759e-06  8.31866054e-01  6.00000000e-01  8.00000000e-01 
 8.02335929e-06  8.31872103e-01  6.00000000e-01  8.00000000e-01 
 8.04468271e-06  8.31866018e-01  6.00000000e-01  8.00000000e-01 
 8.08732954e-06  8.31872104e-01  6.00000000e-01  8.00000000e-01 
 8.17262320e-06  8.31866000e-01  6.00000000e-01  8.00000000e-01 
 8.34321051e-06  8.31872090e-01  6.00000000e-01  8.00000000e-01 
 8.68438514e-06  8.31865974e-01  6.00000000e-01  8.00000000e-01 
 9.36673441e-06  8.31872051e-01  6.00000000e-01  8.00000000e-01 
 1.07314329e-05  8.31865905e-01  6.00000000e-01  8.00000000e-01 
 1.34608300e-05  8.31871924e-01  6.00000000e-01  8.00000000e-01 
 1.58750100e-05  8.31865749e-01  6.00000000e-01  8.00000000e-01 
 1.58750110e-05  8.31403772e-01  6.00000000e-01  8.00000000e-01 
 1.58750130e-05  8.30647829e-01  6.00000000e-01  8.00000000e-01 
 1.58750170e-05  8.29620057e-01  6.00000000e-01  8.00000000e-01 
 1.58750200e-05  8.28946673e-01  6.00000000e-01  8.00000000e-01 
 1.58750204e-05  8.28926386e-01  6.00000000e-01  8.00000000e-01 
 1.58750213e-05  8.28902773e-01  6.00000000e-01  8.00000000e-01 
 1.58750231e-05  8.28864286e-01  6.00000000e-01  8.00000000e-01 
 1.58750267e-05  8.28789232e-01  6.00000000e-01  8.00000000e-01 
 1.58750339e-05  8.28672579e-01  6.00000000e-01  8.00000000e-01 
 1.58750483e-05  8.28547844e-01  6.00000000e-01  8.00000000e-01 
 1.58750771e-05  8.28657873e-01  6.00000000e-01  8.00000000e-01 
 1.58751347e-05  8.29521125e-01  6.00000000e-01  8.00000000e-01 
 1.58751935e-05  8.29953473e-01  6.00000000e-01  8.00000000e-01 
 1.58752772e-05  8.30161204e-01  6.00000000e-01  8.00000000e-01 
 1.58753878e-05  8.30212161e-01  6.00000000e-01  8.00000000e-01 
 1.58755359e-05  8.30211233e-01  6.00000000e-01  8.00000000e-01 
 1.58756914e-05  8.30211970e-01  6.00000000e-01  8.00000000e-01 
 1.58760023e-05  8.30211264e-01  6.00000000e-01  8.00000000e-01 
 1.58766240e-05  8.30211965e-01  6.00000000e-01  8.00000000e-01 
 1.58778676e-05  8.30211266e-01  6.00000000e-01  8.00000000e-01 
 1.58803548e-05  8.30211964e-01  6.00000000e-01  8.00000000e-01 
 1.58853291e-05  8.30211266e-01  6.00000000e-01  8.00000000e-01 
 1.58952778e-05  8.30211965e-01  6.00000000e-01  8.00000000e-01 
 1.59151752e-05  8.30211267e-01  6.00000000e-01  8.00000000e-01 
 1.59549700e-05  8.30211966e-01  6.00000000e-01  8.00000000e-01 
 1.60000000e-05  8.30211270e-01  6.00000000e-01  8.00000000e-01 
 1.60000010e-05  8.30214643e-01  6.00000000e-01  8.00000000e-01 
 1.60000030e-05  8.30220312e-01  6.00000000e-01  8.00000000e-01 
 1.60000070e-05  8.30230747e-01  6.00000000e-01  8.00000000e-01 
 1.60000100e-05  8.30237550e-01  6.00000000e-01  8.00000000e-01 
 1.60000107e-05  8.30236734e-01  6.00000000e-01  8.00000000e-01 
 1.60000120e-05  8.30235504e-01  6.00000000e-01  8.00000000e-01 
 1.60000146e-05  8.30233234e-01  6.00000000e-01  8.00000000e-01 
 1.60000191e-05  8.30228955e-01  6.00000000e-01  8.00000000e-01 
 1.60000283e-05  8.30219953e-01  6.00000000e-01  8.00000000e-01 
 1.60000391e-05  8.30209145e-01  6.00000000e-01  8.00000000e-01 
 1.60000511e-05  8.30202838e-01  6.00000000e-01  8.00000000e-01 
 1.60000751e-05  8.30201268e-01  6.00000000e-01  8.00000000e-01 
 1.60001078e-05  8.30205294e-01  6.00000000e-01  8.00000000e-01 
 1.60001408e-05  8.30208324e-01  6.00000000e-01  8.00000000e-01 
 1.60001916e-05  8.30210596e-01  6.00000000e-01  8.00000000e-01 
 1.60002920e-05  8.30211673e-01  6.00000000e-01  8.00000000e-01 
 1.60004928e-05  8.30211707e-01  6.00000000e-01  8.00000000e-01 
 1.60006807e-05  8.30211606e-01  6.00000000e-01  8.00000000e-01 
 1.60009358e-05  8.30211655e-01  6.00000000e-01  8.00000000e-01 
 1.60012280e-05  8.30211590e-01  6.00000000e-01  8.00000000e-01 
 1.60017268e-05  8.30211648e-01  6.00000000e-01  8.00000000e-01 
 1.60024889e-05  8.30211589e-01  6.00000000e-01  8.00000000e-01 
 1.60040131e-05  8.30211648e-01  6.00000000e-01  8.00000000e-01 
 1.60070614e-05  8.30211590e-01  6.00000000e-01  8.00000000e-01 
 1.60131580e-05  8.30211648e-01  6.00000000e-01  8.00000000e-01 
 1.60253513e-05  8.30211590e-01  6.00000000e-01  8.00000000e-01 
 1.60497379e-05  8.30211650e-01  6.00000000e-01  8.00000000e-01 
 1.60985111e-05  8.30211593e-01  6.00000000e-01  8.00000000e-01 
 1.61960574e-05  8.30211655e-01  6.00000000e-01  8.00000000e-01 
 1.63911501e-05  8.30211603e-01  6.00000000e-01  8.00000000e-01 
 1.67813354e-05  8.30211675e-01  6.00000000e-01  8.00000000e-01 
 1.75617060e-05  8.30211643e-01  6.00000000e-01  8.00000000e-01 
 1.91224473e-05  8.30211754e-01  6.00000000e-01  8.00000000e-01 
 2.22439298e-05  8.30211802e-01  6.00000000e-01  8.00000000e-01 
 2.38750100e-05  8.30211916e-01  6.00000000e-01  8.00000000e-01 
 2.38750110e-05  8.30205907e-01  6.00000000e-01  8.00000000e-01 
 2.38750130e-05  8.30195250e-01  6.00000000e-01  8.00000000e-01 
 2.38750170e-05  8.30181286e-01  6.00000000e-01  8.00000000e-01 
 2.38750200e-05  8.30174106e-01  6.00000000e-01  8.00000000e-01 
 2.38750206e-05  8.30175290e-01  6.00000000e-01  8.00000000e-01 
 2.38750217e-05  8.30176932e-01  6.00000000e-01  8.00000000e-01 
 2.38750241e-05  8.30179682e-01  6.00000000e-01  8.00000000e-01 
