 v-sweep         v(vinp)         v(voutp)       
 1.09000000e-01  1.09000000e-01  2.17449532e-01 
 1.10000000e-01  1.10000000e-01  2.17452226e-01 
 1.11000000e-01  1.11000000e-01  2.17489292e-01 
 1.12000000e-01  1.12000000e-01  2.17472838e-01 
 1.13000000e-01  1.13000000e-01  2.17478648e-01 
 1.14000000e-01  1.14000000e-01  2.17516173e-01 
 1.15000000e-01  1.15000000e-01  2.17540575e-01 
 1.16000000e-01  1.16000000e-01  2.17556427e-01 
 1.17000000e-01  1.17000000e-01  2.17541222e-01 
 1.18000000e-01  1.18000000e-01  2.17568514e-01 
 1.19000000e-01  1.19000000e-01  2.17592548e-01 
 1.20000000e-01  1.20000000e-01  2.17572937e-01 
 1.21000000e-01  1.21000000e-01  2.17624906e-01 
 1.22000000e-01  1.22000000e-01  2.17635735e-01 
 1.23000000e-01  1.23000000e-01  2.17651340e-01 
 1.24000000e-01  1.24000000e-01  2.17680985e-01 
 1.25000000e-01  1.25000000e-01  2.17675757e-01 
 1.26000000e-01  1.26000000e-01  2.17697823e-01 
 1.27000000e-01  1.27000000e-01  2.17736895e-01 
 1.28000000e-01  1.28000000e-01  2.17744448e-01 
 1.29000000e-01  1.29000000e-01  2.17771275e-01 
 1.30000000e-01  1.30000000e-01  2.17774847e-01 
 1.31000000e-01  1.31000000e-01  2.17825856e-01 
 1.32000000e-01  1.32000000e-01  2.17850485e-01 
 1.33000000e-01  1.33000000e-01  2.17843220e-01 
 1.34000000e-01  1.34000000e-01  2.17891886e-01 
 1.35000000e-01  1.35000000e-01  2.17898093e-01 
 1.36000000e-01  1.36000000e-01  2.17952984e-01 
 1.37000000e-01  1.37000000e-01  2.17935468e-01 
 1.38000000e-01  1.38000000e-01  2.17961866e-01 
 1.39000000e-01  1.39000000e-01  2.18008463e-01 
 1.40000000e-01  1.40000000e-01  2.18041658e-01 
 1.41000000e-01  1.41000000e-01  2.18045248e-01 
 1.42000000e-01  1.42000000e-01  2.18102922e-01 
 1.43000000e-01  1.43000000e-01  2.18150615e-01 
