 v-sweep         v(vinp)         v(voutp)       
 1.09000000e-01  1.09000000e-01  3.50334133e-02 
 1.10000000e-01  1.10000000e-01  3.50494518e-02 
 1.11000000e-01  1.11000000e-01  3.50655007e-02 
 1.12000000e-01  1.12000000e-01  3.50830784e-02 
 1.13000000e-01  1.13000000e-01  3.51005401e-02 
 1.14000000e-01  1.14000000e-01  3.51189326e-02 
 1.15000000e-01  1.15000000e-01  3.51373747e-02 
 1.16000000e-01  1.16000000e-01  3.51567536e-02 
 1.17000000e-01  1.17000000e-01  3.51766379e-02 
 1.18000000e-01  1.18000000e-01  3.51965304e-02 
 1.19000000e-01  1.19000000e-01  3.52178319e-02 
 1.20000000e-01  1.20000000e-01  3.52397770e-02 
 1.21000000e-01  1.21000000e-01  3.52625401e-02 
 1.22000000e-01  1.22000000e-01  3.52852059e-02 
 1.23000000e-01  1.23000000e-01  3.53088218e-02 
 1.24000000e-01  1.24000000e-01  3.53330934e-02 
 1.25000000e-01  1.25000000e-01  3.53590232e-02 
 1.26000000e-01  1.26000000e-01  3.53848728e-02 
 1.27000000e-01  1.27000000e-01  3.54110104e-02 
 1.28000000e-01  1.28000000e-01  3.54394695e-02 
 1.29000000e-01  1.29000000e-01  3.54670773e-02 
 1.30000000e-01  1.30000000e-01  3.54972897e-02 
 1.31000000e-01  1.31000000e-01  3.55266603e-02 
 1.32000000e-01  1.32000000e-01  3.55579434e-02 
 1.33000000e-01  1.33000000e-01  3.55897555e-02 
 1.34000000e-01  1.34000000e-01  3.56222866e-02 
 1.35000000e-01  1.35000000e-01  3.56561758e-02 
 1.36000000e-01  1.36000000e-01  3.56911622e-02 
 1.37000000e-01  1.37000000e-01  3.57270099e-02 
 1.38000000e-01  1.38000000e-01  3.57631504e-02 
 1.39000000e-01  1.39000000e-01  3.58011970e-02 
 1.40000000e-01  1.40000000e-01  3.58403494e-02 
 1.41000000e-01  1.41000000e-01  3.58802735e-02 
 1.42000000e-01  1.42000000e-01  3.59217222e-02 
 1.43000000e-01  1.43000000e-01  3.59641978e-02 
 1.44000000e-01  1.44000000e-01  3.60077064e-02 
 1.45000000e-01  1.45000000e-01  3.60530579e-02 
 1.46000000e-01  1.46000000e-01  3.60990138e-02 
 1.47000000e-01  1.47000000e-01  3.61463909e-02 
 1.48000000e-01  1.48000000e-01  3.61953376e-02 
 1.49000000e-01  1.49000000e-01  3.62449893e-02 
 1.50000000e-01  1.50000000e-01  3.62967975e-02 
 1.51000000e-01  1.51000000e-01  3.63495147e-02 
 1.52000000e-01  1.52000000e-01  3.64045796e-02 
 1.53000000e-01  1.53000000e-01  3.64600715e-02 
 1.54000000e-01  1.54000000e-01  3.65171709e-02 
 1.55000000e-01  1.55000000e-01  3.65766365e-02 
 1.56000000e-01  1.56000000e-01  3.66370235e-02 
 1.57000000e-01  1.57000000e-01  3.66992106e-02 
 1.58000000e-01  1.58000000e-01  3.67632212e-02 
 1.59000000e-01  1.59000000e-01  3.68288657e-02 
 1.60000000e-01  1.60000000e-01  3.68962227e-02 
 1.61000000e-01  1.61000000e-01  3.69658870e-02 
 1.62000000e-01  1.62000000e-01  3.70361852e-02 
 1.63000000e-01  1.63000000e-01  3.71088206e-02 
 1.64000000e-01  1.64000000e-01  3.71839789e-02 
 1.65000000e-01  1.65000000e-01  3.72611415e-02 
 1.66000000e-01  1.66000000e-01  3.73391571e-02 
 1.67000000e-01  1.67000000e-01  3.74205685e-02 
 1.68000000e-01  1.68000000e-01  3.75027491e-02 
 1.69000000e-01  1.69000000e-01  3.75883018e-02 
 1.70000000e-01  1.70000000e-01  3.76753544e-02 
 1.71000000e-01  1.71000000e-01  3.77645170e-02 
 1.72000000e-01  1.72000000e-01  3.78561905e-02 
 1.73000000e-01  1.73000000e-01  3.79504273e-02 
 1.74000000e-01  1.74000000e-01  3.80457378e-02 
 1.75000000e-01  1.75000000e-01  3.81448449e-02 
