 time            v(clk)          v(voutp)        v(voutn)        v(vinp)         v(vinn)        
 6.45100000e-08  1.50000000e+00  7.45276148e-07  1.49999910e+00  7.25312550e-01  7.50000000e-01 
 6.45110000e-08  1.35000000e+00  4.58357821e-03  1.50424213e+00  7.25312555e-01  7.50000000e-01 
 6.45130000e-08  1.05000000e+00  1.39804547e-02  1.51314231e+00  7.25312565e-01  7.50000000e-01 
 6.45170000e-08  4.50000000e-01  2.95546659e-02  1.50092229e+00  7.25312585e-01  7.50000000e-01 
 6.45200000e-08  0.00000000e+00  3.18334824e-02  1.44089665e+00  7.25312600e-01  7.50000000e-01 
 6.45206109e-08  0.00000000e+00  2.74410075e-02  1.42022862e+00  7.25312603e-01  7.50000000e-01 
 6.45218327e-08  0.00000000e+00  1.78696632e-02  1.37824802e+00  7.25312609e-01  7.50000000e-01 
 6.45242763e-08  0.00000000e+00  3.33038146e-03  1.29921014e+00  7.25312621e-01  7.50000000e-01 
 6.45287781e-08  0.00000000e+00 -1.04138520e-02  1.17021776e+00  7.25312644e-01  7.50000000e-01 
 6.45377815e-08  0.00000000e+00 -1.76105727e-02  9.57975018e-01  7.25312689e-01  7.50000000e-01 
 6.45527153e-08  0.00000000e+00 -1.52040966e-02  6.92214962e-01  7.25312764e-01  7.50000000e-01 
 6.45738086e-08  0.00000000e+00  3.50670401e-02  4.30541515e-01  7.25312869e-01  7.50000000e-01 
 6.45967236e-08  0.00000000e+00  1.10604767e-01  2.65584615e-01  7.25312984e-01  7.50000000e-01 
 6.46260529e-08  0.00000000e+00  1.59800616e-01  1.80054568e-01  7.25313130e-01  7.50000000e-01 
 6.46650702e-08  0.00000000e+00  1.68626221e-01  1.51922250e-01  7.25313325e-01  7.50000000e-01 
 6.47035146e-08  0.00000000e+00  1.56219693e-01  1.46967973e-01  7.25313518e-01  7.50000000e-01 
 6.47633083e-08  0.00000000e+00  1.35845168e-01  1.36467893e-01  7.25313817e-01  7.50000000e-01 
 6.48576727e-08  0.00000000e+00  1.09624555e-01  1.12941936e-01  7.25314288e-01  7.50000000e-01 
 6.50464014e-08  0.00000000e+00  6.53952391e-02  6.77224720e-02  7.25315232e-01  7.50000000e-01 
 6.53805989e-08  0.00000000e+00  1.44870329e-02  1.53764754e-02  7.25316903e-01  7.50000000e-01 
 6.60489941e-08  0.00000000e+00 -5.48569915e-04 -5.50623482e-04  7.25320245e-01  7.50000000e-01 
 6.68039229e-08  0.00000000e+00 -1.39000773e-04 -1.45278082e-04  7.25324020e-01  7.50000000e-01 
 6.76012956e-08  0.00000000e+00 -1.66429634e-05 -1.67859288e-05  7.25328006e-01  7.50000000e-01 
 6.85565899e-08  0.00000000e+00 -1.06943974e-05 -1.07777764e-05  7.25332783e-01  7.50000000e-01 
 6.97553605e-08  0.00000000e+00 -3.35880933e-06 -3.43026052e-06  7.25338777e-01  7.50000000e-01 
 7.18116067e-08  0.00000000e+00  6.48899494e-07  6.38265278e-07  7.25349058e-01  7.50000000e-01 
 7.59240991e-08  0.00000000e+00  7.32667643e-07  7.39011123e-07  7.25369620e-01  7.50000000e-01 
 8.32193328e-08  0.00000000e+00  2.03202754e-07  2.04908637e-07  7.25406097e-01  7.50000000e-01 
 9.76419241e-08  0.00000000e+00  1.24266047e-07  1.24164861e-07  7.25478210e-01  7.50000000e-01 
 1.26487107e-07  0.00000000e+00  1.40285180e-07  1.40242604e-07  7.25622436e-01  7.50000000e-01 
 1.27000000e-07  3.97046694e-12  1.41394396e-07  1.41375276e-07  7.25625000e-01  7.50000000e-01 
 1.27001000e-07  1.50000000e-01 -7.15102462e-03 -7.15102440e-03  7.25625005e-01  7.50000000e-01 
 1.27003000e-07  4.50000000e-01 -2.26178907e-02 -2.26178904e-02  7.25625015e-01  7.50000000e-01 
 1.27007000e-07  1.05000000e+00 -5.48344525e-02 -5.48344530e-02  7.25625035e-01  7.50000000e-01 
 1.27010000e-07  1.50000000e+00 -7.28689084e-02 -7.28689192e-02  7.25625050e-01  7.50000000e-01 
 1.27010614e-07  1.50000000e+00 -7.32866657e-02 -7.32866896e-02  7.25625053e-01  7.50000000e-01 
 1.27011842e-07  1.50000000e+00 -7.32215106e-02 -7.32216166e-02  7.25625059e-01  7.50000000e-01 
 1.27014299e-07  1.50000000e+00 -7.29412896e-02 -7.29422564e-02  7.25625071e-01  7.50000000e-01 
 1.27019212e-07  1.50000000e+00 -7.28054853e-02 -7.28100106e-02  7.25625096e-01  7.50000000e-01 
 1.27026127e-07  1.50000000e+00 -7.28487668e-02 -7.28597922e-02  7.25625131e-01  7.50000000e-01 
