 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 3.52800000e-04  2.19859825e-04  1.42531337e-02  7.50109930e-01  7.49890070e-01  3.54176668e-01  3.39923534e-01 
 3.62800000e-04  2.25984890e-04  1.47701457e-02  7.50112992e-01  7.49887008e-01  3.54435240e-01  3.39665094e-01 
 3.72800000e-04  2.32101034e-04  1.52874513e-02  7.50116051e-01  7.49883949e-01  3.54693912e-01  3.39406461e-01 
 3.82800000e-04  2.38208014e-04  1.58048959e-02  7.50119104e-01  7.49880896e-01  3.54952592e-01  3.39147696e-01 
 3.84050000e-04  2.38970730e-04  1.58696318e-02  7.50119485e-01  7.49880515e-01  3.54984974e-01  3.39115343e-01 
 3.86550000e-04  2.40495720e-04  1.59990255e-02  7.50120248e-01  7.49879752e-01  3.55049630e-01  3.39050605e-01 
 3.91550000e-04  2.43543916e-04  1.62577821e-02  7.50121772e-01  7.49878228e-01  3.55179035e-01  3.38921253e-01 
 4.01550000e-04  2.49633066e-04  1.67753120e-02  7.50124817e-01  7.49875183e-01  3.55438210e-01  3.38662898e-01 
 4.11550000e-04  2.55712361e-04  1.72926934e-02  7.50127856e-01  7.49872144e-01  3.55697259e-01  3.38404566e-01 
 4.21550000e-04  2.61781562e-04  1.78099081e-02  7.50130891e-01  7.49869109e-01  3.55956178e-01  3.38146270e-01 
 4.31550000e-04  2.67840427e-04  1.83268378e-02  7.50133920e-01  7.49866080e-01  3.56214890e-01  3.37888053e-01 
 4.41550000e-04  2.73888719e-04  1.88434191e-02  7.50136944e-01  7.49863056e-01  3.56473292e-01  3.37629873e-01 
 4.51550000e-04  2.79926198e-04  1.93596734e-02  7.50139963e-01  7.49860037e-01  3.56731370e-01  3.37371697e-01 
 4.61550000e-04  2.85952626e-04  1.98754298e-02  7.50142976e-01  7.49857024e-01  3.56989151e-01  3.37113722e-01 
 4.71550000e-04  2.91967765e-04  2.03906452e-02  7.50145984e-01  7.49854016e-01  3.57246738e-01  3.36856093e-01 
 4.81550000e-04  2.97971377e-04  2.09053247e-02  7.50148986e-01  7.49851014e-01  3.57504191e-01  3.36598866e-01 
 4.91550000e-04  3.03963226e-04  2.14194050e-02  7.50151982e-01  7.49848018e-01  3.57761287e-01  3.36341882e-01 
 5.01550000e-04  3.09943076e-04  2.19328257e-02  7.50154972e-01  7.49845028e-01  3.58017914e-01  3.36085089e-01 
 5.11550000e-04  3.15910689e-04  2.24455691e-02  7.50157955e-01  7.49842045e-01  3.58274033e-01  3.35828464e-01 
 5.21550000e-04  3.21865831e-04  2.29575525e-02  7.50160933e-01  7.49839067e-01  3.58529732e-01  3.35572180e-01 
