 frequency       v(PSRR_dB)     
 3.75195331e+00  6.59455114e+01 
 3.83847234e+00  6.59454877e+01 
 3.92698648e+00  6.59454628e+01 
 4.01754173e+00  6.59454368e+01 
 4.11018515e+00  6.59454096e+01 
 4.20496491e+00  6.59453812e+01 
 4.30193027e+00  6.59453514e+01 
 4.40113162e+00  6.59453202e+01 
 4.50262052e+00  6.59452876e+01 
 4.60644974e+00  6.59452534e+01 
 4.71267322e+00  6.59452177e+01 
 4.82134619e+00  6.59451802e+01 
 4.93252513e+00  6.59451411e+01 
 5.04626783e+00  6.59451001e+01 
 5.16263340e+00  6.59450572e+01 
 5.28168234e+00  6.59450123e+01 
 5.40347650e+00  6.59449653e+01 
 5.52807921e+00  6.59449161e+01 
 5.65555523e+00  6.59448646e+01 
 5.78597080e+00  6.59448107e+01 
 5.91939372e+00  6.59447543e+01 
 6.05589334e+00  6.59446953e+01 
 6.19554061e+00  6.59446335e+01 
 6.33840810e+00  6.59445688e+01 
 6.48457008e+00  6.59445011e+01 
 6.63410251e+00  6.59444303e+01 
 6.78708313e+00  6.59443562e+01 
 6.94359143e+00  6.59442786e+01 
 7.10370877e+00  6.59441974e+01 
 7.26751838e+00  6.59441124e+01 
 7.43510539e+00  6.59440234e+01 
 7.60655691e+00  6.59439303e+01 
 7.78196206e+00  6.59438332e+01 
 7.96141200e+00  6.59437312e+01 
 8.14500001e+00  6.59436244e+01 
 8.33282151e+00  6.59435127e+01 
 8.52497412e+00  6.59433958e+01 
 8.72155772e+00  6.59432734e+01 
 8.92267449e+00  6.59431453e+01 
 9.12842895e+00  6.59430112e+01 
 9.33892805e+00  6.59428709e+01 
 9.55428121e+00  6.59427240e+01 
 9.77460036e+00  6.59425703e+01 
 1.00000000e+01  6.59424095e+01 
 1.02305973e+01  6.59422411e+01 
 1.04665121e+01  6.59420649e+01 
 1.07078670e+01  6.59418805e+01 
 1.09547876e+01  6.59416875e+01 
 1.12074020e+01  6.59414855e+01 
 1.14658417e+01  6.59412740e+01 
 1.17302409e+01  6.59410528e+01 
 1.20007371e+01  6.59408212e+01 
 1.22774708e+01  6.59405788e+01 
 1.25605860e+01  6.59403251e+01 
 1.28502297e+01  6.59400597e+01 
 1.31465525e+01  6.59397818e+01 
 1.34497085e+01  6.59394910e+01 
 1.37598551e+01  6.59391867e+01 
 1.40771537e+01  6.59388682e+01 
 1.44017690e+01  6.59385349e+01 
 1.47338699e+01  6.59381861e+01 
 1.50736290e+01  6.59378210e+01 
 1.54212228e+01  6.59374394e+01 
 1.57768320e+01  6.59370395e+01 
 1.61406415e+01  6.59366210e+01 
 1.65128404e+01  6.59361831e+01 
 1.68936220e+01  6.59357250e+01 
 1.72831844e+01  6.59352453e+01 
 1.76817299e+01  6.59347434e+01 
 1.80894658e+01  6.59342181e+01 
 1.85066040e+01  6.59336683e+01 
 1.89333613e+01  6.59330931e+01 
 1.93699595e+01  6.59324910e+01 
 1.98166255e+01  6.59318610e+01 
 2.02735916e+01  6.59312017e+01 
 2.07410951e+01  6.59305121e+01 
 2.12193792e+01  6.59297902e+01 
 2.17086923e+01  6.59290346e+01 
 2.22092889e+01  6.59282440e+01 
 2.27214291e+01  6.59274167e+01 
 2.32453791e+01  6.59265510e+01 
 2.37814113e+01  6.59256451e+01 
 2.43298042e+01  6.59246975e+01 
 2.48908429e+01  6.59237057e+01 
 2.54648190e+01  6.59226678e+01 
 2.60520309e+01  6.59215818e+01 
 2.66527837e+01  6.59204454e+01 
 2.72673897e+01  6.59192564e+01 
 2.78961683e+01  6.59180126e+01 
 2.85394464e+01  6.59167110e+01 
 2.91975583e+01  6.59153490e+01 
 2.98708461e+01  6.59139241e+01 
 3.05596598e+01  6.59124333e+01 
 3.12643573e+01  6.59108739e+01 
 3.19853049e+01  6.59092420e+01 
 3.27228774e+01  6.59075348e+01 
 3.34774581e+01  6.59057487e+01 
 3.42494392e+01  6.59038808e+01 
 3.50392221e+01  6.59019262e+01 
 3.58472171e+01  6.58998814e+01 
 3.66738442e+01  6.58977428e+01 
 3.75195331e+01  6.58955053e+01 
 3.83847234e+01  6.58931648e+01 
 3.92698648e+01  6.58907174e+01 
 4.01754173e+01  6.58881567e+01 
 4.11018515e+01  6.58854787e+01 
 4.20496491e+01  6.58826775e+01 
 4.30193027e+01  6.58797477e+01 
 4.40113162e+01  6.58766843e+01 
 4.50262052e+01  6.58734800e+01 
 4.60644974e+01  6.58701294e+01 
 4.71267322e+01  6.58666254e+01 
 4.82134619e+01  6.58629616e+01 
 4.93252513e+01  6.58591307e+01 
 5.04626783e+01  6.58551249e+01 
 5.16263340e+01  6.58509369e+01 
 5.28168234e+01  6.58465582e+01 
 5.40347650e+01  6.58419809e+01 
 5.52807921e+01  6.58371962e+01 
 5.65555523e+01  6.58321946e+01 
 5.78597080e+01  6.58269661e+01 
 5.91939372e+01  6.58215018e+01 
 6.05589334e+01  6.58157909e+01 
 6.19554061e+01  6.58098231e+01 
