 v-sweep         v(Vbiasc)       v(Vbias)        v(Ix)           v(Iout)         v(Iref)        
 2.65000000e-01  9.05631418e-02  4.20782574e-02 -3.72373669e-07  6.33832662e-10  6.67231003e-10 
 2.70000000e-01  9.74972758e-02  4.53123682e-02 -3.63820427e-07  7.11129667e-10  7.46322632e-10 
 2.75000000e-01  1.04423130e-01  4.85422856e-02 -3.55218615e-07  7.96020607e-10  8.32982820e-10 
 2.80000000e-01  1.11339651e-01  5.17678560e-02 -3.46577093e-07  8.89317645e-10  9.28028359e-10 
 2.85000000e-01  1.18246042e-01  5.49889556e-02 -3.37904932e-07  9.91913502e-10  1.03235808e-09 
 2.90000000e-01  1.25083928e-01  5.81786322e-02 -3.29067296e-07  1.10375222e-09  1.14595603e-09 
 2.95000000e-01  1.31908502e-01  6.13626373e-02 -3.20218604e-07  1.22671087e-09  1.27067786e-09 
 3.00000000e-01  1.38705919e-01  6.45346226e-02 -3.11335789e-07  1.36164211e-09  1.40739312e-09 
 3.05000000e-01  1.45349739e-01  6.76358229e-02 -3.02136981e-07  1.50670736e-09  1.55435167e-09 
 3.10000000e-01  1.51915790e-01  7.07016208e-02 -2.92826658e-07  1.66428073e-09  1.71389678e-09 
 3.15000000e-01  1.58479250e-01  7.37669183e-02 -2.83588794e-07  1.83743401e-09  1.88906436e-09 
 3.20000000e-01  1.64999211e-01  7.68128100e-02 -2.74340588e-07  2.02644556e-09  2.08017104e-09 
 3.25000000e-01  1.71327948e-01  7.97703448e-02 -2.64783597e-07  2.22759484e-09  2.28361013e-09 
 3.30000000e-01  1.77667005e-01  8.27334514e-02 -2.55363129e-07  2.44845130e-09  2.50683006e-09 
 3.35000000e-01  1.83867531e-01  8.56326184e-02 -2.45784774e-07  2.68487328e-09  2.74580604e-09 
 3.40000000e-01  1.90007146e-01  8.85039663e-02 -2.36222484e-07  2.94079537e-09  3.00443312e-09 
 3.45000000e-01  1.96047156e-01  9.13294232e-02 -2.26616405e-07  3.21563918e-09  3.28217454e-09 
 3.50000000e-01  2.02036361e-01  9.41316222e-02 -2.17072811e-07  3.51285568e-09  3.58245758e-09 
 3.55000000e-01  2.07891574e-01  9.68715726e-02 -2.07458249e-07  3.82916913e-09  3.90207846e-09 
 3.60000000e-01  2.13682817e-01  9.95819984e-02 -1.97916493e-07  4.16928148e-09  4.24569367e-09 
 3.65000000e-01  2.19346704e-01  1.02233288e-01 -1.88359953e-07  4.53022618e-09  4.61038715e-09 
 3.70000000e-01  2.24925051e-01  1.04844934e-01 -1.78879134e-07  4.91536796e-09  4.99948456e-09 
 3.75000000e-01  2.30402309e-01  1.07409778e-01 -1.69469363e-07  5.32440968e-09  5.41268129e-09 
 3.80000000e-01  2.35749394e-01  1.09914301e-01 -1.60109959e-07  5.75547373e-09  5.84808628e-09 
 3.85000000e-01  2.40946363e-01  1.12349267e-01 -1.50799516e-07  6.20670748e-09  6.30379751e-09 
 3.90000000e-01  2.45955944e-01  1.14697299e-01 -1.41518695e-07  6.67389492e-09  6.77552147e-09 
 3.95000000e-01  2.50737537e-01  1.16939393e-01 -1.32253056e-07  7.15127674e-09  7.25735335e-09 
 4.00000000e-01  2.55192799e-01  1.19029429e-01 -1.22931740e-07  7.62530995e-09  7.73557343e-09 
 4.05000000e-01  2.59228937e-01  1.20923680e-01 -1.13516160e-07  8.08030571e-09  8.19417581e-09 
 4.10000000e-01  2.62700881e-01  1.22553862e-01 -1.03941237e-07  8.49170163e-09  8.60827332e-09 
 4.15000000e-01  2.65496840e-01  1.23867219e-01 -9.42159519e-08  8.83638660e-09  8.95449823e-09 
 4.20000000e-01  2.67593237e-01  1.24852370e-01 -8.44592087e-08  9.10209590e-09  9.22066233e-09 
 4.25000000e-01  2.69091609e-01  1.25556821e-01 -7.48931777e-08  9.29499035e-09  9.41331036e-09 
 4.30000000e-01  2.70161763e-01  1.26060205e-01 -6.57508259e-08  9.43352100e-09  9.55103709e-09 
 4.35000000e-01  2.70928005e-01  1.26420829e-01 -5.71765973e-08  9.53237108e-09  9.64899728e-09 
 4.40000000e-01  2.71490519e-01  1.26685732e-01 -4.92563640e-08  9.60418932e-09  9.72003077e-09 
 4.45000000e-01  2.71917101e-01  1.26886694e-01 -4.20244799e-08  9.65783649e-09  9.77296963e-09 
 4.50000000e-01  2.72252940e-01  1.27045010e-01 -3.54819361e-08  9.69931123e-09  9.81364707e-09 
 4.55000000e-01  2.72519891e-01  1.27170911e-01 -2.96056303e-08  9.73152825e-09  9.84524422e-09 
 4.60000000e-01  2.72738819e-01  1.27274219e-01 -2.43640159e-08  9.75732378e-09  9.87044574e-09 
 4.65000000e-01  2.72919207e-01  1.27359355e-01 -1.97162142e-08  9.77798709e-09  9.89071264e-09 
 4.70000000e-01  2.73073679e-01  1.27432282e-01 -1.56191593e-08  9.79525733e-09  9.90751416e-09 
 4.75000000e-01  2.73206736e-01  1.27495098e-01 -1.20261849e-08  9.80975515e-09  9.92156249e-09 
 4.80000000e-01  2.73323332e-01  1.27550164e-01 -8.89080142e-09  9.82215105e-09  9.93350214e-09 
 4.85000000e-01  2.73424200e-01  1.27597789e-01 -6.16698024e-09  9.83254579e-09  9.94360470e-09 
 4.90000000e-01  2.73513518e-01  1.27639934e-01 -3.81092890e-09  9.84152633e-09  9.95232325e-09 
 4.95000000e-01  2.73595855e-01  1.27678821e-01 -1.78099355e-09  9.84970523e-09  9.96010080e-09 
 5.00000000e-01  2.73670235e-01  1.27713923e-01 -3.80424864e-11  9.85696181e-09  9.96696101e-09 
 5.05000000e-01  2.73736615e-01  1.27745246e-01  1.45374228e-09  9.86327158e-09  9.97297968e-09 
 5.10000000e-01  2.73796620e-01  1.27773548e-01  2.72694157e-09  9.86886195e-09  9.97832180e-09 
 5.15000000e-01  2.73852227e-01  1.27799780e-01  3.81097928e-09  9.87400109e-09  9.98316419e-09 
 5.20000000e-01  2.73901488e-01  1.27823004e-01  4.73191745e-09  9.87841408e-09  9.98740714e-09 
 5.25000000e-01  2.73948898e-01  1.27845336e-01  5.51316952e-09  9.88273839e-09  9.99137363e-09 
 5.30000000e-01  2.73990072e-01  1.27864743e-01  6.17472146e-09  9.88632688e-09  9.99479805e-09 
 5.35000000e-01  2.74029860e-01  1.27883489e-01  6.73464531e-09  9.88987754e-09  9.99802025e-09 
 5.40000000e-01  2.74065537e-01  1.27900297e-01  7.20802089e-09  9.89299207e-09  1.00008833e-08 
 5.45000000e-01  2.74097843e-01  1.27915503e-01  7.60808958e-09  9.89577649e-09  1.00034572e-08 
 5.50000000e-01  2.74127396e-01  1.27929418e-01  7.94621807e-09  9.89830526e-09  1.00058060e-08 
 5.55000000e-01  2.74156358e-01  1.27943055e-01  8.23230048e-09  9.90088728e-09  1.00080875e-08 
 5.60000000e-01  2.74183833e-01  1.27955985e-01  8.47444108e-09  9.90338945e-09  1.00102518e-08 
 5.65000000e-01  2.74209409e-01  1.27968009e-01  8.67953136e-09  9.90575205e-09  1.00122778e-08 
 5.70000000e-01  2.74229991e-01  1.27977691e-01  8.85303991e-09  9.90751366e-09  1.00139671e-08 
 5.75000000e-01  2.74250193e-01  1.27987182e-01  9.00046628e-09  9.90934122e-09  1.00156250e-08 
 5.80000000e-01  2.74273660e-01  1.27998238e-01  9.12644880e-09  9.91173530e-09  1.00174996e-08 
 5.85000000e-01  2.74290516e-01  1.28006166e-01  9.23314927e-09  9.91329004e-09  1.00189315e-08 
 5.90000000e-01  2.74307373e-01  1.28014094e-01  9.32432802e-09  9.91494134e-09  1.00203614e-08 
 5.95000000e-01  2.74324742e-01  1.28022256e-01  9.40246444e-09  9.91675646e-09  1.00218224e-08 
 6.00000000e-01  2.74336902e-01  1.28027968e-01  9.46878168e-09  9.91790436e-09  1.00229368e-08 
 6.05000000e-01  2.74349721e-01  1.28034002e-01  9.52573463e-09  9.91921923e-09  1.00240946e-08 
 6.10000000e-01  2.74364135e-01  1.28040765e-01  9.57482422e-09  9.92083735e-09  1.00253533e-08 
 6.15000000e-01  2.74373464e-01  1.28045174e-01  9.61628830e-09  9.92177328e-09  1.00262787e-08 
 6.20000000e-01  2.74385630e-01  1.28050867e-01  9.65216369e-09  9.92318809e-09  1.00273833e-08 
 6.25000000e-01  2.74394670e-01  1.28055130e-01  9.68246622e-09  9.92418940e-09  1.00282843e-08 
 6.30000000e-01  2.74405994e-01  1.28060452e-01  9.70864637e-09  9.92556628e-09  1.00293325e-08 
 6.35000000e-01  2.74415375e-01  1.28064860e-01  9.73073595e-09  9.92670044e-09  1.00302502e-08 
 6.40000000e-01  2.74424573e-01  1.28069180e-01  9.75107795e-09  9.92782494e-09  1.00311544e-08 
 6.45000000e-01  2.74433960e-01  1.28073602e-01  9.76556497e-09  9.92903239e-09  1.00320687e-08 
 6.50000000e-01  2.74441237e-01  1.28077010e-01  9.77893296e-09  9.92995183e-09  1.00328394e-08 
 6.55000000e-01  2.74448207e-01  1.28080285e-01  9.79026670e-09  9.93084292e-09  1.00335891e-08 
 6.60000000e-01  2.74456322e-01  1.28084105e-01  9.80008942e-09  9.93191369e-09  1.00344134e-08 
 6.65000000e-01  2.74464314e-01  1.28087852e-01  9.80848588e-09  9.93298760e-09  1.00352253e-08 
 6.70000000e-01  2.74471023e-01  1.28091006e-01  9.81552797e-09  9.93388435e-09  1.00359514e-08 
 6.75000000e-01  2.74475906e-01  1.28093299e-01  9.82132771e-09  9.93453212e-09  1.00365543e-08 
 6.80000000e-01  2.74482338e-01  1.28096319e-01  9.82652891e-09  9.93541016e-09  1.00372572e-08 
 6.85000000e-01  2.74486703e-01  1.28098370e-01  9.83075306e-09  9.93599620e-09  1.00378215e-08 
 6.90000000e-01  2.74495082e-01  1.28102310e-01  9.83498216e-09  9.93716548e-09  1.00386494e-08 
 6.95000000e-01  2.74497674e-01  1.28103516e-01  9.83790624e-09  9.93751387e-09  1.00390905e-08 
 7.00000000e-01  2.74504962e-01  1.28106950e-01  9.84111284e-09  9.93853402e-09  1.00398426e-08 
 7.05000000e-01  2.74511111e-01  1.28109841e-01  9.84382564e-09  9.93939768e-09  1.00405162e-08 
 7.10000000e-01  2.74517771e-01  1.28112964e-01  9.84633554e-09  9.94034019e-09  1.00412204e-08 
 7.15000000e-01  2.74523089e-01  1.28115473e-01  9.84842996e-09  9.94108463e-09  1.00418358e-08 
 7.20000000e-01  2.74527373e-01  1.28117479e-01  9.85018013e-09  9.94168914e-09  1.00423784e-08 
 7.25000000e-01  2.74535772e-01  1.28121420e-01  9.85235847e-09  9.94288802e-09  1.00431910e-08 
 7.30000000e-01  2.74540140e-01  1.28123473e-01  9.85382514e-09  9.94350672e-09  1.00437358e-08 
 7.35000000e-01  2.74543362e-01  1.28124971e-01  9.85500543e-09  9.94396439e-09  1.00442007e-08 
 7.40000000e-01  2.74548339e-01  1.28127322e-01  9.85634188e-09  9.94466987e-09  1.00447829e-08 
 7.45000000e-01  2.74554649e-01  1.28130290e-01  9.85777565e-09  9.94557028e-09  1.00454500e-08 
 7.50000000e-01  2.74560713e-01  1.28133131e-01  9.85909123e-09  9.94643791e-09  1.00460972e-08 
 7.55000000e-01  2.74564643e-01  1.28134981e-01  9.86003825e-09  9.94699661e-09  1.00466029e-08 
 7.60000000e-01  2.74569653e-01  1.28137334e-01  9.86110978e-09  9.94771295e-09  1.00471784e-08 
 7.65000000e-01  2.74575109e-01  1.28139895e-01  9.86215817e-09  9.94849588e-09  1.00477789e-08 
 7.70000000e-01  2.74580802e-01  1.28142577e-01  9.86324159e-09  9.94930807e-09  1.00483954e-08 
 7.75000000e-01  2.74585279e-01  1.28144685e-01  9.86414021e-09  9.94994703e-09  1.00489302e-08 
 7.80000000e-01  2.74588050e-01  1.28145983e-01  9.86476749e-09  9.95034214e-09  1.00493473e-08 
 7.85000000e-01  2.74594286e-01  1.28148914e-01  9.86589289e-09  9.95123654e-09  1.00499928e-08 
 7.90000000e-01  2.74597109e-01  1.28150241e-01  9.86652719e-09  9.95163712e-09  1.00504119e-08 
 7.95000000e-01  2.74603529e-01  1.28153268e-01  9.86767506e-09  9.95255492e-09  1.00510671e-08 
 8.00000000e-01  2.74609438e-01  1.28156034e-01  9.86874107e-09  9.95340432e-09  1.00516829e-08 
 8.05000000e-01  2.74614501e-01  1.28158415e-01  9.86968940e-09  9.95412812e-09  1.00522435e-08 
 8.10000000e-01  2.74617493e-01  1.28159815e-01  9.87033745e-09  9.95455672e-09  1.00526644e-08 
 8.15000000e-01  2.74623722e-01  1.28162739e-01  9.87144945e-09  9.95545116e-09  1.00532978e-08 
 8.20000000e-01  2.74629253e-01  1.28165330e-01  9.87245925e-09  9.95624583e-09  1.00538834e-08 
 8.25000000e-01  2.74635130e-01  1.28168103e-01  9.87352255e-09  9.95708341e-09  1.00544908e-08 
 8.30000000e-01  2.74644301e-01  1.28172412e-01  9.87505389e-09  9.95840058e-09  1.00553134e-08 
 8.35000000e-01  2.74646302e-01  1.28173357e-01  9.87555803e-09  9.95868124e-09  1.00556612e-08 
 8.40000000e-01  2.74652497e-01  1.28176249e-01  9.87665517e-09  9.95957694e-09  1.00562813e-08 
 8.45000000e-01  2.74656216e-01  1.28177994e-01  9.87740120e-09  9.96010917e-09  1.00567384e-08 
 8.50000000e-01  2.74658603e-01  1.28179130e-01  9.87795971e-09  9.96044153e-09  1.00571078e-08 
 8.55000000e-01  2.74661469e-01  1.28180485e-01  9.87858444e-09  9.96084771e-09  1.00575072e-08 
 8.60000000e-01  2.74668272e-01  1.28183667e-01  9.87976452e-09  9.96182719e-09  1.00581605e-08 
 8.65000000e-01  2.74674608e-01  1.28186644e-01  9.88088127e-09  9.96273575e-09  1.00587840e-08 
 8.70000000e-01  2.74675743e-01  1.28187176e-01  9.88125100e-09  9.96289402e-09  1.00590630e-08 
 8.75000000e-01  2.74683418e-01  1.28190773e-01  9.88255344e-09  9.96399690e-09  1.00597697e-08 
 8.80000000e-01  2.74685765e-01  1.28191890e-01  9.88309806e-09  9.96432466e-09  1.00601268e-08 
 8.85000000e-01  2.74691675e-01  1.28194660e-01  9.88414604e-09  9.96517336e-09  1.00607150e-08 
 8.90000000e-01  2.74693557e-01  1.28195543e-01  9.88461649e-09  9.96543948e-09  1.00610363e-08 
 8.95000000e-01  2.74697791e-01  1.28197540e-01  9.88542532e-09  9.96604197e-09  1.00615126e-08 
 9.00000000e-01  2.74705479e-01  1.28201144e-01  9.88672383e-09  9.96714698e-09  1.00622136e-08 
 9.05000000e-01  2.74708594e-01  1.28202604e-01  9.88736572e-09  9.96759231e-09  1.00626115e-08 
 9.10000000e-01  2.74715425e-01  1.28205818e-01  9.88854270e-09  9.96856880e-09  1.00632552e-08 
 9.15000000e-01  2.74722006e-01  1.28208919e-01  9.88968239e-09  9.96950961e-09  1.00638802e-08 
 9.20000000e-01  2.74726410e-01  1.28210976e-01  9.89050219e-09  9.97014371e-09  1.00643578e-08 
 9.25000000e-01  2.74731270e-01  1.28213266e-01  9.89139205e-09  9.97083396e-09  1.00648668e-08 
 9.30000000e-01  2.74733507e-01  1.28214309e-01  9.89189929e-09  9.97115223e-09  1.00651992e-08 
 9.35000000e-01  2.74741040e-01  1.28217857e-01  9.89317017e-09  9.97223046e-09  1.00658821e-08 
 9.40000000e-01  2.74744062e-01  1.28219264e-01  9.89378568e-09  9.97266442e-09  1.00662630e-08 
 9.45000000e-01  2.74751697e-01  1.28222873e-01  9.89507251e-09  9.97375125e-09  1.00669518e-08 
 9.50000000e-01  2.74757793e-01  1.28225735e-01  9.89612953e-09  9.97462575e-09  1.00675345e-08 
 9.55000000e-01  2.74759384e-01  1.28226470e-01  9.89653555e-09  9.97485195e-09  1.00678171e-08 
 9.60000000e-01  2.74761001e-01  1.28227237e-01  9.89694935e-09  9.97507426e-09  1.00681027e-08 
 9.65000000e-01  2.74768026e-01  1.28230531e-01  9.89813441e-09  9.97608218e-09  1.00687424e-08 
 9.70000000e-01  2.74773389e-01  1.28233055e-01  9.89908261e-09  9.97684670e-09  1.00692726e-08 
 9.75000000e-01  2.74776846e-01  1.28234669e-01  9.89975127e-09  9.97734196e-09  1.00696737e-08 
 9.80000000e-01  2.74781580e-01  1.28236897e-01  9.90060626e-09  9.97801615e-09  1.00701599e-08 
 9.85000000e-01  2.74787963e-01  1.28239901e-01  9.90169710e-09  9.97892840e-09  1.00707539e-08 
 9.90000000e-01  2.74792525e-01  1.28242037e-01  9.90252137e-09  9.97958102e-09  1.00712250e-08 
 9.95000000e-01  2.74798010e-01  1.28244609e-01  9.90347733e-09  9.98036648e-09  1.00717561e-08 
 1.00000000e+00  2.74800022e-01  1.28245567e-01  9.90393867e-09  9.98064347e-09  1.00720591e-08 
 1.00500000e+00  2.74804579e-01  1.28247704e-01  9.90475910e-09  9.98129413e-09  1.00725269e-08 
 1.01000000e+00  2.74810355e-01  1.28250422e-01  9.90575573e-09  9.98211719e-09  1.00730751e-08 
 1.01500000e+00  2.74815370e-01  1.28252772e-01  9.90663893e-09  9.98283492e-09  1.00735707e-08 
 1.02000000e+00  2.74819959e-01  1.28254931e-01  9.90746286e-09  9.98348673e-09  1.00740388e-08 
 1.02500000e+00  2.74822806e-01  1.28256267e-01  9.90803321e-09  9.98389058e-09  1.00743898e-08 
 1.03000000e+00  2.74834237e-01  1.28261650e-01  9.90983967e-09  9.98552816e-09  1.00753078e-08 
 1.03500000e+00  2.74836759e-01  1.28262834e-01  9.91036162e-09  9.98588262e-09  1.00756359e-08 
 1.04000000e+00  2.74842279e-01  1.28265405e-01  9.91130576e-09  9.98667790e-09  1.00761571e-08 
